"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14604	22894	"Steregoiu"	47.807814	23.540158	0.5	"AWI"	0.5	-125.5	30	-43	0	0	1.79856115107914	0.719424460431655	0.359712230215827	0	0.539568345323741	0	2.87769784172662	0	0	0	0.539568345323741	0	0.179856115107914	0	1.79856115107914	3.41726618705036	0	0	0	0	78.9568345323741	0	0	0.359712230215827	0	0	0	0	0	0.899280575539568	0.899280575539568	0.899280575539568	0	0	0	0	4.67625899280576	0	0	0	0	0.899280575539568	0	0	0	0	0	0	0.179856115107914	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	2	"AWI"	2	-99	59	-17	0	0.216450216450216	3.03030303030303	0.865800865800866	0.432900432900433	0	0.865800865800866	0	4.32900432900433	0	0	0	1.51515151515152	0	0.216450216450216	0	2.81385281385281	1.2987012987013	0	0	0	0	73.5930735930736	0	0	0	0	0	0	0	0	1.2987012987013	1.08225108225108	1.2987012987013	0	0	0	0	5.84415584415584	0	0	0	0.649350649350649	0.432900432900433	0	0	0	0	0	0	0	0.216450216450216	0
14604	22894	"Steregoiu"	47.807814	23.540158	4.5	"AWI"	4.5	-67	123	21.5	0	0	4.01459854014599	0.182481751824818	0.182481751824818	0	1.45985401459854	0	3.83211678832117	0	0	0	0.912408759124087	0	0	0	2.55474452554745	2.91970802919708	0	0	0	0	73.1751824817518	0.182481751824818	0	0.364963503649635	0	0	0	0	0	0.72992700729927	0.72992700729927	0.364963503649635	0	0	0	0	8.02919708029197	0	0	0	0	0.364963503649635	0	0	0	0	0	0	0	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	7.5	"AWI"	7.5	-45.5	207	68.5	0	0	4.91525423728814	0.169491525423729	0	0	2.54237288135593	0	1.86440677966102	0	0	0	0.508474576271186	0	0	0	2.71186440677966	0.508474576271186	0	0	0	0	78.6440677966102	0.169491525423729	0	0	0	0.169491525423729	0	0	0	1.1864406779661	0	0.338983050847458	0.508474576271186	0	0	0	5.25423728813559	0	0	0	0	0	0.169491525423729	0	0	0	0	0.169491525423729	0	0.169491525423729	0
14604	22894	"Steregoiu"	47.807814	23.540158	9.5	"AWI"	9.5	-34.5	268.5	102	0	0.40650406504065	3.45528455284553	0.203252032520325	0.609756097560976	0	2.03252032520325	0	2.23577235772358	0	0	0	0.203252032520325	0	0	0	3.04878048780488	2.03252032520325	0	0	0	0	72.9674796747967	0.203252032520325	0	0	0	0	0	0	0	1.01626016260163	0.813008130081301	0.40650406504065	0	0	0	0	9.75609756097561	0	0	0	0	0.203252032520325	0	0	0	0	0	0	0.203252032520325	0.203252032520325	0
14604	22894	"Steregoiu"	47.807814	23.540158	11.5	"AWI"	11.5	12	339	156	0	0	4.3010752688172	0.21505376344086	0.43010752688172	0	1.29032258064516	0	3.2258064516129	0	0	0	0	0	0	0	2.1505376344086	0.860215053763441	0	0	0	0	72.9032258064516	0.21505376344086	0	0	0	0	0	0	0	1.50537634408602	0.860215053763441	0.43010752688172	0	0	0	0	6.45161290322581	0	0	3.2258064516129	0.43010752688172	1.0752688172043	0	0	0	0	0.21505376344086	0	0.21505376344086	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	13	"AWI"	13	41	416	207	0	0	4.03071017274472	0	0.191938579654511	0	2.68714011516315	0	3.83877159309021	0	0	0	0.191938579654511	0	0	0	2.30326295585413	0	0	0	0	0	76.1996161228407	0	0	0	0	0	0	0	0	2.11132437619962	0.575815738963532	0.191938579654511	0.575815738963532	0	0	0	5.56621880998081	0	0	0	0	0.383877159309021	0.191938579654511	0	0	0	0.191938579654511	0.383877159309021	0.383877159309021	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	15	"AWI"	15	64	527	269	0	0	3.66492146596859	0.174520069808028	0.698080279232112	0	1.74520069808028	0	2.26876090750436	0	0	0	0	0	0	0	2.26876090750436	0.87260034904014	0	0	0	0	78.8830715532286	0	0	0.174520069808028	0	0	0	0	0	2.79232111692845	0.87260034904014	0.523560209424084	0.349040139616056	0	0	0	4.71204188481675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	17.5	"AWI"	17.5	84	680	336.5	0	0	2.75862068965517	0.344827586206897	0.344827586206897	0	2.41379310344828	0	1.37931034482759	0	0	0	0	0	0	0	1.89655172413793	0.689655172413793	0	0	0	0	77.0689655172414	0	0	0	0	0	0	0	0	4.13793103448276	0.862068965517241	0.344827586206897	0	0	0	0	6.72413793103448	0	0	0	0	0	0	0	0	0	0	0	1.03448275862069	0	0
14604	22894	"Steregoiu"	47.807814	23.540158	20	"AWI"	20	110	829	404	0	0	2.49266862170088	0.439882697947214	0.146627565982405	0	2.05278592375367	0	1.17302052785924	0	0	0	0	0	0	0	0.879765395894428	1.46627565982405	0	0	0	0	75.0733137829912	0.293255131964809	0	0	0	0	0	0	0	5.71847507331378	0.733137829912023	0.879765395894428	0	0	0	0	7.47800586510264	0	0	0	0.146627565982405	0	0	0	0	0	0	0	1.02639296187683	0	0
