"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	31	"AWI"	31	1404	1925	1660	0	4	0	0	1	0	217	0	0	0	0	0	0	30	0	0	0	1	3	30	0	0	0	17	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	33	"AWI"	33	1456	1981	1740	0	4	0	0	2	0	253	0	0	0	0	1	0	23	0	0	0	0	9	29	0	0	0	17	169	0	0	0	4	0	0	0	0	0	0	10	0	0	1	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	35	"AWI"	35	1558	2036	1812	0	9	0	0	0	0	219	0	0	0	0	0	0	22	0	0	0	0	10	17	0	0	0	16	193	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	37	"AWI"	37	1679	2065	1890	0	3	0	0	2	0	188	0	0	0	0	0	0	16	0	0	0	0	7	12	0	0	0	30	214	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	39	"AWI"	39	1756	2121	1968	0	2	1	0	3	0	220	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	0	15	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	41	"AWI"	41	1821	2147	2017	0	2	0	0	0	0	181	0	0	0	0	1	0	12	0	0	0	0	3	19	0	0	0	11	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	43	"AWI"	43	1861	2215	2061	0	2	0	0	1	0	178	0	0	0	0	0	0	12	0	0	0	0	2	3	0	0	0	24	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	45	"AWI"	45	1911	2268	2104	0	6	0	0	1	0	219	0	0	0	0	0	0	27	0	0	0	0	3	18	0	1	0	16	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	47	"AWI"	47	1950	2307	2147	0	5	0	0	2	0	239	0	0	0	1	0	0	11	0	10	0	0	6	37	0	0	0	11	174	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0
15733	24155	"Lake Tsuolbmajavri"	68.68811	22.05346	49	"AWI"	49	1988	2353	2188	0	4	0	0	1	0	115	0	0	0	0	0	0	11	0	0	0	0	3	9	0	0	0	9	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
