"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3147	4095	"Hockham Mere"	52.5	0.83333	132	"AWI"	132	1348	1581	1448	0	1	72	1	0	0	8	0	42	0	0	0	0	1	0	235	0	0	47	0	0	0	2	22	0	0	20	0	0	0	0	0	2	0	3	0	0	68	0	0	0	0	0	98	0	0	0	15	5	0	0	0	0	1	0	11	9	2	1
3147	4095	"Hockham Mere"	52.5	0.83333	164	"AWI"	164	1421	1796	1575	0	0	55	2	0	1	9	0	34	0	0	0	0	0	0	227	0	0	30	0	0	0	6	16	0	0	8	0	0	0	0	0	1	0	3	0	0	74	0	0	0	0	0	92	0	0	1	0	8	0	0	0	0	3	0	15	16	2	0
3147	4095	"Hockham Mere"	52.5	0.83333	196	"AWI"	196	1500	1938	1699	0	0	67	0	0	1	5	0	36	0	0	0	0	0	0	218	0	0	57	0	0	0	1	31	0	0	21	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	83	0	0	0	0	2	0	0	0	0	2	0	14	7	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	228	"AWI"	228	1611	2110	1825	0	0	102	1	0	0	4	0	34	0	0	0	0	0	0	353	0	0	9	0	0	0	0	23	0	0	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	123	0	0	0	0	2	1	0	0	0	4	0	20	8	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	260	"AWI"	260	1829	2293	1975	0	0	94	2	0	3	4	0	37	0	0	0	0	0	0	219	0	0	28	0	1	0	4	28	0	0	16	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	116	0	0	1	0	4	0	0	0	0	3	0	14	12	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	268	"AWI"	268	1851	2367	2017	0	1	137	1	0	0	7	0	0	0	0	0	0	0	0	343	0	0	7	0	0	0	3	13	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	141	0	0	1	3	3	1	0	0	0	3	0	16	11	1	1
3147	4095	"Hockham Mere"	52.5	0.83333	276	"AWI"	276	2031	2487	2181	0	0	154	1	0	0	0	0	0	0	0	0	0	0	0	492	0	0	8	0	0	0	2	10	0	0	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	197	0	0	0	0	1	1	0	0	0	2	0	32	13	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	284	"AWI"	284	2324	2669	2488	0	0	191	4	0	2	2	0	0	0	0	0	0	0	0	556	0	0	11	0	0	0	0	12	0	0	7	0	0	0	0	0	0	0	11	0	0	43	0	0	1	0	0	235	0	0	2	0	6	1	0	0	0	1	0	26	27	1	1
3147	4095	"Hockham Mere"	52.5	0.83333	292	"AWI"	292	2540	2957	2781	0	0	151	0	0	4	0	0	56	0	0	0	0	0	0	599	0	0	1	0	0	0	0	22	0	0	11	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	312	0	0	0	0	0	0	0	0	0	3	0	40	23	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	300	"AWI"	300	2752	3331	3081	0	0	122	2	0	1	2	0	0	0	0	0	0	0	0	515	0	0	6	0	0	0	0	14	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	168	0	0	0	0	2	0	0	0	0	0	0	36	15	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	308	"AWI"	308	2970	3719	3389	0	0	138	0	0	1	0	0	0	0	0	0	0	0	0	669	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	248	0	0	0	0	1	0	0	0	0	1	0	55	12	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	316	"AWI"	316	3448	4045	3777	0	0	153	0	0	1	0	0	0	0	0	0	0	0	0	644	0	0	3	0	3	0	0	11	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	173	0	0	0	0	1	0	0	0	0	4	0	34	19	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	324	"AWI"	324	3869	4402	4162	0	0	138	0	0	0	0	0	48	0	0	0	0	0	0	604	0	0	7	0	0	0	0	22	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	204	0	0	0	0	1	0	0	0	0	6	0	24	26	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	332	"AWI"	332	4235	4821	4552	0	0	136	0	0	0	1	0	0	0	0	0	0	0	0	599	0	0	1	0	0	0	0	18	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	5	0	12	19	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	340	"AWI"	340	4552	5272	4941	0	0	161	0	0	3	1	0	74	0	0	0	0	0	0	458	0	0	4	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	169	0	0	0	0	2	0	0	0	0	1	0	31	14	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	344	"AWI"	344	4673	5431	5092	0	0	128	1	0	0	2	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	168	0	0	0	0	1	0	0	0	0	0	2	25	29	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	348	"AWI"	348	4800	5498	5172	0	0	218	0	0	4	1	0	0	0	0	0	0	0	0	330	0	0	3	0	1	0	0	22	0	0	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	273	0	0	0	0	1	0	0	0	0	1	0	53	62	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	356	"AWI"	356	4944	5717	5333	0	0	171	1	0	1	1	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	25	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	211	0	0	0	0	1	0	0	0	0	3	0	34	31	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	364	"AWI"	364	5017	6016	5490	0	0	225	0	0	3	2	0	111	0	0	0	0	0	0	394	0	0	6	0	0	0	0	46	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	1	0	0	0	0	42	72	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	372	"AWI"	372	5067	6340	5629	0	0	175	1	0	1	2	0	0	0	0	0	0	0	0	363	0	0	9	0	0	0	0	26	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	286	0	0	0	0	3	0	1	0	0	1	1	43	65	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	380	"AWI"	380	5177	6604	5787	0	0	174	0	0	2	3	0	99	0	0	0	0	0	0	343	0	0	3	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	258	0	0	0	0	1	0	1	0	0	4	0	47	72	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	388	"AWI"	388	5391	6663	5964	0	0	192	0	0	4	3	0	0	0	0	0	0	0	0	348	0	0	10	0	0	0	0	20	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	233	0	0	0	0	2	1	0	0	0	0	0	39	71	0	0
3147	4095	"Hockham Mere"	52.5	0.83333	396	"AWI"	396	5561	6743	6152	0	0	215	0	0	4	0	0	59	0	0	0	0	0	0	382	0	0	15	0	0	0	0	27	0	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	257	0	0	0	0	3	0	0	0	0	0	0	31	93	0	2
