"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3006	3913	"Belle Lake"	52.18333	-7.03333	190	"AWI"	190	5779	6380	6140	62	0	0	2	0	0	0	0	0	0	0	105	14	0	0	0	0	1	7	0	0	0	0	19	0	0	7	0	0	36	0	0	0	0	30	0	0	0	0	0	6	0
3006	3913	"Belle Lake"	52.18333	-7.03333	196	"AWI"	196	5944	6427	6224	92	0	0	3	1	0	0	0	0	0	0	91	16	0	0	0	0	0	1	0	0	0	0	44	0	0	4	0	0	41	0	0	0	0	3	0	1	0	0	0	8	0
3006	3913	"Belle Lake"	52.18333	-7.03333	204	"AWI"	204	6045	6560	6322	127	0	0	3	0	0	0	0	0	0	0	80	15	0	0	0	0	0	4	0	0	0	0	48	0	0	1	0	0	38	1	0	0	0	1	0	0	0	0	0	11	0
3006	3913	"Belle Lake"	52.18333	-7.03333	216	"AWI"	216	6179	6698	6452	132	0	0	0	0	0	0	0	0	0	0	62	17	0	0	0	0	0	5	0	0	0	0	34	0	0	5	0	1	18	1	0	0	0	7	0	9	0	0	0	5	0
3006	3913	"Belle Lake"	52.18333	-7.03333	226	"AWI"	226	6367	6808	6577	108	0	0	2	0	0	0	0	0	0	0	77	22	0	0	1	0	1	4	0	0	0	0	15	0	0	2	0	0	29	0	0	0	1	1	0	1	0	0	0	14	0
3006	3913	"Belle Lake"	52.18333	-7.03333	236	"AWI"	236	6485	6986	6727	111	0	0	1	0	0	0	0	0	0	0	114	40	0	0	0	0	0	5	0	0	0	0	57	0	0	3	0	0	46	1	0	0	0	10	0	2	0	0	0	6	0
3006	3913	"Belle Lake"	52.18333	-7.03333	247	"AWI"	247	6620	7201	6898	105	0	0	3	0	0	0	0	0	0	0	95	27	0	0	0	0	0	6	1	0	0	0	61	0	0	3	0	0	53	0	0	0	0	9	0	0	1	0	0	8	0
3006	3913	"Belle Lake"	52.18333	-7.03333	260	"AWI"	260	6832	7390	7107	186	1	0	2	0	0	0	0	0	0	0	100	17	0	0	0	0	0	0	0	0	0	0	62	0	0	4	0	0	22	0	0	0	0	6	0	0	0	0	0	16	0
3006	3913	"Belle Lake"	52.18333	-7.03333	268	"AWI"	268	6968	7527	7247	164	0	0	2	0	0	0	0	0	0	0	71	7	0	0	0	0	0	5	0	0	0	0	37	0	0	1	0	0	40	0	0	0	0	9	0	0	0	0	0	6	0
3006	3913	"Belle Lake"	52.18333	-7.03333	278	"AWI"	278	7199	7924	7553	99	0	0	2	0	0	0	0	0	0	0	79	18	0	0	0	0	0	4	0	0	0	0	61	0	0	3	0	0	71	0	0	0	0	1	0	0	0	0	0	13	0
3006	3913	"Belle Lake"	52.18333	-7.03333	280	"AWI"	280	7224	8050	7609	0	0	0	1	0	0	0	0	0	0	0	75	4	0	0	0	0	0	6	0	0	1	0	129	0	0	9	0	0	130	0	0	0	0	12	0	0	0	0	1	19	0
3006	3913	"Belle Lake"	52.18333	-7.03333	290	"AWI"	290	7702	8229	7976	1	0	0	2	0	0	0	0	0	0	0	136	19	0	0	0	0	0	11	1	0	0	0	112	0	0	13	0	0	187	0	0	0	0	8	0	0	1	0	0	31	0
3006	3913	"Belle Lake"	52.18333	-7.03333	299	"AWI"	299	7940	8541	8239	0	0	0	2	0	0	0	0	0	0	0	168	22	0	0	0	0	0	5	2	0	0	0	48	0	0	4	0	0	80	1	0	0	0	6	0	0	0	0	0	22	0
3006	3913	"Belle Lake"	52.18333	-7.03333	308	"AWI"	308	8073	9032	8455	0	0	0	1	0	0	0	0	0	0	0	83	26	0	0	0	0	1	9	0	0	0	0	47	0	0	7	0	0	127	0	0	0	1	6	0	0	0	0	0	25	0
3006	3913	"Belle Lake"	52.18333	-7.03333	318	"AWI"	318	8191	9370	8701	0	0	0	2	0	0	0	0	0	0	0	130	18	0	0	0	0	0	7	0	0	0	0	53	0	0	8	0	0	91	0	0	0	0	5	0	0	0	0	0	20	0
3006	3913	"Belle Lake"	52.18333	-7.03333	329	"AWI"	329	8401	9635	8971	0	0	0	2	0	0	0	0	0	0	0	138	22	0	0	1	0	0	6	0	0	0	0	25	0	0	10	0	0	113	0	0	0	0	6	0	0	1	0	0	11	0
