"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23849	41339	"Gourte Mires"	51.05444	-3.67833	52	"AWI"	52	1124	1774	1431	2.20994475138122	0	0.552486187845304	0	0	0	2.20994475138122	0	0	0	0	0	0	16.0220994475138	0	59.6685082872928	0	0	1.65745856353591	1.10497237569061	0	0	0	0	0	0	0	0	0	0	0	0.552486187845304	0	0	0	0	14.3646408839779	0.552486187845304	0	0	0	0.552486187845304	0	0	0	0	0.552486187845304	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	56	"AWI"	56	1207	1873	1535	5.92592592592593	0.740740740740741	0	0	0.740740740740741	0	5.92592592592593	0	0	0	0	0	0	23.7037037037037	0	34.0740740740741	0	0	1.48148148148148	2.22222222222222	0	0	0.740740740740741	0	0.740740740740741	0	0	0	0	0	0	0	0	0	0	0	19.2592592592593	2.96296296296296	0	0.740740740740741	0	0	0	0	0	0	0.740740740740741	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	60	"AWI"	60	1286	1967	1637	1.3986013986014	0.34965034965035	0	0.34965034965035	0	0	0	0	0	0	0	0	0	8.39160839160839	0	27.6223776223776	50.3496503496504	0	0.34965034965035	0.34965034965035	0	0	0	0	0	0	0	0	0	0	0	0.699300699300699	0	0	0	0	6.99300699300699	2.0979020979021	0	0.34965034965035	0	0.34965034965035	0	0	0.34965034965035	0	0	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	64	"AWI"	64	1398	2037	1739	2.40963855421687	0	0	0	0	0	2.40963855421687	0	0	0	0	2.40963855421687	0	24.0963855421687	0	43.3734939759036	0	0	1.20481927710843	0	1.20481927710843	0	0	0	0	0	0	0	0	1.20481927710843	0	3.6144578313253	0	0	1.20481927710843	0	15.6626506024096	1.20481927710843	0	0	0	0	0	0	0	0	0	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	68	"AWI"	68	1516	2114	1841	1.33779264214047	0	0.334448160535117	0	0	0	1.00334448160535	0	0	0	0	0.334448160535117	0	11.371237458194	1.00334448160535	21.0702341137124	50.1672240802676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334448160535117	0	0	0	0	10.0334448160535	0.334448160535117	0	0	0	1.00334448160535	0	0	0.668896321070234	0.668896321070234	0.334448160535117	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	72	"AWI"	72	1642	2196	1944	5.15463917525773	0.515463917525773	0	0	0	0	1.54639175257732	0	0	0.515463917525773	0	0	0	26.2886597938144	0	40.2061855670103	0	0	0	0.515463917525773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5567010309278	2.06185567010309	0	0	0	0.515463917525773	0	0	1.03092783505155	0	3.09278350515464	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	76	"AWI"	76	1770	2271	2046	6.21468926553672	0.564971751412429	0	0	0	0	2.82485875706215	0.564971751412429	0	0	0	0.564971751412429	0	44.6327683615819	0	22.5988700564972	0	0	0	3.38983050847458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2542372881356	1.12994350282486	0	0	0	0	0	0.564971751412429	0	0	1.69491525423729	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	80	"AWI"	80	1894	2341	2146	10.6145251396648	0	0	0	0.558659217877095	0	1.67597765363128	0	0	0	0	0	0	51.3966480446927	0	15.6424581005587	0	0	0	0.558659217877095	0	0.558659217877095	0	0	0	0	0	0	0	0	0	1.11731843575419	0	0	0	0	15.6424581005587	0.558659217877095	0	0	0	0	0	0	0.558659217877095	0	0.558659217877095	0.558659217877095
23849	41339	"Gourte Mires"	51.05444	-3.67833	84	"AWI"	84	2012	2440	2242	11.3553113553114	0	0	0	1.46520146520147	0	3.2967032967033	0	0	0	0	0	0	41.025641025641	0	1.83150183150183	12.0879120879121	0	0.366300366300366	1.0989010989011	0	0	0	0	0	0	0	0	0	0	0	0.366300366300366	0	0	0	0	25.2747252747253	0	0	0	0	0.732600732600733	0	0.366300366300366	0	0	0.732600732600733	0
23849	41339	"Gourte Mires"	51.05444	-3.67833	88	"AWI"	88	2088	2573	2331	8.97959183673469	0	0.408163265306122	0	0.408163265306122	0	1.22448979591837	0	0	0	0	0	0	40.8163265306122	0	19.5918367346939	0	0	0.816326530612245	1.22448979591837	0	0.408163265306122	0	0	0	0	0	0	0	0	0	0.408163265306122	0	0	0	0	21.6326530612245	0.816326530612245	0	0	0	1.63265306122449	0	0	0	0	1.63265306122449	0
