"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Montiaceae"	"Myrica"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14573	22849	"Lake Racze"	53.96802	14.60637	852	"AWI"	852	620	1016	759	0	1	192	0	0	2	0	0	10	0	0	0	3	7	20	0	0	0	0	0	0	28	0	45	0	0	0	0	1	0	81	0	2	0	0	0	1	0	0	0	0	0	0	0	0	39	0	2	212	0	0	0	0	0	6	0	197	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	8	11	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	857	"AWI"	857	658	1155	847	1	0	244	2	0	2	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	24	0	22	0	0	0	0	0	0	99	0	3	0	0	0	0	0	0	2	0	1	0	0	0	30	0	2	205	0	0	0	0	0	4	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	6	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	862	"AWI"	862	712	1296	933	0	0	211	1	0	1	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	16	0	23	0	0	0	0	0	0	95	2	3	0	0	0	0	0	0	0	0	1	0	0	0	38	0	2	153	0	0	0	0	0	6	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	867	"AWI"	867	760	1400	1029	0	0	203	0	0	3	0	0	16	0	0	0	13	0	0	0	0	0	0	0	0	28	0	31	0	0	24	0	0	0	170	0	4	0	0	0	0	0	0	0	0	2	0	0	11	45	0	1	262	0	0	0	0	0	5	0	216	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	5	9	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	872	"AWI"	872	819	1510	1117	0	0	154	0	0	6	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	26	0	19	0	0	0	0	1	0	197	4	5	0	0	0	2	0	0	1	0	0	0	0	0	34	0	1	252	0	0	0	0	0	2	0	193	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	6	6	1	0
14573	22849	"Lake Racze"	53.96802	14.60637	877	"AWI"	877	891	1604	1208	0	0	136	1	1	6	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	31	0	17	0	0	0	0	0	0	219	2	6	0	0	0	0	0	0	1	0	1	0	0	0	44	0	1	264	0	0	0	0	0	3	0	153	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	6	5	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	882	"AWI"	882	975	1719	1293	1	0	116	1	0	9	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	29	0	20	0	0	0	0	0	0	213	1	8	0	0	0	0	0	0	0	0	1	0	0	0	43	0	3	286	0	0	0	0	0	5	0	91	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	8	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	887	"AWI"	887	1061	1797	1380	0	0	124	2	0	4	0	0	7	0	0	0	2	4	0	0	0	1	0	0	0	28	0	9	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	2	0	0	0	35	0	1	255	0	0	0	0	0	3	0	69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	892	"AWI"	892	1173	1901	1474	1	1	240	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	19	0	8	0	0	0	0	0	0	468	0	13	0	0	0	3	0	0	0	0	2	0	0	0	60	0	1	231	0	0	0	0	0	2	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0
14573	22849	"Lake Racze"	53.96802	14.60637	897	"AWI"	897	1316	1987	1573	0	1	175	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	35	0	16	1	0	0	0	0	0	331	0	11	0	0	0	0	0	0	0	0	1	0	0	0	47	0	1	331	0	0	0	0	0	4	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
