"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"	"Urticaceae"
3040	3966	"Butter Mountain"	54.18523	-6.04608	1	"AWI"	1	434	1037	780	48	0	6	0	11	1	0	137	10	0	6	0	0	0	77	11	2	3	0	3	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	5	"AWI"	5	518	1067	836	43	2	2	0	7	0	0	139	3	0	4	0	0	0	82	17	3	5	0	2	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	9	"AWI"	9	581	1114	893	33	1	0	0	16	0	0	170	9	0	3	0	2	0	0	23	0	2	0	1	3	1	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	13	"AWI"	13	687	1148	944	45	0	1	0	18	0	1	191	6	0	1	2	1	0	93	29	0	0	1	0	0	1	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	17	"AWI"	17	793	1182	996	44	0	0	0	22	0	0	233	0	0	3	0	0	0	0	32	0	0	0	1	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	21	"AWI"	21	869	1222	1049	36	0	0	0	28	0	0	172	58	0	2	0	0	0	0	24	3	4	0	4	0	1	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	25	"AWI"	25	942	1251	1091	58	0	0	12	39	0	0	152	5	0	1	3	0	0	0	14	0	0	0	0	4	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	33	"AWI"	33	1011	1337	1172	26	0	1	0	10	0	0	100	22	0	11	0	0	0	75	38	1	0	2	0	3	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	37	"AWI"	37	1041	1373	1210	70	0	2	0	44	0	0	149	22	0	6	0	0	0	0	27	3	0	0	0	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	41	"AWI"	41	1074	1419	1246	30	0	0	0	44	0	0	135	7	0	1	0	0	0	26	21	1	5	0	0	1	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	45	"AWI"	45	1126	1443	1280	34	1	1	0	13	0	0	124	41	0	3	0	0	0	0	17	3	0	1	1	0	6	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	49	"AWI"	49	1156	1476	1317	25	0	0	0	14	0	0	134	28	0	8	0	0	0	0	23	2	4	0	1	0	5	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	53	"AWI"	53	1224	1502	1351	39	0	0	0	13	0	0	207	40	152	3	0	0	0	0	21	0	0	0	0	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	57	"AWI"	57	1280	1532	1387	19	1	0	0	19	0	0	150	57	0	2	0	0	0	0	22	3	0	0	1	0	0	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	61	"AWI"	61	1333	1587	1437	20	0	0	0	12	0	0	138	47	0	11	3	1	0	0	20	1	3	0	1	1	10	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	65	"AWI"	65	1383	1730	1533	26	0	0	0	17	0	0	178	17	0	3	0	0	0	0	18	0	0	0	1	1	11	1
3040	3966	"Butter Mountain"	54.18523	-6.04608	69	"AWI"	69	1407	1931	1614	18	1	0	0	14	0	0	214	3	0	6	0	0	0	0	16	0	0	0	2	1	4	1
3040	3966	"Butter Mountain"	54.18523	-6.04608	73	"AWI"	73	1482	2034	1712	21	0	0	0	22	0	0	171	8	0	2	0	1	0	0	10	0	0	0	0	0	14	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	77	"AWI"	77	1534	2128	1818	27	0	0	0	16	0	0	163	2	221	11	0	0	0	41	10	0	0	0	1	0	2	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	81	"AWI"	81	1613	2254	1917	26	0	0	0	14	0	0	100	7	0	1	0	0	4	0	25	2	0	0	2	0	8	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	85	"AWI"	85	1775	2321	2018	18	2	0	0	5	0	0	119	6	0	7	0	0	0	0	22	5	3	0	0	0	8	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	89	"AWI"	89	1869	2434	2125	33	0	0	0	18	0	0	137	7	0	1	0	1	0	61	23	2	5	0	1	0	6	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	93	"AWI"	93	2040	2556	2265	24	0	0	0	11	0	0	196	8	0	6	0	0	0	0	23	0	0	0	1	1	7	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	97	"AWI"	97	2133	2757	2414	35	0	0	0	13	0	0	158	2	0	3	0	0	0	0	12	0	0	0	0	1	8	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	101	"AWI"	101	2222	3022	2562	28	0	0	0	8	0	0	144	11	0	5	0	1	0	0	12	0	0	0	1	0	10	0
3040	3966	"Butter Mountain"	54.18523	-6.04608	105	"AWI"	105	2359	3137	2749	29	0	0	0	13	0	1	151	6	0	7	0	0	3	0	18	0	2	0	4	1	5	0
