"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Adoxaceae"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15799	24279	"Kulzer Moos"	49.3912	12.4482	0	"AWI"	0	-112	56	-35	3	0	0	9	1	0	0	3	0	913	0	0	0	0	1	0	0	6	1	0	0	0	0	0	0	3	6	0	0	0	0	0	0	1	0	0	0	0	0	0	20	79	0	267	0	0	0	6	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	2	"AWI"	2	-4	211	100	79	1	0	47	0	0	0	0	0	133	2	0	0	0	0	0	0	30	22	0	0	87	0	0	0	75	0	2	0	0	0	0	4	0	0	0	0	0	4	0	41	162	0	240	0	0	0	23	0	0	0	7	1	0	0	0	0	0	0	5	4	3	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	4	"AWI"	4	69	405	237	140	0	0	92	0	2	0	0	0	120	1	0	1	0	0	0	0	43	46	0	0	12	0	0	0	157	0	3	0	0	0	0	5	0	0	0	0	0	9	0	48	247	0	77	0	1	0	46	0	0	0	4	1	0	1	0	0	0	0	6	4	2	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	6	"AWI"	6	129	610	373	155	1	0	97	0	1	0	2	2	106	0	0	0	0	0	0	0	34	34	0	0	7	0	0	0	130	0	4	0	0	0	0	6	0	0	0	0	0	12	1	60	246	0	60	0	1	0	40	0	0	2	2	4	0	0	0	0	0	0	10	5	0	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	8	"AWI"	8	185	819	510	157	1	0	104	1	1	0	3	0	121	1	0	4	0	0	1	0	60	25	0	0	5	0	0	0	173	0	1	0	0	0	0	6	0	1	0	0	0	20	0	51	311	0	79	0	1	0	36	0	0	0	10	1	0	0	0	0	0	0	4	4	2	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	10	"AWI"	10	243	1028	647	138	1	0	118	1	1	0	5	2	108	0	0	3	0	0	0	0	45	20	0	0	4	0	0	0	228	0	0	0	1	0	0	3	0	3	0	0	0	23	0	40	269	5	44	0	2	0	44	0	0	0	3	1	0	1	0	0	0	0	3	3	1	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	12	"AWI"	12	301	1243	783	208	1	0	100	0	1	0	0	0	77	0	0	0	0	0	0	0	34	11	0	0	5	0	0	0	216	0	1	0	0	0	0	8	0	0	0	0	0	24	0	68	200	0	0	0	1	0	43	0	0	0	3	2	0	0	0	0	0	0	5	3	4	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	14	"AWI"	14	357	1452	919	240	1	0	99	0	0	0	1	0	52	0	0	1	0	0	0	0	27	22	0	0	3	0	0	0	246	0	5	0	0	0	0	0	0	0	0	0	0	23	0	59	161	0	0	0	1	0	61	0	0	3	2	1	0	1	0	0	0	0	4	6	1	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	16	"AWI"	16	569	1628	1116	271	2	0	102	0	3	0	2	0	74	0	0	1	0	0	0	0	39	19	0	0	0	0	0	0	295	0	3	0	0	0	0	0	0	0	0	0	0	27	0	103	323	0	0	0	0	0	88	0	0	0	2	0	0	0	0	0	0	0	7	13	2	0	0
15799	24279	"Kulzer Moos"	49.3912	12.4482	18	"AWI"	18	893	1787	1357	60	0	0	69	0	0	0	0	0	131	1	0	0	0	0	0	0	10	13	0	0	0	0	0	0	138	0	3	0	0	0	0	0	0	0	0	0	0	9	0	39	613	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	3	2	1	0	0
