"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15771	24238	"Stará Boleslav"	50.198036	14.66948	5	"AWI"	5	43	446	377	8	2	116	21	0	0	33	0	0	36	0	0	0	4	0	3	0	0	2	1	75	0	0	0	0	2	1	5	0	0	2	0	0	0	0	0	0	1	0	0	23	248	4	0	0	0	0	66	0	0	5	30	10	0	0	0	1	1	0	2	9	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	10	"AWI"	10	536	706	609	8	0	52	23	0	0	53	0	0	22	0	0	0	0	0	0	0	7	4	0	12	0	0	0	0	1	1	3	0	0	1	0	1	0	1	0	0	0	0	0	17	349	0	113	0	0	0	44	0	0	7	28	15	0	0	0	1	0	0	2	16	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	15	"AWI"	15	550	739	637	19	0	34	21	0	0	26	0	0	18	0	0	0	1	0	0	0	0	2	0	42	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	4	0	0	25	357	3	0	0	0	0	30	0	0	9	5	11	0	0	0	0	1	0	2	5	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	20	"AWI"	20	569	763	660	43	0	23	13	0	0	59	0	0	32	0	0	0	3	0	0	0	0	3	1	112	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	3	2	0	35	281	4	0	0	0	0	49	0	0	5	12	38	0	0	0	0	1	0	2	7	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	25	"AWI"	25	587	789	684	39	0	27	8	0	0	47	0	0	28	0	0	0	1	0	0	0	0	1	2	90	0	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	2	0	0	32	282	6	0	0	0	0	55	0	0	1	9	44	0	0	0	0	1	0	0	4	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	30	"AWI"	30	602	815	706	32	0	34	8	0	0	33	0	0	21	0	0	0	5	0	3	0	0	1	0	64	0	0	0	0	19	2	2	0	0	0	0	0	0	0	0	0	3	0	0	23	221	0	0	0	0	0	85	0	0	4	16	91	0	0	0	0	0	0	4	2	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	35	"AWI"	35	623	835	730	26	0	86	8	0	0	38	0	0	34	0	0	0	1	0	0	0	0	5	0	23	0	0	0	0	28	2	4	0	0	0	0	0	0	1	0	0	3	0	0	21	177	5	0	0	0	0	49	0	0	3	20	101	0	0	0	0	0	0	2	7	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	40	"AWI"	40	642	856	753	20	0	98	4	0	0	57	0	0	49	0	0	0	5	0	0	0	0	5	1	13	0	0	0	0	41	1	0	0	0	1	0	3	0	1	0	0	9	0	0	15	126	6	0	0	1	0	47	0	0	5	13	92	0	0	0	0	1	0	10	7	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	45	"AWI"	45	663	881	777	31	0	60	7	0	0	76	0	0	50	0	0	0	6	0	0	0	0	5	2	31	8	0	0	0	43	2	4	0	0	2	0	1	0	0	0	0	11	0	0	19	140	0	0	0	0	0	58	0	0	5	12	75	0	0	0	0	0	6	6	3	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	50	"AWI"	50	686	898	801	34	1	35	6	0	0	76	0	0	37	0	0	0	3	0	0	0	0	8	1	28	5	1	0	0	62	6	1	0	0	0	0	0	0	0	0	0	8	0	0	23	175	17	0	0	1	0	60	0	0	1	12	73	0	0	0	0	0	0	2	5	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	55	"AWI"	55	708	919	825	19	1	51	3	0	0	34	0	0	42	0	0	2	0	0	0	0	0	17	0	14	6	0	0	0	36	3	3	1	0	0	0	0	0	1	0	0	7	0	0	9	165	7	0	0	0	0	22	0	0	1	12	145	0	0	0	0	0	0	5	2	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	60	"AWI"	60	727	943	851	14	0	63	1	0	0	28	0	0	22	0	0	0	0	0	0	0	0	10	1	4	3	0	0	0	34	5	0	0	1	0	0	1	0	1	0	0	7	0	0	10	159	0	0	0	0	0	25	0	0	1	4	172	0	0	0	0	0	0	11	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	65	"AWI"	65	755	968	877	9	0	73	0	0	0	22	0	0	20	0	0	0	1	0	0	0	0	10	1	5	0	0	0	0	18	3	1	0	0	0	0	0	0	0	0	0	6	0	0	9	142	10	0	0	1	0	18	0	0	0	2	213	0	0	0	0	0	0	1	2	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	70	"AWI"	70	779	1003	902	8	1	172	1	0	0	25	0	0	16	0	0	2	1	0	0	0	0	13	2	2	6	0	0	0	13	1	1	0	0	0	0	0	0	1	0	0	4	0	0	3	100	0	0	0	0	0	23	0	0	0	2	159	0	0	0	0	0	0	5	2	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	75	"AWI"	75	798	1047	926	11	0	169	1	0	0	24	0	0	27	0	0	0	1	0	0	0	0	19	2	6	0	0	0	0	19	1	2	0	0	0	0	0	0	0	0	0	10	0	0	4	99	0	0	0	0	0	34	0	0	1	3	100	0	0	0	0	1	0	13	6	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	80	"AWI"	80	822	1074	953	8	1	207	3	0	0	12	0	0	29	0	0	0	1	0	0	0	0	9	0	6	0	0	0	0	17	3	7	0	0	1	0	0	0	2	0	0	6	0	0	2	59	0	0	0	0	0	37	0	0	2	2	188	0	0	0	0	0	0	7	5	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	85	"AWI"	85	847	1108	979	9	0	136	0	0	0	13	0	0	22	0	0	0	1	0	0	0	0	9	3	4	0	0	0	0	25	1	1	0	0	1	0	0	0	0	0	0	10	0	0	6	75	0	0	0	0	0	17	0	0	0	4	208	0	0	0	0	2	0	15	6	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	90	"AWI"	90	867	1141	1006	13	0	94	1	0	0	26	0	0	28	0	0	0	0	0	3	0	0	7	1	3	0	0	0	0	18	1	4	0	0	1	0	0	0	1	0	0	7	0	0	13	72	3	0	0	0	0	40	0	0	1	4	200	0	0	0	0	1	4	4	6	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	95	"AWI"	95	898	1164	1034	34	0	52	2	0	0	21	0	0	11	0	0	0	0	0	0	1	0	1	1	26	4	0	0	0	15	1	4	0	0	1	0	1	0	0	0	0	4	0	0	15	78	0	0	0	0	0	159	0	0	1	3	142	0	0	0	0	0	0	4	1	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	100	"AWI"	100	923	1191	1061	14	1	138	0	0	0	11	0	0	5	0	0	0	0	0	0	1	0	4	2	8	0	0	0	0	10	1	7	0	0	0	0	0	0	0	0	0	5	0	0	2	41	0	0	0	0	0	168	0	0	1	1	118	0	0	0	0	0	0	1	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	105	"AWI"	105	943	1219	1088	13	1	283	1	0	0	7	0	0	16	0	0	0	0	0	0	0	0	2	2	26	0	0	0	0	12	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	80	0	0	0	0	0	90	0	0	0	1	17	0	0	0	0	0	0	1	1	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	110	"AWI"	110	975	1239	1117	7	0	281	1	0	0	8	0	0	8	0	0	0	0	0	0	0	0	6	2	8	0	0	0	0	12	1	2	0	0	0	0	0	0	0	0	1	1	0	0	2	71	0	0	0	0	0	82	0	0	0	0	28	0	0	0	0	0	0	3	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	115	"AWI"	115	1003	1263	1145	12	0	209	1	0	0	6	0	0	22	0	0	0	1	0	0	1	0	6	1	6	0	0	0	0	10	2	1	0	0	0	0	2	0	1	0	1	3	0	0	2	27	0	0	0	1	0	97	0	0	1	2	83	0	0	0	0	0	0	5	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	120	"AWI"	120	1031	1289	1173	20	0	202	2	0	0	10	0	0	37	0	0	0	0	0	0	0	0	5	0	17	0	2	0	0	4	1	2	0	0	0	0	0	0	0	0	0	1	0	0	5	126	0	0	0	1	0	96	0	0	2	0	27	0	0	0	0	0	0	4	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	125	"AWI"	125	1058	1319	1201	9	0	333	1	0	0	2	0	0	35	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	78	0	0	0	0	0	53	0	0	0	1	12	0	0	0	0	0	0	4	1	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	130	"AWI"	130	1084	1360	1231	4	0	390	0	0	0	3	0	0	18	0	0	0	1	0	0	0	0	7	1	3	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	5	0	0	1	31	0	0	0	1	0	54	0	0	1	1	8	0	0	0	0	0	0	3	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	135	"AWI"	135	1104	1407	1259	7	1	363	0	0	0	2	0	0	27	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	88	0	0	0	0	0	54	0	0	1	1	2	0	0	0	0	0	0	4	1	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	140	"AWI"	140	1130	1439	1289	6	0	313	0	2	0	7	0	0	19	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	5	1	3	0	0	0	0	1	0	1	0	1	3	0	0	1	55	0	0	0	0	0	67	0	0	0	3	30	0	0	0	0	0	0	4	0	0
15771	24238	"Stará Boleslav"	50.198036	14.66948	145	"AWI"	145	1155	1474	1318	10	0	186	1	5	0	16	0	0	22	0	0	0	3	0	0	1	0	5	2	6	0	0	0	0	14	0	5	1	0	0	0	0	0	1	0	0	2	0	0	3	84	0	0	0	1	0	76	0	0	1	1	139	5	0	0	0	1	0	2	0	0
