"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16662	26446	"Tauernmoos"	47.16688	12.65191	1	"AWI"	1	202	1179	727	4	0	63	0	0	0	3	0	30.9999980926514	1	1	0	0	4	0	0	14	197	0	1	0	3	2	0	0	4	1	0	0	3	2	0	0	210.999984741211	161	0	68.9999961853027	0	0	4	0	0	1	4	0	2	0	0	2	0	1	0	1	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	10	"AWI"	10	531	1419	1018	6	3	95	2	0	1	6	0	35	5	5	0	0	6	0	0	16	411	0	0	0	16	0	0	0	12	3	0	0	5	1	0	0	225.999984741211	89	0	82	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	20	"AWI"	20	908	1680	1337	2	0	186	5	0	0	9	0	62	0	1	0	0	4	1	1	29.0000019073486	113	0	0	0	52	0	0	0	12	3	7	0	3	0	0	0	168	97.9999961853027	0	158	0	0	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	30	"AWI"	30	1319	1910	1647	11	3	226	0.999999940395355	0	0	7.99999952316284	0	54	1.99999988079071	1.99999988079071	0	0	0.999999940395355	0	0	38	148	0	0	0	152	0	0	0	7.99999952316284	3	1.99999988079071	0	3	0	0	0	99	14.9999997615814	0	231.999999761581	0	0	14	0	0	0	0	0	0	0	0	0.999999940395355	0	0	0	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	40	"AWI"	40	1775	2168	1953	46	1	149	2	0	0	6	0	9	1	3	0	0	0	0	0	13	68	0	0	0	32	0	0	1	8	0	1	0	0	0	0	0	332	143	0	150	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
16662	26446	"Tauernmoos"	47.16688	12.65191	50	"AWI"	50	2007	2629	2265	72	0	188	2	0	0	4	0	33	2	4	0	0	1	0	0	21.9999980926514	45	0	0	0	51	1	0	0	5	0	0	0	0	0	0	0	423	88	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	60	"AWI"	60	2248	3015	2581	24	4	265	0	0	0	3	0	23	0	1	0	0	0	0	0	8	37	0	0	0	42	0	1	0	4	0	0	0	2	0	0	0	248.999984741211	68	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	70	"AWI"	70	2505	3386	2903	36	1	240	0	0	0	5	0	8	1	1	0	0	0	0	0	7	36	0	0	0	24	0	0	0	6	0	0	0	1	0	0	0	220.000015258789	49	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0
16662	26446	"Tauernmoos"	47.16688	12.65191	80	"AWI"	80	2763	3755	3226	32	0	242	0	0	0	10	0	14.0000009536743	4	3	0	0	0	0	0	16	71	0	0	0	63	1	0	0	5	0	0	1	2	0	0	0	243	80.9999961853027	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
16662	26446	"Tauernmoos"	47.16688	12.65191	90	"AWI"	90	3047	4114	3545	51	3.00000023841858	254	1	0	0	1	0	17	0	2	0	0	0	0	0	8	181	0	0	0	36	1	0	0	4	0	0	1	1	0	0	0	270	73.9999961853027	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0
