"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
23444	40454	"Montilier"	46.935	7.12361	20	"AWI"	20	270	1304	720	5	0	10	0	0	3	0	2	0	1	7	0	2	0	0	0	0	8	18	0	0	0	10	0	6	0	2	0	0	0	1	0	1	8	0	0	21	0	1	28	3	0	0	0	0	3	0	0	0	1	0	0	0
23444	40454	"Montilier"	46.935	7.12361	30	"AWI"	30	561	1767	1109	7	0	11	2	0	6	0	4	0	2	11	0	3	0	0	0	0	2	43	0	0	0	15	0	14	0	1	1	2	0	1	0	2	4	0	0	31	0	1	32	4	1	0	0	0	6	0	0	0	1	2	1	0
23444	40454	"Montilier"	46.935	7.12361	40	"AWI"	40	896	2160	1502	7	0	9	2	0	3	0	10	0	4	3	0	2	0	1	0	0	3	32	0	0	0	21	0	9	0	2	0	0	0	2	0	1	7	0	0	43	0	0	33	14	0	0	0	0	10	0	0	0	0	0	0	0
23444	40454	"Montilier"	46.935	7.12361	45	"AWI"	45	1085	2343	1703	6	0	8	2	0	2	0	5	0	4	4	0	6	0	0	0	0	2	10	0	0	0	19	0	7	0	4	2	0	0	1	0	1	5	0	0	42	0	0	30	21	3	0	0	0	9	0	0	0	0	1	5	0
23444	40454	"Montilier"	46.935	7.12361	50	"AWI"	50	1273	2520	1903	2	0	4	1	0	0	0	8	0	2	2	0	35	0	1	0	0	10	9	0	0	0	5	0	0	0	2	0	3	0	0	0	12	6	0	0	45	0	0	15	41	2	0	1	0	3	0	1	0	0	1	9	0
23444	40454	"Montilier"	46.935	7.12361	55	"AWI"	55	1452	2698	2096	5	1	2	1	0	0	0	5	0	1	0	0	10	0	0	0	0	9	11	0	0	0	5	0	5	0	0	2	0	0	1	0	11	6	0	0	16	2	0	18	9	1	0	1	0	7	0	0	0	0	0	9	0
23444	40454	"Montilier"	46.935	7.12361	60	"AWI"	60	1659	2869	2299	8	1	7	4	0	1	0	3	0	5	1	2	23	0	0	0	0	51	14	0	0	0	7	0	5	0	4	2	0	0	2	0	17	8	0	0	27	0	0	18	13	0	0	0	1	10	0	0	0	0	0	3	0
23444	40454	"Montilier"	46.935	7.12361	65	"AWI"	65	1863	3037	2497	11	1	64	2	0	2	0	5	0	9	0	2	20	0	0	0	0	108	22	0	0	0	18	0	9	0	3	0	0	0	2	0	29	21	0	0	44	0	0	37	14	0	0	0	2	10	0	0	0	0	2	4	0
23444	40454	"Montilier"	46.935	7.12361	75	"AWI"	75	2317	3347	2898	6	0	40	0	0	0	0	3	0	8	0	0	0	0	0	0	0	47	15	0	0	0	48	0	3	0	0	3	0	0	1	0	7	9	0	0	17	0	0	35	0	0	0	0	4	6	0	0	0	0	4	0	0
23444	40454	"Montilier"	46.935	7.12361	80	"AWI"	80	2578	3472	3092	12	1	51	0	0	2	0	2	0	6	0	0	0	0	0	0	1	36	10	0	0	0	45	0	5	0	0	5	0	0	3	0	10	12	0	0	47	0	0	87	4	1	0	0	9	5	0	0	0	0	3	3	0
