"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26023	45105	"Rezina marsh"	39.98778	20.77556	16	"AWI"	16	-70	281	47	9	0	0	1	1	5	15	5	0	156	0	4	0	0	8	6	3	78	1	4	36	0	15	0	0	3	1	0	1
26023	45105	"Rezina marsh"	39.98778	20.77556	24	"AWI"	24	-59	439	89	4	0	1	3	3	1	6	1	0	162	0	5	0	0	3	0	0	69	0	0	26	1	8	0	0	5	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	32	"AWI"	32	-48	595	132	2	0	0	1	1	2	0	1	0	219	0	0	0	0	4	5	0	39	0	0	41	0	27	0	0	0	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	40	"AWI"	40	-40	752	175	7	0	2	0	0	1	0	3	4	361	0	0	0	2	0	0	0	60	0	0	35	0	32	0	0	2	5	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	212	"AWI"	212	621	1973	1262	0	0	0	0	0	0	0	1	1	106	0	0	0	0	0	2	1	22	0	0	7	0	7	0	0	0	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	228	"AWI"	228	722	2062	1363	4	0	2	3	3	2	10	4	1	44	0	4	0	0	0	0	2	27	0	0	81	2	22	0	7	8	1	1	0
26023	45105	"Rezina marsh"	39.98778	20.77556	244	"AWI"	244	800	2172	1465	2	0	4	1	1	2	0	5	2	265	0	3	0	0	1	0	0	62	0	0	57	0	22	0	1	8	0	2	0
26023	45105	"Rezina marsh"	39.98778	20.77556	260	"AWI"	260	891	2273	1567	6	1	3	3	5	3	19	17	1	37	1	0	0	0	0	0	0	112	1	6	69	4	22	0	1	11	1	1	0
26023	45105	"Rezina marsh"	39.98778	20.77556	276	"AWI"	276	977	2362	1673	10	0	2	2	1	0	0	6	2	77	0	2	0	0	0	0	1	67	0	0	9	0	30	0	0	1	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	284	"AWI"	284	1015	2414	1723	23	0	0	1	1	0	5	0	0	93	0	1	0	0	0	14	2	242	0	0	48	1	29	0	1	1	2	2	0
26023	45105	"Rezina marsh"	39.98778	20.77556	300	"AWI"	300	1120	2480	1826	24	0	0	0	1	0	0	1	1	89	0	2	0	0	0	0	3	429	0	0	85	0	20	0	0	6	1	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	308	"AWI"	308	1176	2515	1878	12	1	0	0	3	0	0	2	3	67	0	2	0	0	1	0	2	380	1	2	91	0	12	0	2	5	2	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	316	"AWI"	316	1222	2557	1933	6	0	2	1	4	0	5	2	0	105	0	1	0	0	0	0	3	190	0	4	99	1	35	1	1	5	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	324	"AWI"	324	1269	2602	1984	7	0	0	0	1	1	0	1	0	57	0	3	0	0	0	0	3	277	0	0	57	1	19	0	0	5	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	332	"AWI"	332	1300	2656	2036	7	0	2	1	4	1	0	7	3	144	0	0	0	1	1	0	2	267	0	0	70	0	37	1	1	3	0	1	1
26023	45105	"Rezina marsh"	39.98778	20.77556	340	"AWI"	340	1371	2686	2087	3	1	2	1	1	0	0	5	6	125	0	5	0	0	1	16	5	83	0	0	25	4	28	0	0	1	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	356	"AWI"	356	1495	2755	2191	21	0	1	1	4	4	12	6	0	146	0	6	0	0	2	0	1	325	0	3	114	1	52	0	3	14	0	1	0
26023	45105	"Rezina marsh"	39.98778	20.77556	372	"AWI"	372	1584	2855	2303	5	0	0	2	17	0	17	16	1	16	1	1	0	0	1	0	2	47	0	0	169	10	14	0	0	6	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	388	"AWI"	388	1747	2914	2401	34	0	5	2	0	2	0	1	1	166	0	1	0	0	0	15	0	123	0	0	47	0	34	0	0	0	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	396	"AWI"	396	1808	2942	2453	6	0	0	1	5	1	0	1	5	157	0	1	0	0	0	16	4	49	0	0	56	0	43	0	3	1	0	0	1
26023	45105	"Rezina marsh"	39.98778	20.77556	404	"AWI"	404	1858	2976	2505	14	0	0	0	1	1	0	0	1	150	0	0	0	1	3	13	0	51	0	0	34	0	45	0	0	1	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	420	"AWI"	420	1984	3055	2607	12	0	1	3	2	1	0	6	2	183	0	0	0	0	4	24	2	45	0	0	83	1	29	0	1	0	1	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	436	"AWI"	436	2179	3105	2707	17	0	0	5	5	0	6	4	4	51	0	2	0	0	1	0	0	35	0	0	161	2	12	0	1	0	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	452	"AWI"	452	2296	3175	2820	16	0	2	3	7	2	18	2	6	49	0	0	0	2	0	5	0	56	0	0	146	0	21	0	1	1	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	460	"AWI"	460	2379	3214	2870	18	0	0	10	21	0	31	22	10	28	0	0	0	2	0	7	1	48	0	0	223	0	17	0	5	2	0	0	1
26023	45105	"Rezina marsh"	39.98778	20.77556	468	"AWI"	468	2498	3233	2914	7	1	1	5	17	0	21	8	1	32	1	0	0	0	0	0	1	38	4	7	214	3	19	0	7	2	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	484	"AWI"	484	2685	3280	3003	19	0	2	2	3	3	17	11	3	50	0	1	0	2	0	0	1	67	0	2	112	1	14	0	2	3	1	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	492	"AWI"	492	2750	3312	3055	12	0	0	0	5	1	11	7	5	74	0	0	0	0	2	0	0	35	1	0	118	3	7	0	1	3	0	0	0
26023	45105	"Rezina marsh"	39.98778	20.77556	500	"AWI"	500	2805	3356	3104	12	0	2	11	10	0	26	22	2	13	0	0	0	0	0	0	0	51	2	0	141	4	11	0	5	6	0	0	0
