"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16175	25007	"Chantemerle"	45.91667	0.01667	20	"AWI"	20	2914	4136	3539	0	2	25	1	0	1	0	0	10	1	1	0	0	1	67	0	12	0	0	0	20	1	0	0	0	0	0	3	3	47	0	0	108	3	0	0	0	0	0	0	0	0	0	1	1	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	40	"AWI"	40	3176	4370	3777	0	0	6	4	0	1	0	0	2	2	2	0	0	0	10	0	84	0	0	0	6	0	0	0	0	0	0	16	0	0	0	1	148	4	1	0	0	0	0	0	0	2	0	0	0	2	4
16175	25007	"Chantemerle"	45.91667	0.01667	60	"AWI"	60	3428	4596	4015	0	0	0	18	0	0	0	0	0	0	0	0	0	0	18	0	134	0	0	0	0	0	1	0	0	0	0	12	4	0	0	0	96	4	0	0	0	0	0	0	0	0	0	0	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	80	"AWI"	80	3687	4818	4253	0	0	8	3	1	1	1	0	1	0	0	1	0	0	48	0	0	0	0	0	6	1	0	0	0	0	0	9	1	0	0	1	171	4	5	0	0	0	1	0	0	0	1	2	1	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	100	"AWI"	100	3933	5036	4492	0	0	1	0	0	0	0	0	12	0	0	0	0	0	23	0	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	121	0	0	0	0	0	0	0	0	9	0	0	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	120	"AWI"	120	4188	5266	4732	0	2	12	0	0	0	0	0	0	0	0	3	0	1	24	0	16	0	0	0	2	2	0	0	0	0	2	32	0	0	0	0	184	3	0	0	0	0	1	0	0	0	2	0	3	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	140	"AWI"	140	4452	5485	4969	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	1	0	1	1	15	1	49	1	0	264	2	2	0	0	0	0	3	0	0	0	3	7	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	160	"AWI"	160	4707	5707	5209	0	0	15	0	2	2	2	0	9	0	0	0	0	0	94	0	4	3	0	0	0	2	0	0	0	0	0	10	0	33	0	0	150	4	0	0	0	0	4	0	2	0	0	0	4	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	180	"AWI"	180	4966	5929	5451	1	3	19	1	0	0	1	0	11	0	1	0	0	0	78	0	10	3	0	0	0	8	0	0	0	0	1	6	1	38	0	2	148	6	2	0	0	0	0	0	0	0	0	1	4	1	0
16175	25007	"Chantemerle"	45.91667	0.01667	200	"AWI"	200	5226	6150	5690	0	1	15	0	0	0	0	0	1	0	0	0	0	0	65	0	25	3	0	0	4	0	0	0	0	0	0	15	0	0	0	0	150	4	0	0	0	0	0	0	0	0	0	3	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	220	"AWI"	220	5477	6374	5927	1	0	10	0	0	2	0	0	0	0	0	0	0	0	100	0	12	0	1	0	0	1	0	0	0	0	0	8	0	0	0	0	172	4	0	0	0	0	0	0	0	0	4	0	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	240	"AWI"	240	5716	6616	6166	0	0	32	0	0	0	0	0	0	0	0	0	0	0	112	0	12	0	0	0	4	2	0	0	0	0	0	20	0	0	0	0	88	2	0	0	0	0	0	0	0	0	0	2	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	260	"AWI"	260	5960	6847	6407	0	0	18	0	0	2	0	0	6	0	0	0	0	0	144	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	108	2	0	0	0	3	0	0	0	0	0	3	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	280	"AWI"	280	6204	7084	6646	0	1	16	0	0	1	2	0	2	0	0	0	0	0	82	1	4	0	0	0	0	1	0	0	0	0	0	8	2	0	0	0	111	4	1	0	0	0	0	0	0	1	0	3	4	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	300	"AWI"	300	6453	7318	6886	0	0	5	0	0	2	0	0	1	0	0	0	0	0	45	0	75	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	141	15	0	0	0	0	2	4	0	2	0	3	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	320	"AWI"	320	6701	7548	7121	0	0	9	0	0	0	0	0	9	0	0	0	0	0	30	0	87	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	120	6	0	0	0	3	0	0	2	0	0	2	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	340	"AWI"	340	6955	7775	7362	0	2	0	0	0	0	0	9	6	0	0	0	0	0	45	0	93	0	0	0	0	0	0	0	3	0	0	30	0	0	0	9	10	6	0	0	0	4	0	0	0	3	0	0	0	0	0
16175	25007	"Chantemerle"	45.91667	0.01667	360	"AWI"	360	7201	8006	7603	0	1	0	0	1	2	0	0	0	0	0	0	0	0	6	1	108	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	102	2	2	0	0	0	6	6	1	4	0	0	0	0	0
