"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fraxinus"	"Juniperus"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	6	"AWI"	6	9069	10266	9756	0	0	0	0	0	0	2.77777777777778	0	0	1.66666666666667	0	0	0	0	54.4444444444444	25.5555555555556	0	0	0.277777777777778	0.277777777777778	0	0	0	0	0	0	9.72222222222222	0	1.66666666666667	0	0	0	0	0	0	0.277777777777778	0	0	3.33333333333333	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	14	"AWI"	14	9296	10412	9928	1.68674698795181	0	0	0	0	0	0.72289156626506	0.240963855421687	0	0	0	0	0	0	60.7228915662651	26.0240963855422	0	0	0.240963855421687	0.240963855421687	0	0	0	0	0	0	2.89156626506024	0	2.40963855421687	0	0	0	0	0.72289156626506	0	0	0	0	4.09638554216868	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	22	"AWI"	22	9506	10566	10076	1.70940170940171	0	0	0	0	0	1.28205128205128	0	0	0	0	0	0	0	45.2991452991453	40.3846153846154	0	0	0	0.213675213675214	0	0	0	0	0	0	0	0	2.56410256410256	0	0	0	0	0	0	0	0	0	8.54700854700855	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	30	"AWI"	30	9686	10719	10243	2.87769784172662	0	0	0	0	0	1.43884892086331	0.719424460431655	0.239808153477218	0	0	0	0	0	57.7937649880096	16.5467625899281	0	0	0.239808153477218	0.239808153477218	0	0	0	0	0	0	5.99520383693046	0	2.6378896882494	0	0	0	0	0.239808153477218	0	0	0	0	11.031175059952	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	38	"AWI"	38	9928	10819	10402	1.11111111111111	0	0	0	0	0	0.555555555555556	0	0	0	0	0	0	0	43.3333333333333	23.3333333333333	0	0	0	0	0	0	0	0	0	0	3.88888888888889	0	1.66666666666667	0	0	0	0	0	0	0	0	0	26.1111111111111	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	46	"AWI"	46	10176	10945	10552	1.11482720178372	0	0	0	0	0	1.11482720178372	1.2263099219621	0	0	0	0	0	0	54.9609810479376	27.6477146042363	0	0	0.334448160535117	0.111482720178372	0	0	0	0	0	0	3.79041248606466	0	0.334448160535117	0	0	0	0	0	0	0	0	0	9.36454849498328	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	54	"AWI"	54	10377	11044	10696	0.815217391304348	0	0	0	0	0	2.17391304347826	0	0	0	0	0	0	0	41.5760869565217	38.8586956521739	0	0	0	0	0	0	0	0	0	0	1.35869565217391	0	0.271739130434783	0	0	0	0	0.543478260869565	0	0	0	0	14.4021739130435	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	58	"AWI"	58	10492	11078	10776	1.01010101010101	0	0	0	0	0	4.37710437710438	0.673400673400673	0	0	0	0	0	0	45.1178451178451	37.037037037037	0	0	0	0	0	0	0	0	0	0	1.68350168350168	0.336700336700337	0	0	0	0.336700336700337	0	0	0	0	0	0	9.42760942760943	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	62	"AWI"	62	10569	11127	10861	0.914634146341463	0	0	0	0	0	4.26829268292683	0	0	0	0	0	0	0	21.3414634146341	46.6463414634146	0	0	0	0	0	0	0	0	0	0	3.04878048780488	0	0.914634146341463	0	0	0	0.304878048780488	0	0	0	0	0	22.5609756097561	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	66	"AWI"	66	10652	11186	10947	0.540540540540541	0	0	0	0	0	2.43243243243243	0	0	0	0	0	0	0	12.4324324324324	68.3783783783784	0	0	0	0	0	0	0	0	0	0	2.7027027027027	0	0.27027027027027	0	0	0	0	0.27027027027027	0	0	0	0	12.972972972973	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	70	"AWI"	70	10750	11245	11035	6.15384615384615	0	0	0	0	0	16.9230769230769	0	0	0	0	0	0	0	6.15384615384615	41.5384615384615	0	0	0	0	0	0	0	0	0	0	15.3846153846154	0	0	0	0	0	0	1.53846153846154	0	0	0	0	12.3076923076923	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	74	"AWI"	74	10809	11360	11114	0	0	0	0	0	0	11.8811881188119	0	0	0	0	0	0	0	1.98019801980198	77.2277227722772	0	0	0	0	0	0	0	0	0	0	1.98019801980198	0	0.99009900990099	0	0	0.99009900990099	0	0.99009900990099	0	0	0	0	3.96039603960396	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	76	"AWI"	76	10828	11435	11153	0	0	0	0	0.735294117647059	0	15.4411764705882	0.735294117647059	0	0	0	0	0	0	0	61.7647058823529	0.735294117647059	0.735294117647059	0	2.94117647058824	0	0	0	0	0	0	13.9705882352941	0.735294117647059	0.735294117647059	0	0	0	0	0.735294117647059	0	0	0.735294117647059	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	80	"AWI"	80	10972	11492	11236	0	0	0	0	1.32890365448505	0	8.63787375415282	0	0	0	0	0	0	0	0	88.7043189368771	0	0	0	0	0	0	0	0	0	0	1.32890365448505	0	0	0	0	0	0	0	0	0	0	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	84	"AWI"	84	11079	11552	11321	0	0	0	0	0	0	7.10900473933649	0	0	0	0	0	0	0	0	88.1516587677725	0.4739336492891	0	0	1.4218009478673	0	0	0	0	0	0	2.3696682464455	0	0	0	0	0	0	0.4739336492891	0	0	0	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	86	"AWI"	86	11124	11600	11368	0	0	0	0	2.98507462686567	0	10.4477611940298	0	0	0	0	0	0	0	0	71.6417910447761	0	0	0	1.49253731343284	0	0	0	0	0	0	13.4328358208955	0	0	0	0	0	0	0	0	0	0	0	0	0
