"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Tilia"	"Ulmus"	"Vitaceae"
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	200	"AWI"	200	2562	3070	2821	7	92	5	0	1	19	0	1	0	0	0	0	0	84	1	0	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	220	"AWI"	220	2601	3107	2860	17	148	5	0	0	32	0	2	12	3	0	0	0	98	8	2	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	260	"AWI"	260	2685	3179	2938	7	129	5	6	3	36	2	1	1	1	0	2	0	117	2	2	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	310	"AWI"	310	2787	3274	3035	11	99	3	0	2	48	1	1	6	1	0	2	0	127	8	4	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	360	"AWI"	360	2890	3369	3132	19	84	10	5	5	59	0	1	1	2	0	0	9	126	5	2	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	380	"AWI"	380	2928	3405	3170	22	89	3	5	6	66	2	1	6	11	8	5	0	109	0	3	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	400	"AWI"	400	2971	3440	3209	28	51	5	0	2	43	1	0	7	2	5	4	14	164	2	0	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	450	"AWI"	450	3072	3529	3306	24	7	1	0	4	54	0	0	15	2	5	2	7	116	3	2	0	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	470	"AWI"	470	3111	3568	3344	17	95	7	7	7	59	2	1	20	2	7	2	9	128	5	3	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	490	"AWI"	490	3153	3605	3384	19	134	9	8	5	46	1	1	5	3	7	2	0	93	5	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	540	"AWI"	540	3258	3697	3481	14	96	7	0	1	62	0	1	7	10	10	4	14	102	4	2	4	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	560	"AWI"	560	3298	3737	3520	11	96	16	0	4	76	0	1	11	3	4	8	0	124	5	0	2	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	580	"AWI"	580	3339	3773	3558	10	118	3	7	2	44	4	0	6	2	3	0	0	113	4	2	1	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	600	"AWI"	600	3379	3809	3597	17	86	8	0	1	69	0	2	3	1	5	0	11	115	5	1	1	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	640	"AWI"	640	3457	3881	3675	20	85	6	0	2	83	1	1	5	2	8	5	10	100	3	1	2	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	650	"AWI"	650	3479	3898	3694	16	83	6	3	3	81	0	1	10	2	2	3	18	109	9	2	1	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	670	"AWI"	670	3523	3936	3734	12	79	8	9	3	73	3	3	7	3	3	3	0	120	5	2	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	700	"AWI"	700	3585	3990	3793	14	93	10	9	2	63	0	2	6	2	3	4	0	112	4	2	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	740	"AWI"	740	3667	4060	3870	29	118	8	0	2	61	0	0	7	1	4	6	13	80	6	1	2	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	750	"AWI"	750	3686	4079	3889	29	97	3	9	2	57	2	1	4	1	9	0	0	106	7	1	6	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	760	"AWI"	760	3707	4097	3908	11	97	11	0	5	80	1	1	4	3	0	2	14	95	4	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	780	"AWI"	780	3747	4134	3947	12	154	20	0	2	34	1	2	6	5	7	6	13	87	3	3	2	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	830	"AWI"	830	3849	4222	4043	12	115	6	4	5	53	1	0	7	1	5	0	0	110	4	0	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	880	"AWI"	880	3953	4312	4140	17	69	3	4	3	109	1	0	6	0	8	4	0	95	2	1	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	910	"AWI"	910	4018	4361	4198	10	93	5	0	1	83	0	0	3	0	13	0	0	95	4	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	920	"AWI"	920	4041	4378	4217	7	120	81	9	2	21	0	0	0	0	8	27	0	61	2	1	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	925	"AWI"	925	4051	4387	4227	7	40	5	0	2	29	1	0	0	0	7	0	0	64	3	0	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	930	"AWI"	930	4062	4394	4237	15	85	3	13	1	90	1	0	3	2	3	0	0	98	8	2	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	940	"AWI"	940	4086	4410	4256	19	87	2	0	1	85	3	0	3	1	0	4	0	97	5	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	970	"AWI"	970	4136	4473	4313	19	89	4	0	6	88	2	0	2	1	0	5	0	87	3	1	2	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	990	"AWI"	990	4175	4515	4352	15	85	6	5	1	94	2	0	0	3	0	2	0	96	5	2	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1030	"AWI"	1030	4250	4597	4429	19	84	4	0	1	84	0	1	0	3	0	0	0	102	0	0	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1060	"AWI"	1060	4308	4657	4487	15	87	10	11	1	73	0	0	1	2	7	2	0	109	4	2	1	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1100	"AWI"	1100	4384	4739	4564	13	93	15	7	5	89	2	0	1	0	0	2	0	89	1	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1120	"AWI"	1120	4422	4780	4602	14	95	4	0	1	61	1	0	1	0	0	0	13	116	7	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1170	"AWI"	1170	4509	4881	4699	29	80	3	0	1	46	3	0	1	0	0	0	0	133	2	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1190	"AWI"	1190	4549	4915	4737	10	75	2	0	3	32	2	0	1	0	0	0	0	73	1	1	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1240	"AWI"	1240	4641	5019	4833	12	107	10	0	10	68	2	0	0	3	5	2	0	95	1	0	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1260	"AWI"	1260	4679	5056	4871	13	128	1	6	9	36	1	0	2	3	0	2	15	105	2	2	0	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1270	"AWI"	1270	4699	5078	4891	11	128	3	4	4	52	0	1	0	2	6	0	0	98	1	3	0	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1280	"AWI"	1280	4720	5099	4911	10	75	6	6	4	70	0	0	0	0	0	0	0	129	7	3	0	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1290	"AWI"	1290	4737	5118	4929	10	75	12	6	2	88	0	0	0	0	4	0	0	120	4	5	3	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1300	"AWI"	1300	4754	5138	4950	13	62	7	3	1	86	2	1	1	1	14	3	0	129	10	1	3	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1305	"AWI"	1305	4764	5150	4959	7	73	5	7	5	68	1	1	0	3	9	0	0	136	6	2	6	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1307	"AWI"	1307	4768	5154	4963	11	73	5	0	5	98	0	0	0	1	4	0	0	104	6	5	5	2
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1310	"AWI"	1310	4773	5159	4968	8	62	5	3	0	97	3	0	0	3	0	5	0	126	6	1	6	0
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1312	"AWI"	1312	4778	5163	4972	4	72	8	0	4	73	0	0	0	2	10	3	11	137	3	2	3	1
15966	24616	"Pied-Lizet en Longèves"	46.25	-0.96667	1320	"AWI"	1320	4794	5178	4987	6	82	1	13	4	57	2	1	0	0	5	0	0	85	2	3	4	1
