"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
14641	22971	"Sauborst"	50.27611	12.09944	0	"AWI"	0	-125	39	-43	18	1	0	17	4	1	0	5	0	79	3	0	1	0	3	0	16	33	0	3	0	22	4	0	0	9	5	193	200	25	213	0	0	0	18	0	2	0	1	21	3	0	1	0	2	3	2
14641	22971	"Sauborst"	50.27611	12.09944	5	"AWI"	5	-57	399	93	5	0	0	14	6	6	0	2	0	43	2	0	2	0	5	0	15	24	0	0	0	13	2	0	0	6	4	104	355	0	0	0	0	0	11	9	1	0	2	23	2	0	0	0	0	0	1
14641	22971	"Sauborst"	50.27611	12.09944	10	"AWI"	10	-28	824	225	22	1	1	27	3	2	0	2	4	95	2	0	1	0	1	0	22	44	0	1	0	12	0	0	0	27	4	104	266	22	220	0	1	0	14	15	0	0	1	16	2	0	0	0	0	3	0
14641	22971	"Sauborst"	50.27611	12.09944	15	"AWI"	15	57	993	387	23	0	0	36	1	0	0	3	0	125	0	0	3	0	0	0	39	10	0	0	0	52	0	0	0	3	9	150	129	0	0	0	0	1	21	0	0	0	0	6	1	0	0	0	2	6	1
14641	22971	"Sauborst"	50.27611	12.09944	20	"AWI"	20	103	1281	535	120	0	0	38	0	4	0	0	0	50	5	1	0	0	2	0	20	21	0	0	0	92	2	0	0	33	7	91	105	0	0	0	0	0	24	0	0	0	8	1	1	0	0	0	0	0	0
14641	22971	"Sauborst"	50.27611	12.09944	25	"AWI"	25	215	1430	701	181	1	0	35	0	8	0	3	0	46	4	0	1	0	1	0	21	32	0	0	0	66	3	0	0	18	3	105	70	0	0	0	0	0	38	0	0	0	7	2	4	0	0	0	0	4	1
14641	22971	"Sauborst"	50.27611	12.09944	30	"AWI"	30	281	1663	857	94	1	0	31	1	6	0	5	0	87	4	0	0	0	0	1	36	23	0	0	0	91	3	1	0	3	5	135	106	5	0	0	0	0	30	4	0	0	3	1	3	0	0	0	0	2	2
14641	22971	"Sauborst"	50.27611	12.09944	35	"AWI"	35	430	1781	1021	175	3	0	21	0	3	0	3	0	81	7	2	0	0	0	0	17	39	0	0	0	68	3	0	0	0	3	108	66	0	0	0	0	0	21	0	0	0	5	3	3	0	0	1	0	5	0
14641	22971	"Sauborst"	50.27611	12.09944	40	"AWI"	40	513	1981	1183	125	3	0	19	0	2	0	2	0	48	13	0	0	0	10	0	19	55	0	1	0	74	1	0	0	0	3	175	91	0	0	0	0	0	22	0	0	0	12	0	1	0	0	0	2	1	1
14641	22971	"Sauborst"	50.27611	12.09944	45	"AWI"	45	671	2120	1352	176	0	0	41	0	57	0	5	0	61	0	0	1	0	2	0	21	642	0	0	0	55	3	0	0	8	5	85	100	0	0	0	0	0	28	0	0	0	1	1	5	0	0	0	2	1	0
14641	22971	"Sauborst"	50.27611	12.09944	50	"AWI"	50	768	2302	1516	158	1	0	36	0	35	0	3	0	76	5	0	0	0	2	0	26	401	0	0	0	56	1	0	0	8	4	128	102	0	0	0	1	1	36	0	0	0	5	2	0	1	0	0	0	0	0
14641	22971	"Sauborst"	50.27611	12.09944	55	"AWI"	55	943	2408	1673	153	1	0	21	2	3	0	4	0	60	3	0	0	0	0	0	17	349	0	0	0	40	1	0	0	1	2	152	117	0	0	0	0	0	18	0	0	0	1	1	0	0	0	0	2	1	1
14641	22971	"Sauborst"	50.27611	12.09944	60	"AWI"	60	1062	2600	1831	175	1	0	29	0	8	0	0	0	81	11	0	0	0	0	0	29	506	0	0	0	58	4	0	0	8	2	63	126	0	0	0	0	0	33	0	0	0	6	3	4	0	0	0	0	0	0
14641	22971	"Sauborst"	50.27611	12.09944	65	"AWI"	65	1249	2720	1988	200	2	0	25	0	0	0	0	0	64	15	0	2	0	1	0	40	9	0	0	0	84	5	0	0	0	4	94	94	0	0	0	0	0	29	0	0	0	10	0	0	0	0	0	0	2	0
14641	22971	"Sauborst"	50.27611	12.09944	70	"AWI"	70	1390	2860	2152	200	0	0	34	0	1	0	0	0	41	15	0	0	0	11	0	34	6	0	0	0	61	3	0	0	3	1	142	71	0	0	0	0	0	26	0	0	0	32	2	0	0	0	0	4	1	0
14641	22971	"Sauborst"	50.27611	12.09944	75	"AWI"	75	1630	2965	2305	200	0	0	27	0	0	0	2	0	42	3	0	0	0	9	0	22	17	0	0	0	37	2	0	0	1	0	122	74	0	0	0	0	0	17	0	0	0	21	0	0	0	0	0	0	2	3
