"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"
3264	4239	"Maanselänsuo"	65.61709	29.61124	15	"AWI"	15	52	1085	426	5	0	0	2	60	0	0	65	0	0	1	11	93	10	0	0	0	1	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	30	"AWI"	30	337	1720	967	25	0	0	0	36	0	0	103	0	1	0	27	71	5	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	35	"AWI"	35	544	1833	1151	3	2	0	1	43	0	0	95	0	0	0	18	83	2	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	40	"AWI"	40	657	2038	1327	1	0	0	3	54	0	1	58	8	0	0	20	86	18	0	0	0	1	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	45	"AWI"	45	911	2153	1490	2	0	0	0	38	0	1	76	0	0	0	13	116	4	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	50	"AWI"	50	1050	2338	1658	1	1	0	0	32	0	0	83	0	0	1	22	87	0	1	0	0	0	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	55	"AWI"	55	1413	2507	1831	6	0	0	1	46	0	2	114	0	0	0	12	63	2	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	60	"AWI"	60	1588	2754	2026	7	1	0	1	101	0	2	11	0	0	0	20	71	3	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	65	"AWI"	65	1875	3482	2503	3	0	0	0	35	0	2	89	0	0	0	15	98	7	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	70	"AWI"	70	1994	4674	2930	1	1	0	0	37	0	0	101	0	0	1	26	69	10	0	0	0	0	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	80	"AWI"	80	2547	5800	4050	5	0	0	0	38	0	1	102	0	0	0	19	78	4	0	3	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	90	"AWI"	90	3330	6659	5131	12	0	0	0	73	0	2	51	0	0	0	19	79	12	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	100	"AWI"	100	4428	7219	6199	29	0	0	0	91	0	3	39	0	0	0	7	86	12	0	0	0	0	0	0	2	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	110	"AWI"	110	6353	7623	7128	18	0	0	0	118	0	3	20	0	0	0	1	67	11	0	0	0	0	0	0	3	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	115	"AWI"	115	6735	7901	7421	16	0	0	1	106	0	8	30	0	0	0	0	89	0	0	0	0	0	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	120	"AWI"	120	6939	8571	7680	19	0	0	1	41	0	2	5	0	0	0	0	177	1	1	0	0	1	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	125	"AWI"	125	7182	8780	7946	13	0	0	0	52	0	3	4	0	0	0	0	172	1	0	0	0	1	0	1	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	130	"AWI"	130	7308	9210	8193	16	0	0	0	87	0	3	6	0	0	0	0	134	0	0	0	0	1	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	135	"AWI"	135	7591	9412	8465	18	0	0	0	77	0	4	2	0	0	0	0	143	2	1	0	0	2	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	140	"AWI"	140	7733	9739	8745	15	0	0	1	67	0	2	23	0	0	0	0	136	2	1	0	0	1	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	145	"AWI"	145	8063	9879	9011	16	0	0	0	82	0	4	26	0	0	0	0	117	1	1	0	0	0	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	150	"AWI"	150	8245	10166	9285	0	0	0	1	103	0	3	31	0	0	0	0	102	3	0	0	0	1	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	155	"AWI"	155	8676	10295	9522	1	2	0	1	130	0	4	61	2	0	0	1	43	1	0	0	0	0	0	0	3	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	160	"AWI"	160	8913	10501	9777	0	1	0	2	182	0	1	29	0	0	0	0	25	0	0	0	0	4	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	165	"AWI"	165	9380	10633	10000	0	2	0	6	116	0	1	116	0	0	0	0	4	2	0	0	0	1	0	0	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	170	"AWI"	170	9630	10884	10238	1	0	0	2	61	0	0	169	5	0	1	0	6	3	0	0	0	0	0	0	1	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	175	"AWI"	175	9848	11070	10429	0	1	1	1	50	0	0	175	7	0	0	0	4	1	0	0	0	5	0	1	0	0
3264	4239	"Maanselänsuo"	65.61709	29.61124	180	"AWI"	180	9980	11456	10614	0	3	1	4	51	1	0	156	9	0	0	0	1	6	0	0	0	10	1	0	0	0
