"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14522	22749	"Slawsko"	52.66667	18.25	0	"AWI"	0	480	1248	889	0	1	6	7	0	4	0	11	0	0	0	0	0	0	2	8	0	0	1	0	0	0	0	2	0	0	0	0	1	0	201	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	1
14522	22749	"Slawsko"	52.66667	18.25	10	"AWI"	10	607	1338	999	0	0	7	8	0	0	0	20	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	214	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0
14522	22749	"Slawsko"	52.66667	18.25	20	"AWI"	20	732	1424	1110	0	0	20	14	0	12	0	52	0	0	0	0	0	0	11	14	0	0	0	0	1	0	0	0	0	0	0	0	2	4	266	0	0	0	2	0	14	0	0	0	0	0	0	0	0	1	0	0
14522	22749	"Slawsko"	52.66667	18.25	30	"AWI"	30	863	1510	1218	0	0	92	6	0	32	0	213	0	0	0	0	0	0	30	24	0	0	13	0	2	0	0	0	0	0	0	0	57	2	256	0	224	0	2	0	117	0	0	0	0	0	0	0	2	1	8	3
14522	22749	"Slawsko"	52.66667	18.25	40	"AWI"	40	995	1601	1324	0	2	141	1	0	17	0	217	0	0	0	0	0	0	44	15	0	0	15	0	4	0	0	0	0	0	0	0	125	6	237	0	0	0	5	0	130	0	0	2	0	2	0	0	0	2	11	4
14522	22749	"Slawsko"	52.66667	18.25	50	"AWI"	50	1130	1685	1433	2	0	165	5	0	15	0	345	0	0	0	0	0	0	72	10	0	0	9	0	6	0	0	0	0	0	0	0	48	0	269	0	171	0	2	0	100	0	0	3	0	3	0	0	0	3	7	3
14522	22749	"Slawsko"	52.66667	18.25	60	"AWI"	60	1265	1772	1540	0	0	111	3	0	6	0	360	0	0	0	0	0	0	41	10	0	0	10	0	2	0	0	0	0	0	0	0	34	2	257	0	0	0	1	0	97	0	0	0	0	2	0	0	0	0	5	1
14522	22749	"Slawsko"	52.66667	18.25	70	"AWI"	70	1411	1852	1647	0	0	86	8	0	20	0	132	0	1	8	0	0	0	26	7	0	0	10	0	1	0	0	3	0	0	1	0	24	0	206	0	0	0	3	0	51	0	0	1	0	1	0	0	0	3	1	2
14522	22749	"Slawsko"	52.66667	18.25	80	"AWI"	80	1570	1935	1753	2	1	49	11	0	15	0	57	0	0	0	0	0	0	20	14	0	0	6	0	1	0	0	1	0	0	0	0	10	1	253	0	0	0	2	0	37	0	0	2	0	2	0	0	1	1	8	3
14522	22749	"Slawsko"	52.66667	18.25	90	"AWI"	90	1728	2030	1864	0	0	16	9	0	5	0	44	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	2	209	0	0	0	2	0	16	0	0	1	0	1	0	0	1	0	1	0
