"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	100	"AWI"	100	179	1721	773	0	0	6	0	0	0	1	0	2	4	2	0	42	0	0	5	0	0	0	23	0	18	0	0	0	0	0	12	1	0	14	20	0	0	0	4	15	0	75	0	0	47	3	0	0	0	1	10	0	0	0	0	0	0	0	24	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	110	"AWI"	110	211	1812	867	3	0	10	0	0	0	1	0	2	2	2	0	23	0	0	4	0	0	0	30	0	0	0	0	0	0	0	22	2	0	32	5	0	0	0	1	2	0	29	0	0	52	0	1	0	0	0	7	2	0	0	0	0	0	0	17	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	115	"AWI"	115	228	1860	914	4	0	14	0	1	0	0	0	10	2	3	0	15	0	0	3	0	0	0	31	0	2	0	0	0	0	0	21	2	0	17	3	0	0	0	1	2	0	29	0	2	35	1	0	0	0	0	5	4	0	0	0	0	0	0	23	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	120	"AWI"	120	245	1916	957	3	1	22	0	0	0	2	0	8	1	3	0	17	0	0	5	0	0	0	41	0	3	2	0	0	0	0	27	0	0	20	3	0	1	0	1	11	0	41	0	0	66	0	3	0	0	0	6	2	0	0	0	0	0	0	10	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	125	"AWI"	125	260	1971	1001	0	0	28	2	0	0	2	0	11	1	0	0	16	0	0	5	0	0	0	50	0	4	0	0	0	0	0	26	0	0	12	4	1	0	0	5	15	0	38	0	0	67	0	1	0	0	0	4	5	0	0	0	0	0	0	10	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	130	"AWI"	130	279	2028	1045	1	0	21	0	1	0	2	0	3	1	2	0	34	0	0	6	0	0	0	51	0	1	0	0	0	0	1	23	4	0	14	4	0	0	0	2	4	0	25	0	0	48	0	0	0	0	0	3	7	0	0	0	0	0	0	20	0	1
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	135	"AWI"	135	291	2099	1089	1	2	35	0	0	0	0	0	14	1	3	0	15	0	0	3	0	0	0	55	0	3	0	0	0	0	0	23	0	0	15	3	3	0	0	0	14	0	17	0	0	65	0	1	0	0	1	7	2	0	0	0	0	0	1	14	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	140	"AWI"	140	307	2163	1135	3	0	17	0	2	0	2	0	8	0	0	0	12	0	0	1	0	0	0	44	0	6	0	0	0	0	0	18	1	0	14	6	1	0	0	6	15	0	33	0	0	62	0	0	0	0	1	4	2	0	0	0	0	0	0	12	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	145	"AWI"	145	321	2244	1176	0	0	26	0	1	0	1	0	7	1	3	0	0	0	0	10	0	0	0	19	0	2	0	0	0	0	0	5	1	0	2	8	0	0	0	0	1	0	38	0	0	44	0	2	0	0	0	5	2	0	0	0	1	0	0	36	0	0
3373	4373	"Saint Julien de Ratz"	45.34833	5.65528	155	"AWI"	155	455	2282	1258	7	0	16	0	0	0	1	0	7	1	2	0	17	0	0	4	0	0	0	35	0	4	0	0	0	0	0	27	0	0	11	5	0	2	0	6	21	0	60	0	0	45	2	1	0	0	0	5	4	0	0	0	0	0	0	10	0	0
