"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	0	"AWI"	0	-105	59	-19	5	0	6	0	1	5	0	6	0	0	0	1	6	1	0	13	22	0	17	0	0	0	26	0	1	1	0	0	0	2	1	1	0	57	0	3	66	2	22	1	0	0	0	4	0	0	1	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	5	"AWI"	5	-3	916	254	6	1	10	1	0	11	0	7	0	0	0	0	10	2	0	3	38	0	0	0	0	0	35	0	0	0	1	0	1	0	0	0	0	19	1	5	0	0	15	2	1	0	1	6	0	0	1	1	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	10	"AWI"	10	126	1386	583	5	0	3	0	0	1	0	11	6	0	0	0	1	1	0	7	45	0	0	0	0	0	55	0	0	0	3	0	0	2	0	0	0	25	0	4	45	0	24	0	3	0	1	6	0	0	0	2	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	15	"AWI"	15	314	1832	925	7	0	4	1	0	2	0	12	8	0	0	1	1	3	0	7	27	0	17	0	0	0	36	1	1	1	3	0	2	0	1	0	0	51	0	4	56	0	20	0	0	0	0	3	0	0	0	1	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	20	"AWI"	20	534	2198	1244	5	2	9	0	2	1	0	18	2	0	0	0	5	2	0	7	36	0	0	0	1	0	52	1	0	1	1	0	0	1	0	0	0	24	0	2	44	2	22	0	3	0	3	3	0	0	2	3	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	25	"AWI"	25	763	2539	1565	5	1	10	0	1	6	0	11	5	0	0	2	5	5	0	6	20	0	22	0	1	0	50	0	0	4	0	0	3	0	0	1	1	44	0	3	57	0	28	0	1	0	0	2	0	0	1	0	2
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	30	"AWI"	30	1011	2889	1883	6	2	9	0	1	5	0	18	7	0	0	0	8	0	0	14	48	0	24	0	0	0	51	0	0	1	0	0	0	0	1	1	0	32	0	3	52	1	26	0	1	0	1	5	0	0	2	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	35	"AWI"	35	1262	3225	2213	20	0	9	0	0	7	0	19	2	0	0	1	3	2	0	13	42	0	15	0	0	0	66	0	0	1	0	0	0	0	0	1	0	38	0	2	37	1	32	1	3	0	0	3	1	1	0	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	40	"AWI"	40	1557	3551	2530	8	3	9	1	1	5	0	13	3	0	0	1	5	2	0	11	17	0	0	0	0	0	81	0	0	1	0	0	1	1	0	0	1	36	0	3	25	0	25	0	5	0	0	1	0	0	3	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	45	"AWI"	45	1889	3868	2878	10	1	11	0	0	7	0	16	3	0	0	0	1	0	0	17	42	0	14	1	0	0	90	1	0	1	1	0	0	0	0	1	1	24	0	5	37	0	36	0	0	6	1	5	0	0	1	0	0
