"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Olea"	"Oleaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
335	342	"Selle di Carnino"	44.15	7.69444	35	"AWI"	35	81	645	324	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	2	147	0	0	0	4	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1
335	342	"Selle di Carnino"	44.15	7.69444	40	"AWI"	40	144	682	385	8	1	1	0	0	0	0	0	6	1	0	0	0	5	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	15	0	0	0	102	0	0	0	0	0	7	0	0	0	0	0	0	2	2	0	0	0	1	1	0
335	342	"Selle di Carnino"	44.15	7.69444	45	"AWI"	45	193	730	454	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	6	0	0	2	101	0	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	1	0	0
335	342	"Selle di Carnino"	44.15	7.69444	50	"AWI"	50	234	802	517	15	0	2	1	0	6	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	11	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	12	0	0	0	3	181	0	0	0	11	0	7	2	0	0	0	0	0	0	0	0	1	0	0	0	0
335	342	"Selle di Carnino"	44.15	7.69444	60	"AWI"	60	303	947	634	47	0	2	3	3	4	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	72	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	16	0	3	1	0	0	0	0	1	0	0	2	0	0	0	2	0
335	342	"Selle di Carnino"	44.15	7.69444	65	"AWI"	65	366	1038	691	82	0	3	2	1	4	10	1	0	0	0	0	0	0	0	0	0	0	3	0	2	7	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	1	0	1	0	4	0	0	0	0	64	0	10	1	0	0	0	0	0	1	0	0	0	1	0	1	0
335	342	"Selle di Carnino"	44.15	7.69444	70	"AWI"	70	403	1176	745	52	0	5	2	2	2	8	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	1	0	1	0	0	2	2	0	0
335	342	"Selle di Carnino"	44.15	7.69444	75	"AWI"	75	433	1319	797	97	0	2	1	2	2	0	3	1	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	0	0	10	0	0	1	5	0	0	0	1	0	0	0	0	1	1	0	0	0	0	22	3	10	0	0	0	0	0	0	2	0	0	1	0	1	1	0
335	342	"Selle di Carnino"	44.15	7.69444	80	"AWI"	80	455	1480	848	138	0	3	2	2	0	8	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	4	0	0	0	4	0	0	1	0	0	0	0	1	0	3	0	0	0	0	43	0	8	0	0	0	0	0	1	2	0	2	0	1	0	0	0
335	342	"Selle di Carnino"	44.15	7.69444	85	"AWI"	85	479	1668	900	87	0	7	0	1	8	15	3	1	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	9	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	4	14	0	0	0	0	0	1	1	0	0	0	2	0	2	0
