"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Ceratonia"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26045	45170	"Lake Iznik"	40.43389	29.53306	367.3	"AWI"	367.3	1956.4	3636.6	2843	1	0	19	0	1	0	0	0	12	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	12	10	0	2	14	0	0	30	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	15	0	0	0	30	3	0	1	0	131	2	0	0	121	4	0	0	3	0	4	0	0	0	4	0	0	2	10	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	379.3	"AWI"	379.3	2111.6	3671.5	2940.4	0	0	13	0	0	1	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	19	0	0	17	0	0	35	3	0	0	0	0	0	7	0	0	0	0	0	0	3	0	9	0	0	0	55	3	0	1	0	101	8	0	0	99	4	0	0	3	0	2	0	0	0	2	0	0	0	3	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	391.3	"AWI"	391.3	2245.4	3740.6	3035.7	1	0	14	0	0	2	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0	14	0	0	35	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	17	0	0	0	65	0	0	2	0	100	2	0	0	139	3	0	0	4	0	1	0	0	0	2	0	0	3	5	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	403.3	"AWI"	403.3	2348.1	3790.2	3136.3	0	0	15	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	6	0	0	51	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	29	0	0	0	131	0	0	9	0	14	1	0	0	306	1	0	0	0	0	1	0	0	0	0	0	0	2	6	0	0
26045	45170	"Lake Iznik"	40.43389	29.53306	415.3	"AWI"	415.3	2410.5	3881	3242.1	0	0	19	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	27	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	29	0	0	0	153	1	0	3	0	18	0	0	0	239	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	427.3	"AWI"	427.3	2575.7	3973	3341.6	1	0	10	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	7	0	0	23	0	0	0	0	0	2	1	0	0	0	0	0	0	5	0	15	0	0	0	144	1	0	1	0	19	0	0	0	239	1	0	0	1	0	2	0	0	0	0	0	0	0	9	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	437.8	"AWI"	437.8	2871.6	4045.2	3443.6	0	0	7	0	0	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	15	2	0	0	4	0	0	32	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	20	0	0	0	126	1	0	2	0	27	0	0	0	242	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1
26045	45170	"Lake Iznik"	40.43389	29.53306	449.8	"AWI"	449.8	3082.6	4135.2	3571.8	0	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	10	0	0	5	0	0	44	0	0	0	0	0	0	14	0	0	0	0	0	0	2	0	18	0	0	0	74	0	0	1	0	33	1	0	0	257	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5
26045	45170	"Lake Iznik"	40.43389	29.53306	465	"AWI"	465	3247	4337	3745	3	0	6	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	3	0	0	27	0	0	0	0	0	0	16	0	0	1	0	0	0	3	0	22	0	0	1	25	2	0	0	1	84	4	0	0	194	1	0	0	0	0	1	0	1	1	0	0	1	2	6	0	2
26045	45170	"Lake Iznik"	40.43389	29.53306	485	"AWI"	485	3355	4753	3957	7	0	8	0	0	1	0	0	9	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	8	0	0	54	2	0	0	0	0	2	9	0	0	0	0	0	0	8	0	20	0	0	0	37	1	24	0	0	54	0	0	0	201	2	0	0	1	0	3	0	0	0	0	0	0	2	2	0	1
