"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	142	"AWI"	142	-35	395	132	4	0	0	0	0	0	0	0	0	0	8	0	1	0	0	9	0	0	1	0	0	0	21	6	0	0	0	0	0	5	0	2	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	5	0	4	19	0	25	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	1	4	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	144	"AWI"	144	-32	411	142	7	0	0	1	0	0	0	1	0	0	8	0	1	0	0	1	0	0	0	0	0	0	15	11	0	0	0	0	0	3	0	4	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	3	0	0	25	0	0	0	0	0	0	19	0	0	0	0	2	5	0	0	0	0	0	0	1	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	146	"AWI"	146	-29	432	150	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	1	0	0	0	14	7	0	0	0	0	0	6	0	2	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	0	0	10	0	0	0	1	4	0	0	0	0	0	0	1	1	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	148	"AWI"	148	-22	443	160	6	0	0	0	0	0	0	1	0	0	11	0	1	0	1	2	0	0	0	0	0	0	11	5	0	0	0	0	0	11	0	3	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	6	30	0	18	0	0	0	1	19	0	0	0	0	2	1	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	150	"AWI"	150	-11	450	169	5	0	0	1	0	0	0	3	0	0	26	0	2	0	0	1	0	0	0	0	0	0	26	11	0	0	0	0	0	25	0	2	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	4	0	15	51	0	57	0	0	0	0	50	0	0	0	0	3	0	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	152	"AWI"	152	-2	458	179	4	2	0	0	0	0	0	10	0	0	36	0	0	0	0	15	0	0	2	0	0	0	41	9	0	0	0	0	0	36	0	9	0	0	0	0	0	18	5	0	0	0	0	0	0	0	0	15	0	3	42	0	118	0	0	0	1	74	0	0	0	1	8	5	0	0	0	0	0	1	2	2
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	154	"AWI"	154	7	465	190	1	0	0	2	0	0	0	3	0	0	23	0	1	0	0	6	0	0	0	0	0	0	20	14	0	0	0	0	0	9	0	1	0	0	0	0	0	8	19	0	0	0	0	0	0	0	0	2	0	1	24	0	0	0	1	0	0	30	0	0	0	0	5	6	0	0	0	0	0	2	0	4
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	156	"AWI"	156	14	471	201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	158	"AWI"	158	19	477	212	1	1	0	2	0	0	0	4	0	0	15	0	1	1	0	6	0	0	0	0	0	0	19	14	0	0	0	0	0	10	0	7	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	1	0	3	21	0	0	0	1	0	2	27	0	0	0	0	0	5	0	0	0	0	0	1	1	2
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	160	"AWI"	160	24	484	223	4	0	0	1	0	0	0	7	0	0	28	0	0	0	0	7	0	0	0	0	0	0	40	19	0	0	0	0	0	55	0	6	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	8	0	19	29	0	0	0	0	0	0	58	0	0	0	0	3	9	0	1	0	0	0	4	8	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	162	"AWI"	162	29	491	234	3	2	0	0	0	0	0	0	0	0	23	0	0	0	0	6	0	0	0	0	0	0	21	19	0	0	0	0	0	16	0	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	6	0	4	28	0	48	0	0	0	1	35	0	0	0	0	10	3	0	0	0	0	0	1	1	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	164	"AWI"	164	35	501	245	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	11	6	0	0	0	0	0	1	0	1	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	1	0	1	8	0	16	0	0	0	0	10	0	0	0	0	2	1	0	0	0	0	0	0	0	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	166	"AWI"	166	40	515	256	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	168	"AWI"	168	44	526	265	1	0	0	0	0	0	0	1	0	0	10	0	1	0	0	7	0	0	0	0	0	0	8	12	1	0	0	0	0	9	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	5	0	1	24	0	38	0	0	0	0	16	0	0	0	0	2	1	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	170	"AWI"	170	47	538	275	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	7	7	0	0	0	0	0	6	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	172	"AWI"	172	60	546	285	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	2	0	0	0	0	0	0	14	9	0	0	0	0	0	13	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0	21	0	0	0	1	4	1	0	0	0	0	0	0	2	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	174	"AWI"	174	73	554	294	6	0	0	2	0	0	0	2	0	0	17	0	0	0	0	16	0	0	1	0	0	0	40	14	0	0	0	0	0	36	0	2	0	0	0	0	0	9	4	0	0	1	0	0	0	0	0	7	0	5	32	0	48	0	0	0	0	42	0	0	0	0	6	6	0	0	0	0	0	1	3	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	176	"AWI"	176	83	560	303	0	2	0	0	0	0	0	2	0	0	11	0	0	0	0	1	0	0	0	0	0	0	10	6	1	0	0	0	0	7	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	1	0	2	14	0	18	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	1	1
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	178	"AWI"	178	90	568	312	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	1	0	0	0	0	0	0	12	5	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	180	"AWI"	180	96	573	321	10	1	0	1	0	0	0	3	0	0	26	0	1	0	0	3	0	0	0	0	0	0	101	14	0	0	0	0	0	40	0	1	0	0	1	0	0	5	8	0	0	0	0	0	0	0	0	7	0	10	36	0	55	0	0	0	0	50	0	0	0	0	2	3	1	0	0	0	0	1	6	0
24234	42649	"Hornstaad-Hörnle"	47.693686	9.005356	182	"AWI"	182	102	583	331	2	0	0	1	0	0	0	1	0	0	4	0	1	1	0	1	0	0	0	0	0	0	8	5	0	0	0	0	0	6	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1
