"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Coriariaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	15	"AWI"	15	-111	62	-34	5	0	19	1	1	13	0	3	1	2	0	0	2	0	1	0	0	0	1	0	148	0	0	2	0	0	3	1	0	2	0	0	0	0	1	0	0	0	21	188	0	63	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	3	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	35	"AWI"	35	149	2082	755	18	0	0	1	2	3	0	4	1	0	0	0	0	0	0	0	0	0	1	0	82	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	257	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	45	"AWI"	45	309	2934	1200	22	1	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	2	0	95	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	5	248	0	0	0	0	0	4	0	0	0	0	0	1	3	0	1	0	0	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	55	"AWI"	55	567	3422	1640	19	0	4	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	47	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	241	0	0	0	0	0	4	0	3	0	0	0	2	6	3	1	1	1	1	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	65	"AWI"	65	861	3981	2103	16	0	0	0	3	7	0	46	2	4	0	0	0	0	0	0	0	0	3	0	109	0	0	0	0	0	2	2	1	1	1	2	0	0	0	0	2	0	3	243	0	0	0	0	0	3	0	2	0	0	0	4	2	2	1	2	2	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	75	"AWI"	75	1134	4588	2542	16	0	4	2	2	4	0	3	0	3	0	0	0	0	0	0	0	0	1	0	122	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	280	0	0	0	0	0	5	0	3	0	0	2	1	3	3	0	0	0	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	85	"AWI"	85	1454	5052	3016	30	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	51	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	297	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	95	"AWI"	95	1829	5480	3475	26	0	0	0	2	8	0	10	0	1	0	0	0	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	290	0	0	0	0	0	4	0	3	0	0	0	1	0	4	0	1	0	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	105	"AWI"	105	2179	5984	3951	22	0	7	1	0	2	0	11	0	0	0	0	0	0	0	0	0	0	2	1	86	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	277	0	0	0	0	0	5	0	1	0	0	1	2	0	1	1	1	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	110	"AWI"	110	2350	6149	4185	24	2	2	0	3	8	0	7	1	1	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	299	0	0	0	0	0	3	0	3	0	0	0	3	0	1	0	0	1	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	115	"AWI"	115	2497	6389	4437	30	1	2	0	2	2	0	8	1	1	0	0	0	0	0	0	0	0	4	0	82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	270	0	0	0	0	0	6	0	1	0	0	0	3	0	0	2	1	2	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	125	"AWI"	125	2902	6759	4912	25	0	0	0	1	6	0	3	1	1	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	257	0	0	0	0	0	1	0	6	0	0	0	62	3	0	1	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	135	"AWI"	135	3337	7135	5386	21	0	2	0	1	6	0	4	0	1	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	222	0	0	0	0	0	1	0	1	0	0	2	7	0	0	0	0	0	1	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	145	"AWI"	145	3747	7514	5866	13	0	2	0	0	3	0	5	0	0	0	0	0	0	0	1	0	0	3	1	147	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	152	0	0	0	0	0	3	0	3	0	0	0	3	0	0	0	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	150	"AWI"	150	4074	7634	6094	30	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	185	0	0	0	0	0	2	0	1	0	0	1	2	0	1	0	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	160	"AWI"	160	4554	8008	6557	8	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	90	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	62	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	170	"AWI"	170	5121	8234	6977	28	0	0	0	7	0	0	8	1	1	0	0	0	0	0	0	0	0	7	0	84	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	293	0	0	0	0	0	5	0	9	0	0	0	2	0	0	0	0	4	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	175	"AWI"	175	5321	8439	7189	36	0	0	0	3	3	0	22	2	0	0	0	0	0	0	0	0	0	3	0	54	0	0	3	0	0	0	0	0	4	0	4	0	0	0	0	0	0	2	322	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	3	0	1
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	180	"AWI"	180	5715	8529	7410	28	1	0	0	3	2	0	28	5	0	0	0	0	0	0	0	0	0	5	0	97	1	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	339	0	0	0	0	0	9	0	1	0	1	1	2	0	0	1	0	3	1	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	185	"AWI"	185	6097	8648	7644	11	0	0	0	2	3	0	41	2	0	0	0	0	0	0	0	0	0	3	1	38	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	2	291	0	0	0	0	0	6	0	1	0	0	0	3	0	1	0	1	3	1	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	190	"AWI"	190	6341	8814	7881	22	0	0	0	1	2	0	100	0	2	0	0	0	0	0	0	0	0	2	1	28	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	368	0	0	0	0	0	5	0	4	0	0	0	0	0	1	0	0	2	2	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	195	"AWI"	195	6766	8888	8096	37	1	10	0	1	3	0	52	2	1	0	0	0	0	0	1	0	0	5	1	66	0	1	0	1	0	0	3	0	8	4	5	0	0	0	0	0	0	1	586	0	0	0	0	0	7	0	4	0	0	1	3	0	5	0	2	5	6	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	200	"AWI"	200	7073	8986	8317	39	0	12	0	6	4	0	71	7	0	0	0	0	0	0	0	1	0	9	0	21	0	0	0	0	0	0	2	0	2	0	11	1	16	0	0	0	0	0	552	0	0	0	0	0	14	0	7	0	0	3	7	0	0	0	1	3	4	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	205	"AWI"	205	7410	9118	8531	10	0	2	0	0	4	0	43	2	0	0	0	0	0	0	0	0	0	2	0	31	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	243	0	13	0	0	0	5	0	3	0	0	1	3	0	0	0	1	1	3	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	210	"AWI"	210	8011	9176	8708	16	3	0	0	2	2	0	17	4	0	0	0	0	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	378	0	0	0	0	0	6	0	2	0	0	0	1	1	1	0	1	5	6	0
