"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
14499	22711	"Loch Clair"	57.55889	-5.34361	10	"AWI"	10	-45	488	117	43	0	0	0	3	0	0	0	0	158	23	202	0	0	0	0	1	0	62	0	0	30	0	1	3	0	1	1	0	0	0	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	22	"AWI"	22	75	822	360	22	0	0	0	0	0	0	0	0	64	18	0	0	0	0	0	0	0	28	0	0	38	0	1	0	0	0	1	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	30	"AWI"	30	172	1032	521	19	3	0	0	0	0	0	0	0	42	16	0	0	0	0	0	0	0	24	0	0	42	0	0	1	0	0	0	0	0	0	1	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	38	"AWI"	38	280	1236	685	30	0	0	0	0	0	0	0	0	66	29	0	1	0	0	0	0	0	39	0	0	55	0	1	3	0	0	0	0	0	2	0	0	0	4
14499	22711	"Loch Clair"	57.55889	-5.34361	50	"AWI"	50	442	1510	936	28	0	0	0	0	0	0	0	0	69	18	0	0	0	0	0	0	0	43	0	0	53	0	3	1	0	0	2	0	0	1	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	58	"AWI"	58	575	1679	1100	34	0	0	0	0	0	0	0	0	50	15	110	0	0	0	0	1	0	41	0	0	39	0	2	1	0	0	0	0	0	2	0	0	0	1
14499	22711	"Loch Clair"	57.55889	-5.34361	66	"AWI"	66	716	1843	1260	37	0	0	0	0	0	0	0	0	64	26	141	1	0	0	0	0	0	45	0	0	60	0	0	3	0	0	1	0	0	0	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	74	"AWI"	74	851	2001	1421	38	0	0	0	0	0	0	0	0	61	12	0	0	0	0	0	0	0	41	0	0	27	0	2	1	0	0	0	0	0	2	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	82	"AWI"	82	992	2150	1579	31	0	0	1	0	0	0	0	0	49	11	0	0	2	0	0	1	0	55	0	0	28	0	1	1	0	0	0	0	0	2	0	0	0	0
14499	22711	"Loch Clair"	57.55889	-5.34361	90	"AWI"	90	1154	2296	1736	31	0	0	0	0	0	0	0	0	40	11	0	0	1	0	0	0	0	44	0	0	31	0	0	3	0	1	0	0	0	1	0	0	0	0
