"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Verbenaceae"	"Viburnum"	"Vitaceae"
3248	4216	"Logné"	47.32833	-1.50111	5	"AWI"	5	-95	78	-8	3	0	9	4	2	1	0	0	44	0	0	0	0	0	0	0	7	1	0	0	16	0	6	123	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	76	0	0	0	3	9	0	34	0	0	0	0	20	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	10	"AWI"	10	-72	158	51	6	0	11	3	0	0	2	0	1	0	2	0	0	0	0	0	16	0	0	0	13	0	6	140	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	8	0	47	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	15	"AWI"	15	-57	251	110	3	0	8	0	0	0	2	0	3	0	2	0	1	0	0	0	22	0	0	0	1	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	1	0	129	0	0	0	0	58	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	20	"AWI"	20	-46	347	168	0	0	12	1	1	0	2	0	8	0	0	0	0	2	0	1	9	0	0	0	16	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	36	0	0	3	0	3	0	68	0	0	0	0	57	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	25	"AWI"	25	-36	450	226	3	0	6	2	1	0	1	0	18	0	2	0	0	3	0	1	8	0	0	0	17	0	15	42	1	0	0	3	1	0	0	0	0	1	0	7	0	2	0	48	0	0	1	3	0	0	93	0	2	0	0	53	0	2	0	0	0	0	2	0	0	0	2	1	0	2	3	0	0	2
3248	4216	"Logné"	47.32833	-1.50111	30	"AWI"	30	-15	543	283	0	0	7	0	0	0	2	0	13	0	2	0	0	3	0	0	22	0	0	0	13	1	29	0	0	0	0	5	1	0	0	0	0	1	0	0	2	0	0	17	0	0	1	0	1	0	47	0	0	0	0	79	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	35	"AWI"	35	83	553	332	1	0	2	1	0	1	0	0	7	0	0	1	1	1	0	0	7	0	0	0	14	0	7	63	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	52	0	0	0	0	1	0	46	0	3	0	0	79	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	40	"AWI"	40	179	566	381	0	0	3	1	2	0	1	0	5	0	0	0	0	2	0	0	10	0	0	0	10	0	10	0	0	0	0	4	0	0	0	0	0	0	0	2	4	1	0	49	0	0	0	0	1	0	46	0	0	0	0	91	0	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	45	"AWI"	45	273	579	430	0	0	6	1	0	0	0	0	10	0	0	0	0	0	0	1	2	0	0	0	10	0	9	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	0	32	0	0	1	0	1	0	77	0	2	0	0	77	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	50	"AWI"	50	362	595	478	0	0	5	4	0	0	5	0	13	0	0	0	0	3	0	0	3	0	1	0	11	0	11	0	0	0	0	5	1	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	2	0	53	0	5	0	0	97	0	4	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	55	"AWI"	55	441	614	527	1	0	8	2	0	0	2	0	5	0	0	0	0	2	0	0	0	0	0	0	7	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	1	0	44	0	1	0	0	101	1	5	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	60	"AWI"	60	493	648	569	1	0	15	0	0	0	3	0	5	0	0	0	0	2	0	0	4	0	0	0	9	0	13	138	0	0	0	4	0	0	0	0	0	1	0	4	0	0	0	25	0	0	0	0	2	0	39	0	1	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
3248	4216	"Logné"	47.32833	-1.50111	65	"AWI"	65	517	659	586	2	0	16	2	2	0	2	0	6	0	1	0	0	3	0	0	1	0	0	0	5	0	12	87	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	57	0	7	0	0	87	0	2	0	0	0	0	1	3	0	0	1	0	0	1	2	1	0	0
3248	4216	"Logné"	47.32833	-1.50111	70	"AWI"	70	534	676	603	0	0	10	1	1	0	2	0	3	0	2	0	1	1	0	0	0	0	0	0	3	0	15	177	0	0	0	3	0	0	0	0	0	0	0	4	2	0	0	6	0	0	1	0	2	0	39	0	5	0	0	42	0	0	0	0	0	11	2	0	0	0	1	0	0	0	1	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	75	"AWI"	75	547	708	619	0	0	3	2	2	0	3	0	3	0	3	0	5	2	0	0	11	0	0	0	7	0	5	0	0	0	0	5	0	0	0	0	0	0	0	3	2	0	0	3	0	0	1	0	2	0	56	0	0	0	1	23	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2
3248	4216	"Logné"	47.32833	-1.50111	80	"AWI"	80	558	746	635	0	0	7	0	1	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	3	0	11	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	10	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
3248	4216	"Logné"	47.32833	-1.50111	85	"AWI"	85	566	783	650	0	0	44	0	0	0	2	0	19	0	0	0	1	0	0	0	1	0	0	0	26	0	25	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	27	0	0	3	0	5	0	38	0	0	0	0	69	0	2	0	0	0	0	4	0	0	0	1	1	0	0	2	0	0	0
3248	4216	"Logné"	47.32833	-1.50111	90	"AWI"	90	606	860	704	0	1	22	1	3	1	0	0	12	0	1	0	15	0	0	0	16	0	0	0	6	1	64	12	0	0	0	2	2	0	0	0	0	0	0	1	3	0	0	5	0	0	0	0	0	0	22	0	1	0	2	54	6	1	0	0	0	0	2	0	0	0	2	17	0	0	0	0	0	1
