"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Verbenaceae"
15929	24539	"Corniche de Pail"	48.41667	-0.21111	5	"AWI"	5	702	1193	959	1	5	1	0	3	1	22	34	10	0	0	0	19	0	9	8	97	0	0	37	3	1	0	0	1	1	0	0	0	0	5	7	0	1	0	1	48	1	2	0	2	0	0	4	12	0	3	1
15929	24539	"Corniche de Pail"	48.41667	-0.21111	7.5	"AWI"	7.5	1035.5	1410.5	1220	0	18	1	0	2	2	8	118	0	0	0	0	3	0	33	2	8	0	0	0	11	0	0	4	1	1	0	1	1	1	3	4	14	0	0	0	93	2	0	0	3	6	0	1	0	11	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	10	"AWI"	10	1327	1684	1480	0	19	0	1	1	0	6	91	1	0	0	1	0	0	36	27	8	0	2	0	9	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	96	1	0	0	0	3	0	2	0	10	1	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	15	"AWI"	15	1772	2308	2019	0	21	2	2	1	1	7	90	0	0	0	0	0	0	42	2	8	0	0	0	10	0	0	2	0	0	0	1	0	0	1	2	6	0	0	0	112	1	0	0	1	5	0	0	0	19	0	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	20	"AWI"	20	2258	2877	2556	0	25	0	1	2	1	7	68	1	0	0	2	0	0	59	11	0	0	0	1	3	1	0	3	0	2	0	0	0	0	1	0	5	0	0	0	120	3	0	0	0	9	0	1	0	11	1	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	25	"AWI"	25	2766	3429	3094	0	36	0	2	2	0	4	67	0	0	0	0	0	0	75	5	0	0	0	0	3	1	0	2	0	2	0	2	0	0	2	0	0	0	0	0	96	2	2	0	0	21	0	0	0	8	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	30	"AWI"	30	3317	3939	3633	2	21	0	1	2	2	5	82	0	0	0	0	0	0	44	8	0	0	0	0	0	0	0	3	0	1	0	2	0	0	3	1	0	0	0	0	105	3	1	0	1	47	0	3	0	8	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	35	"AWI"	35	3898	4437	4164	1	9	0	0	3	1	0	122	0	0	0	1	0	0	47	9	3	0	0	0	1	0	0	13	0	0	0	0	0	0	4	2	0	0	0	0	77	2	0	0	0	32	0	0	0	6	0	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	39	"AWI"	39	4318	4898	4589	0	15	1	1	2	0	0	140	0	0	0	1	0	0	56	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	80	3	0	0	0	22	0	0	0	7	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	41	"AWI"	41	4498	5149	4803	0	34	1	0	3	2	0	122	0	0	0	0	0	0	35	11	0	0	0	0	2	0	0	3	0	0	1	0	0	1	2	0	0	0	0	0	88	2	1	0	0	18	0	0	0	14	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	43	"AWI"	43	4683	5407	5016	0	46	1	0	2	3	0	121	0	1	0	0	0	0	26	8	0	1	0	0	0	2	1	2	0	0	0	1	0	0	3	2	0	0	0	0	92	3	0	0	0	13	0	0	0	10	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	45	"AWI"	45	4867	5652	5229	0	38	2	1	2	2	5	101	2	1	0	1	0	0	22	11	0	0	0	1	2	0	0	3	0	2	1	0	0	0	2	0	0	0	0	0	113	4	1	0	0	13	0	1	0	5	3	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	47	"AWI"	47	5056	5893	5446	0	38	2	0	2	0	6	89	1	0	0	0	0	0	31	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	106	1	0	0	0	3	0	0	0	14	2	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	49	"AWI"	49	5245	6146	5660	0	36	2	0	3	3	6	110	0	1	3	0	0	0	28	8	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	79	3	1	0	0	2	0	0	0	15	3	0
15929	24539	"Corniche de Pail"	48.41667	-0.21111	51	"AWI"	51	5429	6387	5877	0	49	0	1	1	1	0	83	0	0	0	0	0	0	33	10	0	1	0	0	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	97	2	0	0	0	6	1	0	0	10	1	0
