"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Lamiaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Tilia"	"Ulmus"	"Urticaceae"
13398	20068	"Leerdam"	51.88806	5.07556	221	"AWI"	221	2144	2572	2370	0	2	738	0	0	1	0	10	13	0	13	19	14	1	31	0	1	0	0	1	0	0	17	1	386	76	6	4	2	0	30	0	2	3	0
13398	20068	"Leerdam"	51.88806	5.07556	225	"AWI"	225	2274	2689	2492	0	4	3445	3	0	2	0	13	11	0	22	43	16	0	25	0	0	0	0	0	0	0.5	8.5	5	0	112	6	8	15	0	107	0	0	6	1
13398	20068	"Leerdam"	51.88806	5.07556	229	"AWI"	229	2405	2800	2615	1	0	3023	3	0	5	0	12	16	0	8	35	14	3	15	0	0	0	4	2	1	1	16	6	151	83	12	7	38	0	77	4	1	4	1
13398	20068	"Leerdam"	51.88806	5.07556	233	"AWI"	233	2535	2913	2736	1	0	972	4	0	3	0	14	40	0	14	90	19	12	47	0	0	0	5	1	0	2.5	28	3	294	95	5	4	10	0	67	1	0	1	1
13398	20068	"Leerdam"	51.88806	5.07556	237	"AWI"	237	2662	3029	2854	0	1	1838	2	0	3	0	11	8	1	43	67	21	2	39	0	2	0	0	1	0	0	21	2	208	63	2	5	6	0	58	0	1	10	0
13398	20068	"Leerdam"	51.88806	5.07556	239	"AWI"	239	2728	3087	2914	0	0	2378	3	0	1	0	25	150	0	40	122	0	5	20	0	0	1	1	0	0	0	18	2	75	78	2	10	4	4	48	3	1	6	0
13398	20068	"Leerdam"	51.88806	5.07556	241	"AWI"	241	2789	3146	2974	1	3	1633	0	0	2	0	18	30	1	23	93	12	1	58	0	2	0	0	4	0	0.5	36.5	2	0	153	9	4	12	7	29	0	0	6	0
13398	20068	"Leerdam"	51.88806	5.07556	245	"AWI"	245	2917	3258	3094	0.5	1	1245	2	0	0	3	8	63	0	22	84	0	2	40	0	2	0	5	5	0	3	35	3	0	131	12	6	43	9	55	0	5	3	0
13398	20068	"Leerdam"	51.88806	5.07556	249	"AWI"	249	3047	3374	3213	0	3	1111	0	0	1	2	8	91	0	20	37	0	8	31	0	4	0	4	2	0	1	30.5	3	245	167	4	4	21	9	125	0	4	5	0
13398	20068	"Leerdam"	51.88806	5.07556	253	"AWI"	253	3180	3483	3331	0	1	400	1	0	4	0	10	84	1	36	19	0	8	39	0	3	0	2	0	2	2	13.5	5	0	123	8	0	25	13	48	0	3	5	0
13398	20068	"Leerdam"	51.88806	5.07556	257	"AWI"	257	3295	3595	3450	0	0	922	11	0	1	10	4	33	1	12	15	0	0	8	0	0	0	6	0	0	2.5	73.5	1	677	116	9	3	16	0	6	0	8	4	0
13398	20068	"Leerdam"	51.88806	5.07556	258	"AWI"	258	3329	3632	3480	0	2	828	3	0	0	6	12	22	4	13	198	0	1	11	1	0	0	3	0	0	3	49	0	0	95	3	50	8	2	7	1	9	0	0
13398	20068	"Leerdam"	51.88806	5.07556	259	"AWI"	259	3360	3668	3511	0.5	0	189	0	0	0	0	2	7	0	2	15	0	1	1	0	0	0	0	0	0	10	72	0	0	14	0	0	1	0	4	0	7	2	0
13398	20068	"Leerdam"	51.88806	5.07556	260	"AWI"	260	3390	3702	3541	0	0	103	1	0	0	5	1	3	0	2	46	0	0	0	0	0	0	0	0	0	22.5	74	0	277	16	2	0	2	0	1	0	8	1	0
13398	20068	"Leerdam"	51.88806	5.07556	262	"AWI"	262	3447	3769	3602	3.5	0	79	0	0	0	0	1	1	0	2	22	0	0	1	0	0	0	0	0	0	19.5	61.5	0	0	14	0	0	0	0	1	0	3	0	0
13398	20068	"Leerdam"	51.88806	5.07556	264	"AWI"	264	3504	3836	3663	7	0	141	0	0	0	0	2	4	0	12	19	0	0	5	0	0	0	0	0	0	20.5	63	0	0	38	1	1	0	0	0	0	16	1	0
13398	20068	"Leerdam"	51.88806	5.07556	268	"AWI"	268	3618	3967	3783	1	0	239	1	0	0	2	2	3	1	16	27	0	0	10	0	0	0	0	0	0	10.5	33.5	0	224	23	0	1	0	0	2	0	6	2	0
13398	20068	"Leerdam"	51.88806	5.07556	270	"AWI"	270	3675	4031	3844	6	0	171	1	0	0	0	4	2	0	8	12	6	1	9	0	0	0	0	0	0	8	38.5	0	0	32	0	0	0	0	0	0	7	1	0
