"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16168	25481	"Lac des Boites"	45.05611	5.88528	105	"AWI"	105	1426	1969	1720	5.68720379146919	0	5.21327014218009	0.4739336492891	0	0	0	0	7.10900473933649	0	0	0	0	0	0	0.4739336492891	0	0	0	2.8436018957346	0	12.3222748815166	0	0	0	0	0	3.3175355450237	0	0	0	0	0	0	0	8.05687203791469	1.8957345971564	0	0	0	0.947867298578199	0	0	1.8957345971564	17.5355450236967	0	0	0	0	0	10.9004739336493	0	0	0	5.21327014218009	0	2.3696682464455	0	0	0.4739336492891	0.4739336492891	0	0	0	0.4739336492891	0	0	0.947867298578199	0	0	11.3744075829384	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	110	"AWI"	110	1539	2033	1803	4.33070866141732	0	5.51181102362205	0	0	0	0	0	5.51181102362205	0	0	0	0	0	0	0	0	0	0	1.5748031496063	0	20.0787401574803	0	0	0	0	0	2.75590551181102	0	0	0.393700787401575	0	0	0	0	5.11811023622047	1.5748031496063	0	0	0	0.78740157480315	0	0	0.393700787401575	9.05511811023622	0	0	0	0.78740157480315	0	13.7795275590551	0	0	0	5.90551181102362	0	0.393700787401575	0	0	0.393700787401575	3.54330708661417	0	0	0	0.393700787401575	0.393700787401575	0	0	0	0.78740157480315	16.5354330708661	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	115	"AWI"	115	1635	2087	1877	3.60824742268041	0.515463917525773	0	0.515463917525773	0	0	0.515463917525773	0	0.515463917525773	0	0	0	0	0	0	0.515463917525773	0	0	0	6.18556701030928	0	21.6494845360825	0	0	0	0	0	3.60824742268041	0	0.515463917525773	0	0	0	0	0	4.12371134020619	2.57731958762887	0	0	0	1.03092783505155	0	0	1.03092783505155	22.680412371134	0	0	0	0	0	6.70103092783505	0	0	0	7.21649484536082	0.515463917525773	0.515463917525773	0	0	0	0.515463917525773	0	0	0	0.515463917525773	0	0	0.515463917525773	0.515463917525773	0	12.3711340206186	0	1.03092783505155
16168	25481	"Lac des Boites"	45.05611	5.88528	120	"AWI"	120	1688	2197	1946	5.77889447236181	0	6.78391959798995	0.251256281407035	0	0	0	0	3.01507537688442	0	0	0	0	0	0	1.25628140703518	0	0	0	3.51758793969849	0	15.8291457286432	0.251256281407035	0	0	0	0	3.01507537688442	0	0.251256281407035	0	0	0	0	0	3.26633165829146	0.50251256281407	0	0	0	1.50753768844221	0	0	0	19.5979899497487	0	0.251256281407035	0	0	0	15.3266331658291	0	0	0	3.76884422110553	0	0.753768844221105	0	0	0	1.75879396984925	0	0	0	0	0.251256281407035	0	0	0.753768844221105	0.753768844221105	11.5577889447236	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	125	"AWI"	125	1749	2260	2013	5.94059405940594	0.198019801980198	0	0	0	0	0.396039603960396	0	1.98019801980198	0	0	0.198019801980198	0	0	0	1.78217821782178	0	0	0	3.36633663366337	0	7.72277227722772	0	0	0	0	0	2.37623762376238	0	0.198019801980198	0	0	0	0	0	3.56435643564356	0.396039603960396	0	0	0	0.99009900990099	0	0	0.396039603960396	42.970297029703	8.51485148514852	0	0	0	0	5.94059405940594	0	0	0	3.16831683168317	0.396039603960396	0.198019801980198	0	0	0	0.594059405940594	0.198019801980198	0	0	0	0	0	0.198019801980198	0.594059405940594	0	7.72277227722772	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	130	"AWI"	130	1792	2360	2080	12.2772277227723	0	9.30693069306931	0	0	0	0.396039603960396	0	7.92079207920792	0	0	0	0.198019801980198	0	0	0.594059405940594	0	0	0	3.16831683168317	0	6.33663366336634	0	0	0	0	0	6.33663366336634	0	0	0	0	0	0	0	2.17821782178218	0.594059405940594	0	0	0	0.594059405940594	0	0	0.198019801980198	26.3366336633663	0	0	0	0	0	6.13861386138614	0	0.198019801980198	0	6.33663366336634	0.198019801980198	2.17821782178218	0	0	0	0.594059405940594	0.594059405940594	0	0	0	0.198019801980198	0	0.396039603960396	0.792079207920792	0.198019801980198	5.54455445544555	0	0.198019801980198
16168	25481	"Lac des Boites"	45.05611	5.88528	135	"AWI"	135	1863	2404	2150	24.235807860262	0	0	0.218340611353712	0	0	0.436681222707424	0	3.05676855895197	0	0	0	0	0	0	0	0	0	0	2.40174672489083	0	4.58515283842795	0	0	0	0	0	6.76855895196507	0	0	0	0	0	0	0	1.52838427947598	0.218340611353712	0	0	0	0.218340611353712	0	0	0	45.1965065502183	0	0	0	0	0	0	0	0	0	7.64192139737991	0.218340611353712	0.436681222707424	0	0	0	0.873362445414847	0	0	0.218340611353712	0	0	0	0	0.655021834061135	0	1.09170305676856	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	140	"AWI"	140	1913	2486	2216	11.0837438423645	0	9.85221674876847	0	0	0	0.738916256157635	0	4.1871921182266	0	0	0.246305418719212	0	0	0	0.246305418719212	0	0	0	3.69458128078818	0	1.72413793103448	0	0	0	0	0	7.14285714285714	0	0.246305418719212	0	0	0	0	0	3.44827586206897	0.492610837438424	0.246305418719212	0	0	0	0	0	0	34.4827586206897	4.92610837438424	0	0	0	0	6.65024630541872	0	0	0	4.1871921182266	0	1.47783251231527	0.246305418719212	0	0	0.246305418719212	0.246305418719212	0	0	0	0.246305418719212	0	0.246305418719212	0.492610837438424	0.492610837438424	2.46305418719212	0.246305418719212	0
16168	25481	"Lac des Boites"	45.05611	5.88528	145	"AWI"	145	1995	2538	2284	7.32860520094563	0	0	0.236406619385343	0	0	0.945626477541371	0	6.85579196217494	0	0	0	0	0	0	0.709219858156028	0	0	0	6.85579196217494	0	2.12765957446809	0	0	0	0	0	9.9290780141844	0	0	0	0	0	0	0	3.07328605200946	0	0.236406619385343	0	0.236406619385343	0.472813238770686	0	0	0.472813238770686	43.4988179669031	0	0	0	0	0	4.01891252955083	0	0	0	7.56501182033097	0	0.709219858156028	0	0	0	0.709219858156028	0.236406619385343	0	0	0	0	0	0.236406619385343	1.41843971631206	0.945626477541371	0.945626477541371	0.236406619385343	0
16168	25481	"Lac des Boites"	45.05611	5.88528	150	"AWI"	150	2044	2614	2354	8.8659793814433	0.206185567010309	6.18556701030928	0	0	0	0.618556701030928	0	6.80412371134021	0.206185567010309	0	0	0	0	0	0.824742268041237	0	0	0	9.07216494845361	0	5.36082474226804	0	0	0	0	0	8.24742268041237	0	0.206185567010309	0	0	0	0	0	1.03092783505155	0.206185567010309	0	0	0	0.206185567010309	0	0	0.206185567010309	36.9072164948454	0	0	0	0	0	5.36082474226804	0	0	0	5.56701030927835	0	0.618556701030928	0	0	0	0.824742268041237	0.206185567010309	0	0.206185567010309	0.206185567010309	0	0	0.206185567010309	0.824742268041237	0.206185567010309	0.618556701030928	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	152.5	"AWI"	152.5	2094	2633.5	2387	6.44444444444444	0.444444444444444	0	0	0	0	0.666666666666667	0	8.88888888888889	0	0	0.222222222222222	0	0	0	0.444444444444444	0	0	0	7.55555555555556	0	4	0	0	0	0	0	10.6666666666667	0	0	0	0	0	0	0	2.88888888888889	0.444444444444444	0	0	0	0.222222222222222	0	0	0.222222222222222	33.5555555555556	0	0	0	0	0	9.33333333333333	0	0	0	8.22222222222222	0	0.444444444444444	0	0	0	0.444444444444444	0.444444444444444	0	0	0	0	0	0	0.888888888888889	0.666666666666667	2.88888888888889	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	160	"AWI"	160	2194	2717	2489	14.0939597315436	0.223713646532438	10.2908277404922	0.223713646532438	0	0	1.56599552572707	0	5.36912751677852	0	0	0	0.223713646532438	0	0	0.894854586129754	0	0	0	2.68456375838926	0	4.02684563758389	0	0	0	0	0	11.8568232662192	0	0	0	0	0	0	0	2.68456375838926	0.223713646532438	0	0	0	0	0	0	1.11856823266219	22.3713646532438	0	0	0	0	0	10.738255033557	0	0	0	6.26398210290828	0.447427293064877	0.894854586129754	0	0	0	0.223713646532438	0.671140939597315	0	0.223713646532438	0	0.223713646532438	0	0	0.223713646532438	0.447427293064877	1.56599552572707	0	0.223713646532438
16168	25481	"Lac des Boites"	45.05611	5.88528	170	"AWI"	170	2286	2838	2592	7.47252747252747	0.659340659340659	9.67032967032967	0	0	0	0	0	7.91208791208791	0	0	0.21978021978022	0.659340659340659	0	0	0.21978021978022	0	0	0	2.85714285714286	0	0	0.659340659340659	0	0	0	0	10.5494505494505	0	0	0	0	0	0	0	2.85714285714286	0.21978021978022	0	0	0	0	0	0	0	27.6923076923077	7.91208791208791	0	0	0	0	9.23076923076923	0	0.21978021978022	0	5.05494505494505	0	0.21978021978022	0	0	0	1.0989010989011	0.659340659340659	0	0.21978021978022	0	0.21978021978022	0	0.21978021978022	0.21978021978022	0.21978021978022	2.41758241758242	0	0.43956043956044
16168	25481	"Lac des Boites"	45.05611	5.88528	180	"AWI"	180	2369	2944	2674	7.90123456790123	0	5.67901234567901	0	0	0	1.97530864197531	0	12.8395061728395	0	0	0	0	0	0	0.493827160493827	0	0	0	4.19753086419753	0	2.46913580246914	0	0	0	0	0	9.1358024691358	0	0	0	0	0	0	0	2.46913580246914	0	0	0	0	0	0	0	0	33.5802469135802	0	0	0	0	0	6.17283950617284	0	0	0	7.16049382716049	0.493827160493827	0	0	0	0	0.987654320987654	0	0	0.246913580246914	0.246913580246914	0.493827160493827	0	0	0	0.493827160493827	2.96296296296296	0	0
