"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"
23795	41224	"Cut Hill"	50.6275	-3.98194	8	"AWI"	8	1027	1404	1181	5	0	1	0	0	0	1	1	0	0	0	31	0	1	10	139	0	1	0	0	0	0	0	0	3	10	0	0	0	0	10	3	0	1	0	0	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	12	"AWI"	12	1091	1536	1283	17	0	1	0	3	0	4	0	0	0	0	53	0	1	8	68	0	1	2	1	0	0	0	0	0	10	80	0	0	0	30	0	0	0	0	1	0	1	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	16	"AWI"	16	1162	1665	1384	21	1	0	0	1	0	14	0	0	0	0	66	0	1	12	38	0	0	1	0	0	1	0	0	1	5	0	0	0	0	20	1	0	1	0	0	0	1	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	20	"AWI"	20	1225	1744	1483	21	0	0	0	0	0	13	0	0	0	0	64	0	0	7	0	0	2	2	0	0	0	0	1	0	7	0	0	0	0	25	0	0	0	0	0	1	2	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	24	"AWI"	24	1331	1836	1602	12	1	1	0	0	0	5	0	0	0	0	30	0	0	7	53	0	0	0	0	0	1	0	0	0	14	136	0	0	1	21	0	0	0	6	0	0	0	1	1
23795	41224	"Cut Hill"	50.6275	-3.98194	28	"AWI"	28	1447	1924	1710	15	1	1	0	1	0	2	0	0	0	0	32	0	0	10	53	0	0	2	0	0	0	0	0	0	7	148	1	0	0	15	1	0	0	0	2	1	0	0	3
23795	41224	"Cut Hill"	50.6275	-3.98194	32	"AWI"	32	1566	1992	1811	22	1	0	2	0	0	9	0	0	2	0	80	0	0	1	93	0	1	0	1	0	0	0	0	0	11	0	0	0	0	16	0	0	0	0	0	1	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	36	"AWI"	36	1711	2048	1907	23	0	0	0	1	0	7	0	0	0	0	88	0	0	8	83	0	0	0	0	0	0	0	0	1	8	0	0	1	0	21	1	0	0	0	0	1	0	1	0
23795	41224	"Cut Hill"	50.6275	-3.98194	40	"AWI"	40	1900	2103	2002	19	0	0	0	0	0	7	0	0	0	0	103	0	0	5	74	0	0	6	0	0	0	0	0	2	4	0	0	1	0	22	0	0	0	0	1	0	0	0	2
23795	41224	"Cut Hill"	50.6275	-3.98194	44	"AWI"	44	1974	2305	2116	31	0	0	1	0	0	5	0	0	0	0	78	0	0	10	57	0	3	3	0	0	0	0	0	1	7	0	0	0	1	42	0	0	0	0	1	0	0	1	0
23795	41224	"Cut Hill"	50.6275	-3.98194	48	"AWI"	48	2055	2435	2233	27	0	0	0	0	0	14	0	0	0	0	102	0	0	11	61	0	0	3	0	0	0	0	0	1	6	0	0	1	0	50	0	0	0	0	2	2	0	1	1
23795	41224	"Cut Hill"	50.6275	-3.98194	52	"AWI"	52	2144	2556	2352	39	0	1	1	0	0	13	0	0	0	0	81	0	0	11	46	0	0	3	2	1	0	0	0	1	3	0	0	0	0	32	1	0	0	0	0	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	56	"AWI"	56	2268	2659	2470	21	0	0	0	0	0	13	0	0	0	0	111	0	0	3	33	0	1	1	1	0	1	0	2	0	7	0	0	0	0	38	0	0	0	0	3	2	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	60	"AWI"	60	2459	2723	2585	48	0	0	1	0	0	12	0	0	0	0	121	0	0	18	29	0	1	1	0	0	0	0	0	0	6	0	0	1	0	29	0	0	0	0	0	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	64	"AWI"	64	2543	2918	2722	36	0	0	0	0	0	5	0	0	0	0	74	0	0	13	17	0	1	2	0	0	0	0	0	0	1	0	0	0	0	44	1	0	0	0	2	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	68	"AWI"	68	2627	3067	2843	50	0	0	0	0	0	9	0	0	0	0	78	1	0	23	0	0	2	2	0	0	0	0	0	1	4	0	0	1	0	32	0	0	0	0	1	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	72	"AWI"	72	2740	3192	2974	27	0	0	0	0	0	6	0	0	0	0	51	1	0	46	29	0	1	0	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0	0	1	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	76	"AWI"	76	2883	3274	3105	33	0	0	0	0	0	4	0	0	0	0	75	0	0	9	103	0	0	0	0	0	0	0	0	2	5	0	0	2	0	25	1	0	0	0	1	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	80	"AWI"	80	3083	3330	3225	22	1	0	0	0	0	3	0	0	0	0	38	0	0	21	117	0	0	0	0	0	0	0	0	1	0	0	0	1	0	35	0	0	0	0	1	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	84	"AWI"	84	3233	3908	3461	30	0	0	0	0	0	5	0	0	0	0	53	0	0	7	71	0	0	3	0	0	1	0	0	0	0	0	0	1	0	38	0	0	0	0	2	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	88	"AWI"	88	3381	4219	3760	40	0	0	0	0	0	9	0	0	0	0	139	0	0	8	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	42	0	0	0	0	1	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	92	"AWI"	92	3619	4431	4062	35	0	0	1	0	0	7	0	0	0	0	116	0	0	49	0	0	0	7	0	0	0	0	0	1	3	0	0	1	0	48	0	0	0	0	1	0	0	1	1
23795	41224	"Cut Hill"	50.6275	-3.98194	96	"AWI"	96	3922	4605	4342	30	0	0	0	0	0	8	0	0	0	0	118	0	0	58	25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	45	0	0	0	0	0	0	1	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	100	"AWI"	100	4439	4769	4578	11	0	0	0	0	0	3	0	0	0	0	24	0	0	40	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	18	2	0	0	0	0	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	104	"AWI"	104	4548	4893	4697	35	0	0	0	0	0	6	0	0	0	0	143	0	0	51	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	54	0	0	0	0	1	0	0	3	3
23795	41224	"Cut Hill"	50.6275	-3.98194	106	"AWI"	106	4587	4965	4751	53	0	1	0	1	0	2	0	0	0	0	118	0	0	73	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	70	0	0	0	0	1	0	0	0	5
23795	41224	"Cut Hill"	50.6275	-3.98194	108	"AWI"	108	4626	5009	4806	39	0	0	0	0	0	7	0	0	0	0	91	0	0	62	51	0	0	1	0	0	0	0	0	0	1	0	0	0	0	40	0	0	0	0	1	0	0	1	5
23795	41224	"Cut Hill"	50.6275	-3.98194	109	"AWI"	109	4638	5046	4833	42	0	0	0	0	0	9	0	0	0	0	104	0	0	31	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	51	0	0	0	0	1	0	0	1	2
23795	41224	"Cut Hill"	50.6275	-3.98194	110	"AWI"	110	4651	5092	4856	50	0	0	2	0	0	9	0	0	0	0	101	0	0	41	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	44	0	0	0	0	1	0	0	1	5
23795	41224	"Cut Hill"	50.6275	-3.98194	111	"AWI"	111	4686	5104	4883	43	0	0	0	0	0	9	0	0	0	0	102	0	0	44	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	59	0	0	0	0	1	0	0	0	3
23795	41224	"Cut Hill"	50.6275	-3.98194	112	"AWI"	112	4719	5122	4912	40	0	0	0	0	0	4	0	0	0	0	104	0	0	39	30	0	0	5	0	0	1	0	0	2	0	0	0	0	0	54	1	0	0	0	0	0	0	2	0
23795	41224	"Cut Hill"	50.6275	-3.98194	113	"AWI"	113	4743	5139	4940	33	2	0	0	1	0	5	0	0	0	0	90	0	0	51	36	0	0	2	0	0	0	0	0	1	2	0	0	0	0	69	0	0	0	0	1	0	0	0	2
23795	41224	"Cut Hill"	50.6275	-3.98194	114	"AWI"	114	4764	5172	4968	31	1	0	0	0	0	5	0	0	0	0	79	0	0	54	0	0	0	3	0	0	0	0	0	4	2	0	0	0	0	44	0	0	0	0	1	0	0	2	2
23795	41224	"Cut Hill"	50.6275	-3.98194	115	"AWI"	115	4778	5205	4994	43	0	0	0	0	0	9	0	0	0	0	94	0	0	66	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	76	0	0	0	0	0	0	0	2	2
23795	41224	"Cut Hill"	50.6275	-3.98194	116	"AWI"	116	4834	5213	5015	37	0	0	0	0	0	14	0	1	0	0	96	0	0	40	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	47	0	0	1	0	0	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	117	"AWI"	117	4887	5228	5038	34	0	0	0	0	0	5	0	0	0	0	104	0	0	37	57	0	0	1	0	0	0	0	0	1	6	0	0	0	0	62	0	0	0	0	0	0	0	4	2
23795	41224	"Cut Hill"	50.6275	-3.98194	118	"AWI"	118	4927	5245	5062	33	0	0	1	0	0	13	0	0	0	0	70	0	0	58	49	0	0	0	0	0	0	0	0	0	2	0	0	0	0	47	0	0	0	0	1	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	119	"AWI"	119	4954	5259	5087	23	0	0	0	0	0	4	0	0	0	0	94	0	0	72	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	48	0	0	0	0	1	0	0	0	0
23795	41224	"Cut Hill"	50.6275	-3.98194	120	"AWI"	120	4976	5288	5113	24	0	0	0	0	0	7	0	0	0	0	100	0	0	52	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	49	0	0	0	0	0	0	0	2	0
23795	41224	"Cut Hill"	50.6275	-3.98194	122	"AWI"	122	5011	5314	5152	45	0	1	0	0	0	5	0	0	0	0	63	0	0	91	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	38	0	0	0	0	0	0	0	2	3
23795	41224	"Cut Hill"	50.6275	-3.98194	123	"AWI"	123	5028	5326	5173	46	0	0	0	0	0	5	0	0	0	0	100	0	0	48	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	45	0	0	0	0	0	1	0	3	1
23795	41224	"Cut Hill"	50.6275	-3.98194	124	"AWI"	124	5045	5349	5190	43	0	0	1	0	0	3	0	0	0	0	82	0	0	35	32	0	0	1	0	0	0	0	0	0	1	0	0	0	0	60	0	0	0	0	0	0	0	1	1
23795	41224	"Cut Hill"	50.6275	-3.98194	125	"AWI"	125	5059	5379	5207	31	1	0	0	0	0	4	1	0	0	0	90	0	0	39	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	34	1	0	0	0	1	0	0	0	1
23795	41224	"Cut Hill"	50.6275	-3.98194	126	"AWI"	126	5080	5391	5227	15	0	0	0	0	0	5	0	0	0	0	67	1	0	21	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	40	0	0	0	0	0	0	0	1	4
23795	41224	"Cut Hill"	50.6275	-3.98194	127	"AWI"	127	5100	5402	5249	27	0	0	1	0	0	5	0	0	0	0	71	1	0	8	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	35	0	0	0	0	0	0	0	1	4
23795	41224	"Cut Hill"	50.6275	-3.98194	128	"AWI"	128	5112	5417	5269	35	0	0	0	0	0	1	0	0	0	0	76	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	1	8
23795	41224	"Cut Hill"	50.6275	-3.98194	129	"AWI"	129	5121	5438	5289	44	0	0	0	1	0	11	0	0	0	0	70	0	0	5	65	0	0	1	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	1	10
23795	41224	"Cut Hill"	50.6275	-3.98194	130	"AWI"	130	5129	5464	5311	36	0	0	0	1	0	16	0	1	0	0	63	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	44	0	0	0	0	0	3	0	3	8
23795	41224	"Cut Hill"	50.6275	-3.98194	131	"AWI"	131	5161	5473	5329	47	0	0	1	0	0	11	0	0	1	0	70	0	0	8	65	0	0	2	0	0	0	0	0	0	1	0	0	0	0	38	1	0	0	0	1	2	0	1	5
23795	41224	"Cut Hill"	50.6275	-3.98194	132	"AWI"	132	5181	5483	5351	30	0	0	1	0	0	3	0	0	0	0	102	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	56	0	0	0	0	0	0	1	2	8
