"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16331	25344	"Champ Gazon"	47.20333	4.04861	0	"AWI"	0	-137	36	-51	2	0	24	0	0	3	0	2	0	0	57	0	0	0	0	0	0	0	6	0	0	25	0	32	0	0	0	0	0	26	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	28	0	0	56	0	0	0	0	0	48	3	0	0	0	4	3	0	0	1	0	0	0	1	5	1	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	4	"AWI"	4	-71	325	82	0	0	84	3	0	4	0	3	0	0	120	0	2	0	0	0	0	0	5	0	0	58	0	70	0	0	0	0	0	301	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	24	0	2	11	0	0	110	1	0	0	0	0	81	0	0	0	0	9	3	0	0	1	0	0	0	2	2	2	0	1
16331	25344	"Champ Gazon"	47.20333	4.04861	8	"AWI"	8	-47	677	207	1	0	97	1	0	1	0	6	0	0	95	0	1	0	0	0	0	0	4	0	0	119	0	50	0	0	0	0	0	199	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	3	11	0	1	6	0	0	175	0	0	0	0	0	96	2	0	0	1	16	2	0	0	0	0	0	0	0	0	2	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	12	"AWI"	12	-27	1040	331	0	0	75	1	0	3	0	1	0	0	59	0	0	0	0	0	0	0	4	0	0	44	0	10	0	0	75	0	0	86	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	9	0	0	3	0	0	47	0	0	0	0	0	44	3	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	16	"AWI"	16	94	1194	494	2	0	105	2	0	2	0	6	0	0	150	0	1	0	1	0	0	0	1	0	0	70	0	38	0	0	0	0	0	281	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	15	0	0	8	0	0	132	0	0	0	0	0	101	1	0	0	1	17	4	0	0	1	0	0	0	1	5	2	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	20	"AWI"	20	161	1344	704	1	0	73	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	3	0	0	83	0	24	0	0	111	0	0	172	0	3	1	0	0	0	0	0	2	2	0	0	0	0	0	1	7	1	0	9	0	0	76	0	0	0	0	0	67	1	0	0	1	13	2	0	0	1	0	0	0	0	1	0	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	24	"AWI"	24	215	1592	868	0	0	74	0	0	0	0	3	0	0	28	0	0	0	0	0	0	0	1	0	0	57	0	12	0	0	0	0	0	157	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	45	1	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	28	"AWI"	28	359	1764	1031	2	0	273	0	0	3	0	4	0	0	96	0	0	0	0	0	0	0	2	0	0	192	0	17	0	0	0	0	0	700	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	2	14	0	0	0	0	0	0	0	0	203	1	0	0	0	13	5	0	0	1	0	0	0	1	4	2	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	32	"AWI"	32	533	1867	1219	2	1	48	0	0	0	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	52	0	12	0	0	0	0	0	349	0	4	0	0	0	1	0	0	0	4	0	2	1	0	0	4	1	0	0	5	0	0	31	0	0	0	0	0	71	2	0	0	2	6	3	0	0	1	0	0	1	0	2	3	0	0
16331	25344	"Champ Gazon"	47.20333	4.04861	36	"AWI"	36	661	2016	1403	0	0	44	0	0	3	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	41	0	12	0	0	0	0	0	253	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	80	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
