"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Malvaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23907	41476	"Broad Down"	50.6125	-3.96222	0.5	"AWI"	0.5	-118	74	-40	0	6	1	0	0	0	6	0	0	0	18	9	86	0	5	2	1	0	0	0	0	0	0	0	16	6	0	17	2	0	0	1	1	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	8.5	"AWI"	8.5	-38	448.5	143	0	2	0	0	2	0	4	0	0	0	30	6	110	0	1	3	0	0	0	0	0	0	0	0	2	30	0	26	0	0	0	0	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	16.5	"AWI"	16.5	58	583.5	293	0	12	0	0	0	0	5	0	0	0	35	20	35	0	3	0	0	0	0	0	0	0	0	0	0	19	0	16	3	0	0	0	2	0	0	0	0	1
23907	41476	"Broad Down"	50.6125	-3.96222	24.5	"AWI"	24.5	220.5	760.5	486.5	0	16	1	0	1	0	13	0	0	0	48	12	47	0	1	1	0	0	10	0	0	0	0	0	1	10	0	38	1	0	0	4	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	32.5	"AWI"	32.5	387.5	845	646.5	0	20	1	0	0	0	7	0	0	0	79	14	0	0	5	0	0	0	0	0	0	0	0	0	1	3	0	33	2	0	0	0	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	40.5	"AWI"	40.5	585.5	908.5	791	0	20	0	0	1	0	9	0	0	0	65	3	69	0	1	0	0	0	0	0	0	0	0	1	0	3	0	32	0	0	0	1	1	0	0	0	0	1
23907	41476	"Broad Down"	50.6125	-3.96222	48.5	"AWI"	48.5	770.5	974	910	0	11	0	0	3	0	11	0	0	0	68	11	62	0	1	1	0	0	0	0	0	0	0	0	1	10	0	37	2	0	0	1	2	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	56.5	"AWI"	56.5	871	1100.5	997	0	17	0	1	1	0	8	0	0	0	76	10	53	0	1	5	0	0	0	0	0	0	0	1	1	6	0	41	0	0	0	3	0	0	0	0	1	0
23907	41476	"Broad Down"	50.6125	-3.96222	64.5	"AWI"	64.5	936	1230.5	1079	0	21	0	0	0	0	10	0	0	0	80	14	63	0	8	3	0	0	0	0	0	0	0	0	1	12	0	23	3	0	0	1	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	72.5	"AWI"	72.5	1009	1321	1170	0	11	0	0	1	0	14	0	0	0	84	7	36	0	0	4	0	0	0	0	0	0	0	0	2	11	0	45	1	0	0	1	1	0	0	0	2	0
23907	41476	"Broad Down"	50.6125	-3.96222	80.5	"AWI"	80.5	1105.5	1400	1257	0	19	0	1	1	0	8	0	0	0	89	18	0	0	6	0	0	0	0	1	0	1	0	0	0	7	0	46	1	0	0	1	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	88.5	"AWI"	88.5	1207.5	1460.5	1344	0	15	0	1	1	0	19	0	0	0	105	0	0	0	8	7	0	1	0	0	0	0	0	1	2	2	0	41	1	0	0	0	1	0	0	0	2	0
23907	41476	"Broad Down"	50.6125	-3.96222	96.5	"AWI"	96.5	1329.5	1503.5	1428	0	23	0	0	1	0	15	0	0	0	113	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	37	2	0	0	0	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	104.5	"AWI"	104.5	1430	1594	1513	0	17	1	0	0	0	3	1	0	0	54	15	35	0	1	3	0	0	0	0	0	0	0	0	1	19	0	28	1	0	0	0	1	0	0	0	2	0
23907	41476	"Broad Down"	50.6125	-3.96222	112.5	"AWI"	112.5	1486.5	1774.5	1604.5	0	21	0	2	0	0	8	0	0	0	45	10	30	0	1	2	0	0	0	0	1	0	0	0	6	30	0	54	1	0	0	1	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	120.5	"AWI"	120.5	1553	1883.5	1699	0	15	0	0	0	0	11	1	0	0	55	5	60	0	4	0	0	0	0	0	0	0	0	0	0	24	0	27	0	0	0	2	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	128.5	"AWI"	128.5	1617	1964.5	1795	1	8	1	0	0	0	9	0	0	0	66	11	60	0	2	0	1	0	0	0	0	0	0	0	1	13	0	28	1	0	0	1	0	0	0	0	1	0
23907	41476	"Broad Down"	50.6125	-3.96222	136.5	"AWI"	136.5	1723.5	2067.5	1889	0	10	0	0	1	0	2	0	0	0	55	8	31	0	1	3	0	0	0	0	0	0	0	0	2	18	0	33	0	0	0	2	0	0	0	0	1	0
23907	41476	"Broad Down"	50.6125	-3.96222	144.5	"AWI"	144.5	1857	2183.5	1986	0	12	0	0	0	0	4	0	0	0	31	5	131	0	0	0	0	0	0	0	0	0	0	0	2	10	0	32	1	0	0	1	0	0	0	0	0	0
23907	41476	"Broad Down"	50.6125	-3.96222	152.5	"AWI"	152.5	2016	2301	2114	0	8	1	0	2	0	2	0	0	0	87	13	0	0	1	0	0	0	0	0	0	0	0	0	3	12	0	38	1	0	0	1	0	0	0	0	0	0
