"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
13381	20012	"Donvold"	68.13333	13.58333	3	"AWI"	3	-114	92	-18	0	3	0	0	0	0	50	0	2	0	0	1	657	0	0	0	4	25	0	0	0	0	0	13	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	10	"AWI"	10	-77	358	62	0	2	0	0	0	0	43	0	0	0	0	2	488	0	0	0	1	21	0	0	0	0	0	4	20	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	17	"AWI"	17	-24	462	162	0	5	0	1	0	0	49	0	0	0	0	6	382	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	24	"AWI"	24	31	587	257	0	1	0	0	0	0	44	0	0	1	0	0	1331	0	0	0	0	26	0	0	0	0	0	3	0	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	32	"AWI"	32	104	714	371	0	5	0	1	0	0	213	1	0	0	0	0	2271	0	0	0	2	29	0	0	0	0	0	2	51	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	40	"AWI"	40	182	839	492	0	4	1	0	0	0	79	0	0	0	0	1	393	0	0	0	2	31	0	0	0	0	0	0	39	0	1	0	2	0	0
13381	20012	"Donvold"	68.13333	13.58333	50	"AWI"	50	301	951	629	0	3	0	0	0	0	77	0	1	0	0	17	492	0	0	0	3	47	0	0	0	0	0	3	12	0	0	0	0	0	0
13381	20012	"Donvold"	68.13333	13.58333	58	"AWI"	58	421	1025	743	0	8	1	0	0	0	114	0	3	0	0	89	151	0	0	0	7	60	0	0	0	0	0	5	12	0	1	0	1	0	0
13381	20012	"Donvold"	68.13333	13.58333	68	"AWI"	68	586	1124	881	0	11	0	2	0	0	102	0	0	0	0	16	149	0	0	0	2	45	0	0	0	0	0	3	0	76	0	0	1	0	0
13381	20012	"Donvold"	68.13333	13.58333	78	"AWI"	78	764	1214	1010	0	2	0	0	0	3	113	0	0	0	0	0	440	0	0	0	4	66	0	0	0	0	0	5	20	0	1	0	2	0	0
