"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3021	3935	"Bláto"	49.04174	15.19097	0	"AWI"	0	-96	70	-14	8	0	13	2	0	0	0	0	27	0	0	0	0	5	2	0	0	8	0	0	0	0	0	0	0	1	26	110	8	16	0	0	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	5	"AWI"	5	-5	837	222	12	1	15	3	0	0	4	0	30	0	0	0	0	11	6	0	50	15	0	1	0	0	0	0	0	1	26	82	6	51	0	0	0	6	2	0	0	4	0	0	0	0	0	0	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	10	"AWI"	10	31	1683	452	16	1	8	1	0	0	3	0	64	0	0	0	0	12	8	0	0	16	1	0	0	0	0	0	0	2	25	53	2	27	0	0	0	1	3	0	2	2	0	0	0	0	1	1	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	15	"AWI"	15	64	2524	682	18	0	2	1	0	0	2	0	53	0	0	0	0	24	13	0	5	15	0	0	0	0	0	0	0	3	30	48	1	33	0	0	0	5	4	0	0	4	1	0	0	0	0	1	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	20	"AWI"	20	111	3327	915	76	1	7	0	0	0	3	0	5	0	0	0	0	12	7	0	5	45	0	1	1	0	0	0	0	2	18	28	2	11	0	0	0	3	2	0	1	0	0	0	0	0	1	0	0	1	0
3021	3935	"Bláto"	49.04174	15.19097	25	"AWI"	25	282	3559	1215	61	0	19	1	0	0	1	0	10	0	0	0	0	14	0	0	0	40	1	2	0	0	0	0	0	1	23	19	0	0	0	0	0	5	1	0	0	0	1	0	0	1	1	4	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	30	"AWI"	30	384	3916	1505	52	1	13	0	0	0	2	0	11	0	0	0	0	17	2	0	0	36	0	1	0	0	0	0	0	1	43	13	0	0	0	0	0	6	0	0	1	0	0	1	0	0	4	2	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	35	"AWI"	35	459	4390	1799	3	0	17	1	0	0	0	0	11	0	0	0	0	23	6	0	0	26	0	1	0	0	0	0	0	0	83	21	0	0	0	0	0	5	4	0	0	0	0	0	0	0	3	7	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	40	"AWI"	40	569	4910	2072	3	1	20	0	0	0	1	0	20	0	0	0	0	38	9	0	0	11	0	1	0	0	0	0	0	0	60	26	0	0	0	0	0	13	4	0	0	1	0	0	0	0	4	3	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	45	"AWI"	45	800	5161	2380	3	2	27	0	0	0	2	0	18	0	0	0	0	29	4	0	0	5	0	2	0	0	0	0	0	0	74	23	0	3	0	0	0	8	1	0	0	0	0	0	0	1	8	1	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	50	"AWI"	50	969	5480	2695	2	1	27	0	0	0	3	0	20	0	0	0	0	53	4	0	0	7	0	5	0	0	0	0	0	0	61	5	0	0	0	0	0	7	0	0	1	0	0	0	0	0	7	5	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	55	"AWI"	55	1090	5891	2974	0	0	22	0	0	0	1	0	13	0	0	0	0	62	2	0	0	6	0	2	0	0	0	0	0	0	44	18	0	0	0	0	0	17	0	0	0	0	0	1	0	2	9	7	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	60	"AWI"	60	1225	6302	3245	1	2	50	0	0	0	1	0	17	0	0	0	0	111	8	0	0	14	0	5	0	0	0	0	0	0	37	18	0	0	0	0	0	22	1	0	0	0	0	0	0	0	12	11	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	65	"AWI"	65	1516	6554	3536	5	0	27	0	0	0	1	0	14	0	0	0	0	39	4	0	0	3	0	3	0	0	0	0	0	0	54	16	0	0	0	0	0	21	1	0	0	0	1	0	0	0	5	12	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	70	"AWI"	70	1692	6805	3839	1	1	15	0	0	0	1	0	14	0	0	0	0	65	4	0	0	9	0	1	0	0	0	0	0	0	48	14	0	0	0	0	0	11	4	0	0	1	1	0	0	0	10	10	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	75	"AWI"	75	1818	7075	4162	1	1	24	0	0	0	2	0	19	0	0	0	0	52	3	0	0	6	0	3	0	0	0	0	0	0	43	12	0	0	0	0	0	12	0	0	0	1	1	0	0	1	12	14	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	80	"AWI"	80	2000	7434	4430	1	0	14	0	0	0	1	0	16	0	0	0	0	49	7	0	0	8	0	2	0	0	0	0	0	0	72	10	0	0	0	0	0	7	2	0	0	0	1	0	0	1	12	8	0	0	0
3021	3935	"Bláto"	49.04174	15.19097	85	"AWI"	85	2340	7573	4710	1	0	15	0	0	0	0	0	9	0	0	0	0	52	4	0	0	6	0	4	0	0	0	0	0	0	55	14	0	0	0	0	0	18	1	0	0	0	1	0	0	1	16	9	0	0	1
3021	3935	"Bláto"	49.04174	15.19097	90	"AWI"	90	2530	7795	4989	1	1	21	0	0	1	1	0	52	0	0	0	0	87	8	0	0	9	1	5	0	0	0	0	0	0	35	32	0	0	0	0	0	20	1	0	0	0	0	1	0	1	17	20	0	0	0
