"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
2973	3874	"Amsoldingersee"	46.725	7.575	770	"AWI"	770	8041	11010	9614	0	5	23	0	0	2	1	0	16	0	0	0	0	350	2	0	0	3	3	0	69	0	8	73	0	0	0	0	3	1	0	0	15	86	0
2973	3874	"Amsoldingersee"	46.725	7.575	780	"AWI"	780	8927	11574	10406	0	0	26	0	2	2	2	0	50	1	0	0	0	456	3	0	0	0	2	0	109	0	21	45	1	3	0	0	4	0	0	0	18	110	0
2973	3874	"Amsoldingersee"	46.725	7.575	790	"AWI"	790	9857	12066	11180	0	0	11	0	0	0	1	0	70	0	0	0	0	216	2	1	0	0	1	0	161	0	12	16	0	0	0	0	2	0	0	0	14	75	0
2973	3874	"Amsoldingersee"	46.725	7.575	795	"AWI"	795	10384	12299	11573	0	0	8	0	4	0	5	0	263	0	0	0	0	24	4	3	0	0	2	0	580	0	19	3	2	0	1	2	6	0	0	0	0	16	0
2973	3874	"Amsoldingersee"	46.725	7.575	800	"AWI"	800	11005	12517	11943	0	0	0	3	2	0	10	0	164	1	0	0	0	0	3	2	0	0	2	0	450	0	7	0	0	0	1	0	8	0	0	0	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	802.5	"AWI"	802.5	11472	12578.5	12136	0	0	0	0	2	0	20	0	203	0	0	0	0	4	6	1	0	0	7	0	637	0	45	0	5	0	1	0	10	0	0	1	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	805	"AWI"	805	11740	12736	12346	0	0	1	1	4	0	19	0	49	1	0	0	2	0	3	1	0	0	14	0	500	0	34	0	5	0	2	0	4	0	0	4	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	807.5	"AWI"	807.5	12048	13511.5	12748.5	0	0	0	1	0	0	12	0	127	0	0	0	0	0	7	4	0	0	3	1	591	0	23	0	1	0	0	1	0	0	0	1	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	810	"AWI"	810	12187	14546	13145	0	0	0	0	1	0	9	0	170	0	0	0	4	0	7	12	0	0	10	0	774	0	40	0	4	0	2	2	6	0	1	1	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	817.5	"AWI"	817.5	13577.5	15393	14616.5	0	0	2	0	0	0	7	0	133	1	0	0	0	0	2	3	0	0	5	0	370	0	14	1	2	0	0	0	6	0	0	0	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	820	"AWI"	820	13974	15734	15110	0	0	0	0	3	0	11	0	217	0	0	0	0	0	7	3	0	0	5	0	523	0	32	0	3	0	0	4	3	0	0	3	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	825	"AWI"	825	14693	16214	15652	0	0	0	1	2	0	0	0	382	1	0	0	5	0	8	8	0	0	43	0	23	0	63	0	2	0	2	4	30	0	0	3	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	827.5	"AWI"	827.5	15030	16340.5	15836.5	0	0	0	1	2	0	45	0	392	2	0	0	1	0	11	12	0	0	53	1	9	0	49	0	5	0	3	5	68	0	0	9	0	0	1
2973	3874	"Amsoldingersee"	46.725	7.575	830	"AWI"	830	15251	16569	16021	0	0	0	2	3	0	20	0	351	2	0	0	6	0	8	22	0	0	164	0	4	0	53	0	6	0	1	4	49	0	1	6	0	0	0
2973	3874	"Amsoldingersee"	46.725	7.575	832.5	"AWI"	832.5	15399.5	16756	16167.5	0	0	0	1	6	0	25	0	104	1	0	0	12	0	21	46	0	0	819	0	5	0	125	0	2	0	1	6	29	0	0	8	0	0	1
