"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Coriariaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Olea"	"Oleaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Ulmus"	"Vitaceae"
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	10	"AWI"	10	707	1319	1098	0	0	0	306	3	250	30	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	13	0	3	42	0	5	0	0	1	0	0	3	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	20	"AWI"	20	1071	1403	1252	0	0	0	485	4	15	62	0	0	0	2	0	0	0	2	4	0	0	0	0	0	0	0	11	0	0	68	0	12	0	1	6	0	0	0	1	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	30	"AWI"	30	1176	1887	1425	1	0	0	424	0	2	13	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	6	0	1	11	1	0	0	1	3	0	0	0	0	1
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	40	"AWI"	40	1294	2209	1636	0	0	0	69	0	7	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	37	0	2	0	0	5	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	50	"AWI"	50	1434	2469	1848	0	0	0	236	0	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	5	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	60	"AWI"	60	1586	2719	2070	0	0	0	1071	2	5	8	0	0	0	0	0	0	0	0	21	7	0	0	0	0	0	0	3	0	0	37	0	3	0	1	18	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	70	"AWI"	70	1744	2953	2291	0	0	0	991	3	87	7	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	19	2	0	49	0	0	0	4	26	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	80	"AWI"	80	1921	3165	2516	0	0	0	1126	0	17	0	0	0	1	0	0	0	0	2	25	21	0	0	0	0	0	0	2	0	0	27	0	0	15	1	5	0	0	0	0	7
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	90	"AWI"	90	2110	3369	2724	0	0	0	855	0	3	16	0	0	0	0	0	0	0	0	3	16	1	0	0	0	0	1	11	0	0	169	0	0	0	5	37	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	100	"AWI"	100	2280	3545	2935	0	0	0	702	0	6	11	0	0	0	0	0	0	0	0	2	10	2	0	0	0	0	0	7	0	0	89	0	1	0	2	16	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	130	"AWI"	130	2972	4047	3582	0	0	2	913	0	11	14	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	11	0	1	103	0	10	0	3	40	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	140	"AWI"	140	3239	4191	3799	0	0	3	1510	7	8	14	0	0	0	0	0	0	0	0	5	20	1	0	0	0	0	0	2	0	2	79	0	2	0	1	51	0	0	0	0	0
3383	4386	"Roquetas de Mar"	36.79444	-2.58889	150	"AWI"	150	3526	4313	4012	0	0	0	387	2	22	0	0	0	0	0	0	0	0	0	5	13	0	1	0	0	0	0	12	0	0	65	0	16	0	2	71	0	0	0	0	0
