"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14548	22803	"Lago Pratignano"	44.173266	10.817828	300	"AWI"	300	565	1983	1188	59	2	5	0	0	0	3	0	1	3	0	0	5	2	6	0	64	0	191	2	0	0	6	0	0	2	5	1	0	0	35	0	0	1	0	1	0	1	1
14548	22803	"Lago Pratignano"	44.173266	10.817828	320	"AWI"	320	652	2050	1271	57	2	10	0	0	0	2	0	4	5	0	0	0	0	11	0	61	0	172	3	0	0	10	0	0	0	6	0	0	0	44	0	0	0	2	1	0	1	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	332	"AWI"	332	693	2096	1320	56	0	7	0	0	0	1	3	1	1	0	0	3	0	19	0	105	0	135	10	2	0	14	0	0	0	7	0	0	0	34	0	0	2	0	6	0	1	1
14548	22803	"Lago Pratignano"	44.173266	10.817828	344	"AWI"	344	730	2156	1368	59	1	8	0	6	0	2	3	1	3	0	0	5	0	11	0	96	0	109	2	1	0	12	0	0	2	13	0	0	0	67	3	0	0	2	0	0	0	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	356	"AWI"	356	777	2206	1417	127	1	5	0	0	0	0	0	1	5	0	3	0	0	12	0	50	0	125	4	1	0	11	0	0	0	8	0	0	0	39	0	0	0	1	0	2	3	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	368	"AWI"	368	808	2264	1459	159	2	15	0	1	0	4	0	0	0	0	3	0	0	22	0	59	0	78	2	0	0	11	0	0	0	0	0	0	0	34	0	0	0	1	1	0	2	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	380	"AWI"	380	843	2312	1509	190	0	5	1	1	0	0	0	2	1	0	2	0	0	18	0	54	0	72	1	0	0	0	0	0	0	6	0	0	0	36	0	0	1	0	2	0	9	1
14548	22803	"Lago Pratignano"	44.173266	10.817828	540	"AWI"	540	1429	3006	2192	104	2	4	2	3	0	0	0	1	2	0	2	0	0	13	0	42	0	136	1	0	1	6	0	0	0	9	0	0	0	45	0	0	1	7	8	0	2	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	560	"AWI"	560	1523	3089	2277	130	3	10	0	4	0	0	0	1	1	0	1	4	0	17	1	52	0	84	2	0	0	0	0	0	0	7	0	0	0	60	0	0	1	5	1	0	4	0
14548	22803	"Lago Pratignano"	44.173266	10.817828	580	"AWI"	580	1600	3169	2364	109	1	5	1	2	0	2	0	1	4	0	0	2	0	9	0	81	0	83	0	1	0	0	0	0	1	6	0	0	0	51	0	0	1	2	1	0	1	0
