"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14464	22642	"Borkum Riffgrund"	53.97	6.46	132	"AWI"	132	7843	8509	8208	0	1	4	24	0	0	3	0	75	0	0	1	0	0	0	204	24	0	0	1	0	0	0	0	0	0	53	1	0	0	0	0	0	0	165	0	194	0	0	0	36	0	0	0	2	16	0	0	0	0	0	13	1	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	134	"AWI"	134	7902	8546	8251	0	1	6	28	1	0	1	0	103	1	0	4	0	0	0	191	30	0	0	0	0	0	0	0	0	0	35	0	0	0	0	1	0	0	157	0	232	0	0	0	27	0	0	1	0	15	0	2	0	0	1	14	1	1	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	136	"AWI"	136	7953	8580	8294	0	0	6	28	0	0	3	0	111	0	0	1	0	0	0	176	31	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	1	0	190	0	206	0	0	0	27	0	0	0	0	11	0	0	0	0	0	10	0	1	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	138	"AWI"	138	8012	8615	8338	0	0	1	21	1	1	0	0	109	1	0	0	0	0	0	157	52	0	0	0	0	1	0	0	0	1	61	2	0	0	0	0	0	1	199	0	245	0	0	0	21	0	0	0	0	25	0	0	1	0	0	7	0	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	140	"AWI"	140	8069	8652	8381	0	0	3	16	4	0	2	0	76	0	0	4	0	0	0	178	24	0	0	0	0	1	0	0	0	0	40	0	0	0	0	0	0	2	208	0	168	3	0	0	34	0	0	0	2	19	0	1	0	0	0	8	1	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	142	"AWI"	142	8120	8693	8427	1	0	2	10	2	0	2	0	84	0	0	4	0	0	0	196	28	0	0	1	0	0	1	0	0	1	33	0	0	0	0	0	0	1	204	0	201	0	0	0	32	0	0	0	0	13	0	1	0	0	0	6	1	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	144	"AWI"	144	8181	8725	8472	0	0	0	12	3	0	0	0	104	0	0	3	0	0	0	157	38	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	204	0	182	1	0	0	26	1	0	0	0	37	0	3	0	0	0	10	0	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	146	"AWI"	146	8243	8756	8515	0	0	2	28	4	0	2	0	78	1	0	3	0	0	0	201	33	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	1	165	0	238	3	0	0	36	0	0	2	2	18	0	2	0	0	0	15	1	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	148	"AWI"	148	8308	8793	8559	0	0	2	10	1	0	1	0	101	0	0	1	0	0	0	187	29	0	0	0	0	0	0	0	1	1	51	0	0	0	0	1	0	0	184	0	188	0	0	0	14	0	0	1	0	20	0	0	1	0	0	10	0	0	0
14464	22642	"Borkum Riffgrund"	53.97	6.46	150	"AWI"	150	8374	8828	8602	1	0	1	6	3	0	0	0	105	0	0	1	0	0	0	172	30	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	202	0	236	0	0	0	18	0	0	0	0	60	0	3	0	0	0	5	0	2	0
