"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16674	26516	"Schwemm"	47.65811	12.299518	0	"AWI"	0	-112	52	-28	10	1	77	3	8	0	1	0	45	0	0	0	0	0	3	0	0	85	910	1	0	0	30	0	6	0	0	1	1	0	3	0	0	0	0	0	0	1	180	145	0	520	0	0	0	0	22	0	0	0	16	22	4	0	0	0	0	0	0	0	1	9	13	0
16674	26516	"Schwemm"	47.65811	12.299518	20	"AWI"	20	-67	226	48	18	1	25	2	4	0	0	0	8	0	1	0	0	0	1	1	0	50	980	0	0	0	22	0	2	1	0	0	3	0	0	0	0	0	0	0	0	1	117	86	0	319	0	0	0	0	7	0	1	0	3	10	3	0	0	0	0	0	0	0	0	3	9	0
16674	26516	"Schwemm"	47.65811	12.299518	40	"AWI"	40	-34	432	120	20	0	76	1	4	0	0	0	26	0	5	0	2	0	0	2	0	38	0	0	0	0	36	0	1	0	0	1	6	0	0	0	0	0	0	0	0	2	114	92	0	515	0	0	0	0	25	0	0	0	3	25	7	0	0	0	1	0	0	0	0	1	2	0
16674	26516	"Schwemm"	47.65811	12.299518	60	"AWI"	60	13	525	209	22	3	65	2	7	0	0	0	28	0	2	0	0	0	0	3	1	95	0	0	4	0	59	0	5	0	0	1	21	0	1	0	0	1	0	0	0	1	135	169	0	300	0	0	0	0	35	0	0	0	2	25	6	0	0	0	0	0	0	0	0	5	5	0
16674	26516	"Schwemm"	47.65811	12.299518	80	"AWI"	80	58	655	293	7	5	53	1	6	0	2	0	8	0	1	0	0	0	4	0	0	59	326	0	0	0	33	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	129	73	0	225	0	0	0	0	13	0	0	0	17	40	2	0	0	0	0	0	0	1	0	7	1	0
16674	26516	"Schwemm"	47.65811	12.299518	100	"AWI"	100	108	749	385	23	1	41	5	4	0	2	0	14	0	1	0	0	0	1	1	0	91	0	0	4	0	34	0	10	0	0	0	4	0	2	0	0	0	0	0	0	2	237	160	0	330	0	0	0	0	13	0	0	0	3	4	3	0	0	0	0	0	0	0	0	4	0	0
16674	26516	"Schwemm"	47.65811	12.299518	120	"AWI"	120	173	854	467	32	2	76	1	8	0	3	0	31	0	0	0	0	0	1	2	2	135	0	0	0	0	62	0	2	0	0	0	13	0	0	0	0	0	0	0	0	1	164	150	0	159	0	0	0	0	53	0	0	0	7	6	1	0	0	0	0	0	0	0	1	3	2	0
16674	26516	"Schwemm"	47.65811	12.299518	140	"AWI"	140	232	932	555	25	1	98	0	8	0	0	0	28	0	0	3	0	3	0	1	2	145	886	0	0	0	98	0	1	0	0	2	26	0	0	0	0	0	0	5	0	1	101	108	0	0	1	0	0	0	41	0	1	0	5	6	4	0	0	0	0	0	0	0	0	6	4	0
16674	26516	"Schwemm"	47.65811	12.299518	160	"AWI"	160	311	1015	639	28	0	106	2	12	0	2	0	37	0	1	1	5	0	2	1	0	158	346	0	2	0	118	1	0	0	0	1	26	0	0	0	0	0	0	0	0	10	75	84	0	126	0	0	0	0	81	0	0	0	6	35	16	0	0	0	0	0	0	0	0	2	3	0
16674	26516	"Schwemm"	47.65811	12.299518	180	"AWI"	180	376	1104	728	31	1	111	0	11	0	1	0	25	0	11	0	0	0	0	0	0	165	641	0	0	0	103	0	2	0	0	1	37	0	0	0	0	0	0	0	0	4	105	73	0	202	0	0	0	0	42	0	2	0	1	10	21	1	0	0	1	0	0	0	1	4	6	0
