"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	70	"AWI"	70	1004	2102	1583	1	0	67	0	0	0	0	1	0	7	0	0	1	0	0	0	0	0	0	1	0	95	0	0	5	0	0	2	1	1	0	0	0	0	1	0	0	6	0	1	0	0	0	6	0	0	45	697	0	0	0	2	0	0	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	75	"AWI"	75	1119	2202	1698	1	0	70	0	0	0	0	7	0	10	0	0	0	0	0	2	2	0	0	2	0	68	0	0	0	0	0	10	2	0	0	0	2	0	1	0	0	12	0	0	0	0	0	8	0	0	50	653	0	0	0	1	0	0	0	1	2	5	0	0	0	0	0	0	2	1	0	10	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	80	"AWI"	80	1280	2294	1806	1	0	105	0	0	0	0	2	0	12	0	0	1	0	0	2	1	0	0	5	0	710	0	0	0	0	0	12	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	6	0	0	73	581	0	0	0	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	85	"AWI"	85	1418	2395	1920	2	0	115	0	0	2	0	0	0	28	0	0	2	0	0	0	1	0	0	2	0	106	0	0	5	0	0	12	0	1	0	0	0	0	0	2	0	8	0	0	0	1	0	2	0	0	52	623	0	0	0	4	0	0	0	0	1	3	0	0	2	0	0	0	3	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	90	"AWI"	90	1644	2531	2047	0	0	140	0	0	2	0	3	0	29	0	0	0	0	0	0	1	0	0	4	0	85	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	7	0	0	50	643	0	0	0	3	0	0	0	0	1	6	0	0	1	0	1	0	1	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	95	"AWI"	95	1936	2683	2217	2	0	131	1	0	4	0	0	0	37	0	0	3	0	0	1	3	0	3	5	0	20	0	0	9	0	0	5	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	8	0	0	65	612	0	0	0	2	0	0	0	0	4	5	0	0	0	0	1	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	100	"AWI"	100	2155	3066	2527	3	1	319	0	0	9	0	6	0	20	0	0	8	0	0	1	2	0	2	5	0	11	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	539	0	0	0	5	0	0	0	2	8	8	0	0	0	5	3	0	0	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	105	"AWI"	105	2381	4505	3468	3	0	191	0	0	0	0	0	0	81	0	0	2	0	0	1	0	1	0	11	0	4	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	211	637	0	0	0	2	0	0	0	0	1	4	0	0	1	2	1	0	1	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	110	"AWI"	110	2510	6244	4362	1	0	173	0	0	0	0	0	0	83	0	0	6	0	0	0	1	0	0	5	0	73	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	5	0	0	220	444	0	0	0	1	0	0	0	0	3	27	0	0	0	0	7	0	2	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	115	"AWI"	115	4308	6415	5322	3	0	113	0	0	0	0	1	0	245	0	0	3	0	0	0	2	0	0	1	0	188	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	213	475	0	0	0	2	0	0	0	0	3	7	0	0	0	0	1	1	1	0	0	0	0
