"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3388	4392	"Rukatunturi"	66.16667	29.15	2	"AWI"	2	-87	544	72	2	0	0	1	0	68	0	0	0	2	167	6	0	0	0	0	14	109	0	0	0	0	0	2	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	4	"AWI"	4	-23	906	205	1	0	0	0	0	36	0	1	0	1	130	0	0	0	0	0	3	59	0	0	0	0	0	1	0	0	0	0	1
3388	4392	"Rukatunturi"	66.16667	29.15	6	"AWI"	6	46	1197	330	3	1	0	1	0	56	0	1	0	1	93	0	0	0	0	0	4	63	0	0	0	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	8	"AWI"	8	118	1440	450	7	1	1	0	0	123	0	0	0	5	208	0	0	0	0	0	19	143	0	0	0	0	0	3	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	10	"AWI"	10	191	1687	566	6	0	0	0	0	97	0	0	0	4	220	0	0	0	1	0	32	109	0	0	0	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	12	"AWI"	12	292	1912	676	8	1	0	1	0	71	0	0	0	2	210	0	0	0	0	0	23	145	1	0	0	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	15	"AWI"	15	438	2275	849	0	0	0	0	0	65	0	0	1	2	0	0	0	0	0	0	31	99	0	0	0	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	20	"AWI"	20	819	3064	1478	9	0	0	1	0	190	0	0	1	1	0	0	0	0	9	0	68	240	0	0	1	0	0	0	0	0	0	1	0
3388	4392	"Rukatunturi"	66.16667	29.15	21	"AWI"	21	1049	3210	1814	24	1	0	1	0	148	0	0	3	2	0	0	0	0	8	0	63	190	0	0	1	0	0	0	1	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	22	"AWI"	22	1176	3425	2166	25	0	0	1	0	219	0	0	6	4	0	0	0	0	11	0	57	224	0	0	1	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	23	"AWI"	23	1472	3694	2497	25	1	1	3	0	260	0	0	5	3	0	0	0	1	20	0	88	274	0	0	0	0	0	0	1	0	1	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	24	"AWI"	24	1758	3845	2886	53	0	0	2	0	390	1	0	18	9	233	3	0	0	41	1	120	417	0	0	0	0	0	0	3	1	0	0	1
3388	4392	"Rukatunturi"	66.16667	29.15	25	"AWI"	25	1945	4142	3271	128	1	0	4	0	1066	0	0	27	7	347	0	1	0	53	0	224	1072	0	0	2	0	0	0	2	3	1	4	0
3388	4392	"Rukatunturi"	66.16667	29.15	26	"AWI"	26	2824	4325	3718	106	1	0	0	0	959	1	0	52	5	0	0	3	0	40	0	77	1070	0	0	3	0	1	1	0	5	2	3	1
3388	4392	"Rukatunturi"	66.16667	29.15	27	"AWI"	27	3183	5004	4146	187	0	2	4	6	1551	2	0	30	2	0	0	1	0	47	1	62	1670	0	0	3	0	0	0	0	5	0	5	0
3388	4392	"Rukatunturi"	66.16667	29.15	28	"AWI"	28	3723	5821	4594	57	0	0	1	0	560	0	0	0	3	0	0	0	0	4	0	3	369	0	0	0	0	0	0	0	0	1	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	29	"AWI"	29	4061	6819	5094	30	0	0	0	0	190	0	0	0	2	0	0	0	0	3	0	1	134	0	0	0	0	0	0	0	0	0	0	0
3388	4392	"Rukatunturi"	66.16667	29.15	30	"AWI"	30	4233	8325	5545	3	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0
