"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14040	21790	"Holtjärnen"	60.651794	14.926326	694	"AWI"	694	-129	27	-52	0	25	3	0	0	0	1	0	295	1	0	1	0	0	0	2	9	0	0	0	1	0	0	2	9	0	0	0	0	154	704	0	0	2	0	3	0	1	0	1	7	5	0	0	0	0	0	4
14040	21790	"Holtjärnen"	60.651794	14.926326	698	"AWI"	698	-68	276	65	0	43	4	0	0	0	1	0	303	2	0	0	0	0	0	1	11	0	0	0	0	0	0	1	20	0	0	0	0	96	538	0	0	5	0	7	0	2	0	1	14	0	0	0	0	0	1	5
14040	21790	"Holtjärnen"	60.651794	14.926326	700	"AWI"	700	-25	358	131	0	85	1	0	0	0	3	0	225	2	0	0	0	0	0	1	12	0	0	0	0	0	0	0	56	0	0	0	0	133	501	0	0	0	0	2	0	2	0	0	25	6	0	0	0	0	0	4
14040	21790	"Holtjärnen"	60.651794	14.926326	703	"AWI"	703	13	482	232	0	88	2	2	0	0	3	0	182	1	0	1	0	0	0	0	18	0	0	0	1	0	1	4	61	1	0	0	1	122	0	0	0	1	0	7	0	0	0	0	25	4	0	1	0	0	0	3
14040	21790	"Holtjärnen"	60.651794	14.926326	704	"AWI"	704	48	501	263	0	119	0	0	0	0	5	0	314	0	0	1	0	0	0	2	14	0	0	0	1	0	0	4	40	0	0	0	0	100	510	0	0	1	0	6	0	1	0	0	25	3	0	1	0	0	0	3
14040	21790	"Holtjärnen"	60.651794	14.926326	707.5	"AWI"	707.5	121.5	581	377	0	90	2	0	0	0	3	0	397	1	0	2	0	0	0	2	10	0	0	0	0	0	0	1	39	0	0	0	0	49	0	0	0	1	0	5	0	0	0	1	9	0	0	0	0	0	0	1
14040	21790	"Holtjärnen"	60.651794	14.926326	709	"AWI"	709	185	610	425	0	112	1	0	0	0	2	0	456	1	0	4	0	0	0	4	18	0	0	0	1	0	1	0	44	0	0	0	1	43	687	0	0	6	0	7	0	0	0	0	15	7	0	0	0	0	0	0
14040	21790	"Holtjärnen"	60.651794	14.926326	712	"AWI"	712	269	671	527	0	62	2	0	0	0	4	0	518	0	0	2	0	0	0	3	14	0	0	0	2	0	1	0	15	0	0	0	1	83	903	0	0	4	0	8	0	1	0	0	9	9	0	1	0	0	1	0
14040	21790	"Holtjärnen"	60.651794	14.926326	716	"AWI"	716	532	728	645	0	52	0	0	0	0	2	0	238	0	0	0	0	0	0	4	7	0	0	0	1	0	0	2	13	0	0	0	1	103	742	0	0	1	0	6	0	0	0	0	2	3	0	0	1	0	4	3
14040	21790	"Holtjärnen"	60.651794	14.926326	720	"AWI"	720	617	976	760	0	45	0	0	0	0	1	0	484	0	0	0	0	0	0	9	14	0	0	0	0	1	3	0	12	0	0	0	1	166	892	0	0	6	0	24	0	0	0	0	1	6	0	1	0	2	2	1
14040	21790	"Holtjärnen"	60.651794	14.926326	723.5	"AWI"	723.5	695.5	1174	874	0	28	0	0	0	0	2	0	334	0	0	0	0	0	0	7	4	0	0	0	2	0	1	0	20	0	0	0	1	104	647	0	0	15	0	12	0	0	0	0	0	6	0	0	0	0	0	0
