"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	0.5	"AWI"	0.5	-92	80.5	-10	0	0.645161290322581	0	1.29032258064516	0	0	9.03225806451613	0	0	0	7.09677419354839	1.93548387096774	34.1935483870968	1.93548387096774	0	0	0	16.7741935483871	0	0	1.29032258064516	0	0	9.67741935483871	1.93548387096774	0	0	10.3225806451613	2.58064516129032	0	0	1.29032258064516	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	8.5	"AWI"	8.5	7	453	186	0	5.52763819095477	0.50251256281407	0.50251256281407	0.50251256281407	0	2.51256281407035	0	0	0	9.04522613065327	5.52763819095477	0	0	0	0	0	10.5527638190955	0.50251256281407	0	0	0	0	1.00502512562814	13.5678391959799	40.7035175879397	1.00502512562814	7.53768844221105	0.50251256281407	0	0	0	0	0	0	0	0	0.50251256281407	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	16.5	"AWI"	16.5	146	704.5	399	0	11.0236220472441	0	0	0	0	14.9606299212598	0	0	0	18.1102362204724	3.1496062992126	22.0472440944882	0	0	0	0	16.5354330708661	0	0	0	0	0	0	4.7244094488189	0	0	7.08661417322835	0.78740157480315	0	0	0.78740157480315	0	0	0	0	0	0	0.78740157480315
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	24.5	"AWI"	24.5	311	923.5	612.5	0	10.8108108108108	0.900900900900901	0	2.7027027027027	0	0.900900900900901	0	0	0	44.1441441441441	7.20720720720721	0	1.8018018018018	0	0	0	8.10810810810811	0	0	0	0	0	1.8018018018018	6.30630630630631	0	0	12.6126126126126	0	0	0.900900900900901	1.8018018018018	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	32.5	"AWI"	32.5	526	1082	816.5	0	8.83977900552486	0.552486187845304	0	0	0	7.73480662983425	0	0	0	23.7569060773481	2.76243093922652	27.6243093922652	2.20994475138122	0	0	0	6.62983425414365	0	0	1.65745856353591	0	0	0	5.52486187845304	0	0	11.0497237569061	1.65745856353591	0	0	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	40.5	"AWI"	40.5	751.5	1215.5	1030	0	12.5	0	0	0	0	1.13636363636364	0	0	0	35.2272727272727	7.95454545454545	0	0	0	0	0	7.95454545454545	0	0	0	1.13636363636364	0	2.27272727272727	5.68181818181818	0	0	25	0	0	1.13636363636364	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	48.5	"AWI"	48.5	1090	1288.5	1228.5	0	23.1481481481481	0	0	0	0	4.62962962962963	0	0	0	50.9259259259259	2.77777777777778	0	0	1.85185185185185	0	0	0	0	0	0	0	0	0	3.7037037037037	0	0	11.1111111111111	0	0	0	0	0	0	0	0	0	0	1.85185185185185
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	56.5	"AWI"	56.5	1209	1460	1336.5	0	12.5	0	0	0	0	3.57142857142857	0	0	0	40.1785714285714	11.6071428571429	0	0.892857142857143	1.78571428571429	0	0	3.57142857142857	0	0	0	0.892857142857143	0	0.892857142857143	9.82142857142857	0	0	11.6071428571429	0	0	0	0.892857142857143	0.892857142857143	0	0	0	0	0.892857142857143	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	64.5	"AWI"	64.5	1273	1601	1437.5	0	13.75	1.25	0	0	0	5	0	0	0	37.5	10	0	0	1.25	0	0	2.5	0	2.5	1.25	0	0	1.25	13.75	0	0	8.75	1.25	0	0	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	72.5	"AWI"	72.5	1373.5	1700	1544	0	5.26315789473684	0.87719298245614	0.87719298245614	1.75438596491228	0	1.75438596491228	0	0	0	40.3508771929825	7.01754385964912	0	0.87719298245614	0.87719298245614	0	0	14.0350877192982	0	0	0	0	0	0.87719298245614	9.64912280701754	0	0.87719298245614	13.1578947368421	0	0	0	0.87719298245614	0	0	0	0	0	0.87719298245614	0
