"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	0	"AWI"	0	-115	48	-40	9	0	18	1	1	0	0	0	120	0	5	0	0	0	0	0	1	0	42	6	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	17	0	7	18	0	0	0	0	31	0	0	0	0	6	1	0	0	0	0	0	0	1	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	10	"AWI"	10	-19	230	88	11	0	9	0	3	0	1	0	57	0	0	0	0	0	0	0	2	0	20	25	0	0	0	10	0	5	0	0	1	0	0	0	0	0	0	10	0	33	19	4	0	0	0	14	2	0	0	0	3	2	0	0	0	0	2	0	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	21	"AWI"	21	98	386	233	50	0	9	1	1	0	0	0	12	0	4	0	0	0	0	0	0	0	31	136	136	0	0	50	0	3	0	0	0	0	0	0	1	0	0	15	0	9	27	24	0	0	0	23	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	24	"AWI"	24	132	427	274	26	0	12	1	1	0	0	0	15	0	2	0	0	4	0	0	1	0	25	161	99	0	0	45	0	0	0	0	0	0	1	0	0	0	0	8	0	7	18	20	0	0	0	25	1	0	0	0	3	0	0	0	0	0	0	3	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	28	"AWI"	28	178	478	327	43	0	23	0	6	0	2	0	16	0	5	0	0	35	0	0	0	1	69	75	0	0	0	42	0	0	0	0	0	0	6	0	0	0	0	20	0	7	72	25	98	1	0	72	4	0	0	2	6	0	0	0	0	0	1	1	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	32	"AWI"	32	231	527	381	30	0	11	3	1	0	1	0	12	0	1	4	0	17	0	0	1	0	84	8	20	1	0	24	0	1	0	0	0	0	5	1	0	0	1	34	0	10	59	12	78	0	0	63	1	1	0	0	7	3	0	0	0	0	0	1	3	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	36	"AWI"	36	282	577	436	24	0	16	0	1	0	2	0	22	0	4	0	0	20	0	0	2	0	84	17	20	0	0	43	0	2	0	0	1	0	3	1	0	0	0	14	1	5	139	14	32	0	0	56	2	0	0	0	7	4	0	0	0	0	0	2	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	38	"AWI"	38	311	601	462	84	0	28	0	1	0	5	0	22	0	2	4	0	14	0	0	0	0	95	6	26	0	0	66	0	1	0	0	0	0	3	0	0	0	1	19	1	14	14	29	64	0	0	38	2	0	0	0	5	2	0	0	0	0	1	4	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	40	"AWI"	40	339	628	489	67	0	15	1	1	0	0	0	25	0	1	2	0	17	0	0	1	0	60	19	0	0	0	60	0	1	0	0	0	0	2	0	1	0	0	17	0	6	13	19	59	0	0	36	4	0	0	0	7	11	0	0	0	0	1	2	2	0	2
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	44	"AWI"	44	397	668	542	25	1	47	2	0	0	5	0	26	0	1	1	0	14	0	1	0	0	49	10	0	0	0	64	0	1	0	0	0	0	1	0	0	0	0	15	0	6	24	0	45	0	0	39	0	0	0	1	4	3	0	0	0	0	0	3	1	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	48	"AWI"	48	460	706	594	23	2	58	2	0	0	4	0	26	0	0	0	0	13	0	0	0	0	43	13	0	0	0	65	0	2	0	0	1	0	0	0	1	0	0	8	0	3	11	0	58	0	0	28	0	0	0	2	8	3	0	0	0	0	0	2	5	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	52	"AWI"	52	522	748	646	27	1	30	0	3	0	4	0	39	1	1	1	0	4	0	0	0	0	56	18	17	0	0	69	0	2	0	0	0	0	0	1	0	0	0	18	0	3	19	0	37	0	0	33	2	0	0	1	3	6	0	0	0	0	1	8	2	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	56	"AWI"	56	573	785	695	84	4	27	2	1	0	1	0	22	0	0	0	0	4	0	0	0	0	42	9	0	0	0	123	0	2	0	0	0	0	0	0	0	0	0	19	0	6	10	0	46	0	0	17	3	0	0	0	6	5	0	0	0	0	0	0	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	60	"AWI"	60	624	853	739	26	1	30	1	1	0	5	0	20	0	1	0	0	4	0	0	2	0	51	6	10	0	0	143	0	1	0	0	0	0	2	1	2	0	0	12	0	4	7	0	74	0	0	48	2	0	0	0	7	5	1	0	0	1	0	2	5	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	64	"AWI"	64	674	909	785	22	1	20	0	1	0	1	0	25	0	0	1	0	11	0	0	0	0	51	23	0	0	0	118	0	6	0	0	1	0	0	1	0	0	0	12	0	4	3	0	36	0	0	35	2	0	0	0	7	6	0	0	1	0	1	4	4	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	68	"AWI"	68	715	965	831	39	1	20	1	2	0	0	0	32	0	0	1	0	4	0	1	0	0	69	63	0	0	0	45	0	2	0	0	1	0	0	0	0	0	0	23	0	5	3	0	45	0	0	48	3	0	0	0	8	4	0	0	0	0	0	1	6	0	2
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	72	"AWI"	72	753	1016	876	107	0	19	0	7	0	3	0	24	0	0	1	0	2	0	0	0	0	59	7	0	0	0	147	0	5	0	0	0	0	3	2	0	0	0	23	0	6	12	0	38	0	0	44	1	0	0	2	6	1	0	0	0	0	3	6	1	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	76	"AWI"	76	791	1071	922	88	0	32	0	4	0	3	0	29	0	2	0	0	7	0	0	1	0	37	1	0	0	0	110	0	5	0	0	1	0	0	0	0	0	0	32	0	3	5	0	25	0	0	26	2	0	0	1	3	1	0	0	0	0	1	5	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	80	"AWI"	80	831	1120	968	106	3	38	0	0	0	6	0	16	0	0	1	0	3	0	0	1	0	55	4	0	0	0	129	0	6	0	0	0	0	1	0	1	0	0	41	0	10	12	6	0	0	0	40	1	1	0	0	2	1	0	0	0	0	0	15	0	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	84	"AWI"	84	873	1166	1015	90	7	38	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	63	5	6	0	0	123	0	7	0	0	0	0	1	0	0	0	0	22	0	16	7	0	0	0	0	27	6	0	0	0	2	1	0	0	0	0	1	4	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	88	"AWI"	88	915	1210	1060	42	1	37	0	2	0	5	0	9	0	1	1	0	2	0	0	0	0	49	3	0	0	0	140	1	4	0	0	0	0	0	1	0	0	0	15	0	8	2	11	0	0	0	23	1	0	0	0	5	1	0	0	0	0	0	10	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	92	"AWI"	92	962	1257	1105	78	1	31	0	0	0	0	0	8	0	0	1	1	2	0	0	1	1	48	3	33	0	0	82	0	21	0	0	0	0	0	0	0	0	0	12	0	3	8	13	0	0	0	34	0	0	0	1	7	0	0	0	0	0	0	9	2	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	96	"AWI"	96	1005	1302	1152	53	1	33	0	1	0	0	0	13	0	0	1	0	0	0	0	0	0	53	4	0	0	0	121	0	12	1	0	0	0	0	0	0	0	0	17	0	4	7	0	0	0	0	34	0	1	0	1	2	0	0	0	0	0	0	9	0	0	2
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	100	"AWI"	100	1050	1344	1198	36	2	88	0	0	0	2	0	10	0	0	1	0	0	0	0	1	0	50	2	0	0	0	97	0	15	0	0	0	0	0	0	0	0	0	26	0	11	0	0	0	0	0	37	0	0	0	0	3	0	0	0	0	0	0	8	4	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	104	"AWI"	104	1100	1382	1244	49	3	34	1	1	0	5	0	15	0	3	1	1	2	0	1	0	0	74	13	20	0	0	105	0	15	0	0	0	0	0	0	0	0	0	26	1	4	5	0	0	0	0	30	2	0	0	0	5	3	0	0	0	0	2	7	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	108	"AWI"	108	1148	1424	1288	31	2	31	1	0	0	1	0	21	0	2	0	0	0	0	0	0	0	43	11	21	0	0	114	0	7	0	1	0	1	2	1	0	0	0	14	0	8	11	0	0	0	0	43	1	0	0	0	2	2	0	0	0	0	0	9	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	112	"AWI"	112	1204	1463	1335	61	1	63	0	1	0	1	0	18	0	0	0	0	1	0	0	0	0	51	0	7	0	0	94	0	22	0	0	0	0	0	0	0	0	0	18	0	8	4	0	0	0	0	29	0	0	0	0	3	2	0	0	0	0	0	8	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	116	"AWI"	116	1257	1498	1379	47	1	31	0	0	0	1	0	24	0	1	1	0	4	0	0	0	0	38	16	0	0	0	120	0	22	0	0	0	0	1	0	0	0	0	37	0	9	5	3	0	0	0	44	0	0	0	1	1	3	0	0	0	0	0	6	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	120	"AWI"	120	1314	1533	1422	29	2	60	2	0	0	1	0	34	0	1	0	0	1	0	0	0	0	52	1	0	0	0	105	0	19	0	0	0	0	1	0	0	0	0	19	0	12	10	0	0	0	0	49	1	0	0	0	1	2	0	0	0	0	0	10	1	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	124	"AWI"	124	1351	1601	1468	35	1	48	1	0	0	0	0	12	0	0	1	0	0	0	0	0	0	79	3	11	0	0	116	0	12	0	0	0	0	1	0	0	0	0	21	0	5	4	0	0	0	0	40	1	0	0	0	0	1	0	0	1	0	0	6	0	0	0
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	128	"AWI"	128	1387	1671	1513	109	1	42	0	1	0	5	0	37	0	0	0	0	1	0	0	0	0	76	2	0	0	0	114	0	1	0	0	0	0	0	0	0	0	0	24	0	10	5	8	0	0	0	37	1	0	0	1	1	0	0	0	0	0	0	5	0	0	1
16140	24941	"Tourbière de Censeau"	46.81389	6.05528	132	"AWI"	132	1419	1733	1557	38	1	44	0	2	0	3	0	13	0	0	0	0	1	0	0	0	0	46	4	0	0	0	120	0	1	0	0	0	0	0	0	1	1	0	2	0	12	16	8	31	0	0	42	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0
