"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
14472	22658	"Waschhorn"	53.61498	8.7375	1	"AWI"	1	-142	20	-54	0	0	1.61943319838057	0.134952766531714	0	0	0.404858299595142	0	0	13.0904183535762	0	0.404858299595142	0	0	0	0	0	0.269905533063428	0	0	0	6.07287449392713	1.07962213225371	0.539811066126856	0	0	0	0.404858299595142	0	0	0	0	0.269905533063428	0	7.28744939271255	27.6653171390013	0	0	14.9797570850202	0	0	9.7165991902834	0	0	0	0.134952766531714	0.269905533063428	0	0	0	0	15.114709851552	0	0	0	0	0.539811066126856	0
14472	22658	"Waschhorn"	53.61498	8.7375	5	"AWI"	5	-104	125	-13	0	0	3.62595419847328	0.381679389312977	0	0	0	0	0	17.3664122137405	0	0.190839694656489	0	0	0	0	0	1.14503816793893	0.190839694656489	0	0	11.4503816793893	0.381679389312977	0	0	0	0	0.572519083969466	0	0	0	0	0	0	12.0229007633588	41.412213740458	0	0	0	0	0	8.58778625954199	0	0	0	2.48091603053435	0.190839694656489	0	0	0	0	0	0	0	0	0	0	0
14472	22658	"Waschhorn"	53.61498	8.7375	9	"AWI"	9	-67	190	34	0.136986301369863	0	4.38356164383562	0.684931506849315	0	0	0.273972602739726	0	0	10.5479452054795	0	0.136986301369863	0	0	0	0	0	1.78082191780822	0.136986301369863	0	0	3.01369863013699	0	0.136986301369863	0	0	0	0	0	0	0	0	0	0	14.1095890410959	25.0684931506849	0	0	24.1095890410959	0	0	10.4109589041096	0	0	0	2.19178082191781	0.273972602739726	0.273972602739726	0	0	0.684931506849315	0	0	0	0	0.547945205479452	1.0958904109589	0
14472	22658	"Waschhorn"	53.61498	8.7375	13	"AWI"	13	-26	259	79	0	0	2.0935960591133	1.72413793103448	0	0	0.246305418719212	0	0	13.0541871921182	0	0.369458128078818	0	0	0	0	0	1.23152709359606	0.369458128078818	0	0	4.55665024630542	0	0.246305418719212	0	0	0	0	0	0	0	0	0.123152709359606	0	4.1871921182266	33.4975369458128	0	0	23.7684729064039	0	0	8.3743842364532	0	0	0	3.94088669950739	0.738916256157635	0.123152709359606	0	0	0.123152709359606	0	0	0	0.369458128078818	0.492610837438424	0.369458128078818	0
14472	22658	"Waschhorn"	53.61498	8.7375	17	"AWI"	17	33	349	139	0	0	1.1783189316575	0.392772977219167	0	0.0785545954438335	0.314218381775334	0	0	20.1885310290652	0	0.392772977219167	0	0	0	0	0	1.72820109976434	0	0	0	0.785545954438335	0.0785545954438335	0.549882168106834	0	0	0	0	0	0	0	0	0.314218381775334	0	5.73448546739984	44.8546739984289	0	0	15.8680282796544	0	0	4.39905734485467	0	0	0	2.51374705420267	0.0785545954438335	0	0	0	0	0	0	0	0.157109190887667	0.314218381775334	0.0785545954438335	0
14472	22658	"Waschhorn"	53.61498	8.7375	21	"AWI"	21	92	507	243	0	0	17.7497575169738	0	0	0	0.387972841901067	0	0	18.7196896217265	0	0	0	0	0	0	0	6.4015518913676	1.93986420950533	0	0	4.0737148399612	0	0.0969932104752667	0	0	0	0	0	0	0.2909796314258	0	1.06692531522793	0	0.0969932104752667	4.55868089233754	0	0	19.6896217264791	0	0	20.9505334626576	0	0	0	2.909796314258	0.193986420950533	0	0	0	0	0	0	0	0	0.387972841901067	0.484966052376334	0
14472	22658	"Waschhorn"	53.61498	8.7375	25	"AWI"	25	149	840	393	0	0	4.51977401129944	0.677966101694915	0	0	0.225988700564972	0	0	4.74576271186441	0	2.14689265536723	0	0.338983050847458	0	0	0	2.82485875706215	3.72881355932203	0	0	13.7853107344633	0.677966101694915	0	0	0	0	0	0	0	0.790960451977401	0	0.451977401129944	1.80790960451977	0.225988700564972	6.10169491525424	0	0	24.2937853107345	0	0	25.3107344632768	1.69491525423729	0	0	4.29378531073446	1.24293785310734	0	0	0	0	0	0	0	0	0.112994350282486	0	0
14472	22658	"Waschhorn"	53.61498	8.7375	29	"AWI"	29	248	1042	572	0.123609394313968	0	8.52904820766378	0.865265760197775	0	0	0.494437577255871	0	0	8.28182941903585	0	0.865265760197775	0	0.123609394313968	0	0	0	5.93325092707046	3.831891223733	0	0	8.89987639060569	0.123609394313968	0.370828182941904	0	0	0	0	0	0	0.494437577255871	0	0.494437577255871	0.247218788627936	0.123609394313968	4.94437577255871	0	0	20.2719406674907	0	0	29.6662546353523	0	0	0.123609394313968	3.95550061804697	0.247218788627936	0	0	0.123609394313968	0	0	0	0	0.123609394313968	0.247218788627936	0.494437577255871	0
14472	22658	"Waschhorn"	53.61498	8.7375	33	"AWI"	33	377	1241	751	0	0.102986611740474	13.1822863027806	0.308959835221421	0	0	0.411946446961895	0	0	16.3748712667353	0	0.411946446961895	0	0	0	0	0	5.66426364572606	2.05973223480947	0	0	9.16580844490216	0	1.54479917610711	0	0	0	0.102986611740474	0	0	0.102986611740474	0	2.57466529351184	0.102986611740474	0	3.81050463439753	0	0	16.1688980432544	0	0	24.4078269824923	0	0	0	2.05973223480947	0.308959835221421	0	0	0	0	0	0	0	0.102986611740474	0.514933058702369	0.514933058702369	0
14472	22658	"Waschhorn"	53.61498	8.7375	37	"AWI"	37	517	1400	929	0.0750187546886722	0.0750187546886722	16.5791447861965	0.825206301575394	0	0	0.375093773443361	0	0	9.75243810952738	0	0.0750187546886722	0	0	0	0	0	4.72618154538635	2.17554388597149	0	0	8.85221305326332	0	0.675168792198049	0	0	0	0.0750187546886722	0	0	0.0750187546886722	0	2.47561890472618	0	0.0750187546886722	2.47561890472618	0	0	14.6286571642911	0	0	33.4583645911478	0	0	0	1.65041260315079	0.375093773443361	0	0	0	0	0	0	0	0	0.300075018754689	0.225056264066016	0
