"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15700	24078	"Jelení louže"	50.891816	14.276158	0	"AWI"	0	-121	60	-43	0	0.14367816091954	2.01149425287356	0.431034482758621	0	0.574712643678161	0	31.1781609195402	0.14367816091954	0	0	0.14367816091954	0	0.28735632183908	0	0	0	0	0	5.17241379310345	0	0.574712643678161	0	0	0	0	0.431034482758621	5.89080459770115	32.7586206896552	0	7.18390804597701	0.28735632183908	2.01149425287356	0	0	0	0.431034482758621	0.28735632183908	0.14367816091954	0	0	0	0	0	9.91379310344828	0
15700	24078	"Jelení louže"	50.891816	14.276158	5	"AWI"	5	-52	460	110	0.432276657060519	0	1.5850144092219	0.288184438040346	0	0.432276657060519	0	43.8040345821326	0.144092219020173	0	0	0	0	0.288184438040346	0	0.288184438040346	3.60230547550432	0	0	5.90778097982709	0	0.288184438040346	0.144092219020173	0	0	0.288184438040346	0.720461095100865	4.75504322766571	34.4380403458213	0	0	0.144092219020173	1.29682997118156	0	0	0	0.288184438040346	0.144092219020173	0	0	0	0	0	0	0.720461095100865	0
15700	24078	"Jelení louže"	50.891816	14.276158	10	"AWI"	10	27	692	292	3.92706872370266	0	3.2258064516129	0.280504908835905	0	1.12201963534362	0	41.9354838709677	0.140252454417952	0	0	0	0	0.841514726507714	0	0.841514726507714	3.36605890603086	0	0.140252454417952	10.2384291725105	0	0.561009817671809	0	0.140252454417952	0	1.40252454417952	2.24403927068724	2.10378681626928	18.6535764375877	0	0	0.140252454417952	4.20757363253857	0	0	0.140252454417952	3.2258064516129	0.561009817671809	0	0	0	0	0.140252454417952	0.280504908835905	0.140252454417952	0
15700	24078	"Jelení louže"	50.891816	14.276158	15	"AWI"	15	144	918	486	8.68385345997286	0.135685210312076	1.62822252374491	0.135685210312076	0.407055630936228	1.49253731343284	0	42.3337856173677	0.271370420624152	0	0	0	0.135685210312076	1.08548168249661	0	0.271370420624152	3.25644504748982	0	0	8.95522388059701	0	0.135685210312076	0	0	0	0.135685210312076	3.12075983717775	2.44233378561737	19.8100407055631	0	0	0.271370420624152	2.44233378561737	0	0	0.135685210312076	1.62822252374491	0.271370420624152	0.135685210312076	0	0	0.135685210312076	0.135685210312076	0.135685210312076	0.271370420624152	0
15700	24078	"Jelení louže"	50.891816	14.276158	20	"AWI"	20	286	1099	666	9.24918389553863	0	1.63220892274211	0	0	0.652883569096844	0	56.6920565832427	0	0	0	0	0.108813928182807	1.19695321001088	0	0.326441784548422	1.08813928182807	0	0	6.09357997823721	0	0.108813928182807	0	0	0	0.217627856365615	2.06746463547334	2.82916213275299	14.3634385201306	0	0	0.326441784548422	1.63220892274211	0	0	0	0.652883569096844	0	0	0	0.108813928182807	0	0	0.544069640914037	0.108813928182807	0
15700	24078	"Jelení louže"	50.891816	14.276158	25	"AWI"	25	447	1253	861	7.69230769230769	0.105374077976818	3.05584826132771	0	0	0.842992623814542	0	55.9536354056902	0.105374077976818	0	0	0	0.210748155953635	0.632244467860906	0	0.210748155953635	0	0	0	4.95258166491043	0.105374077976818	0.316122233930453	0	0.105374077976818	0	0.210748155953635	3.5827186512118	2.84510010537408	15.9114857744995	0	0	0	1.89673340358272	0	0	0	0.316122233930453	0.210748155953635	0.210748155953635	0	0	0	0.105374077976818	0.210748155953635	0.210748155953635	0
15700	24078	"Jelení louže"	50.891816	14.276158	30	"AWI"	30	619	1386	1052	9.7841726618705	0	7.48201438848921	0	0	0.719424460431655	0	21.726618705036	0	0	0	0	0	1.00719424460432	0	0.863309352517986	0	0	0	17.1223021582734	0	0.575539568345324	0	0	0	0.143884892086331	4.31654676258993	6.90647482014388	22.7338129496403	0	0	0	4.1726618705036	0	0	0.143884892086331	0.287769784172662	1.15107913669065	0.143884892086331	0	0	0	0	0.575539568345324	0.143884892086331	0
15700	24078	"Jelení louže"	50.891816	14.276158	40	"AWI"	40	1031	1623	1416	12.6760563380282	0	4.99359795134443	0.128040973111396	0	0.768245838668374	0	28.9372599231754	0.128040973111396	0	0	0	0	1.02432778489117	0.128040973111396	0	0	0	0	17.6696542893726	0	0.256081946222791	0	0.128040973111396	0	0.128040973111396	3.58514724711908	4.73751600512164	18.437900128041	0	0	0.128040973111396	4.22535211267606	0	0	0	0.768245838668374	0.128040973111396	0	0	0	0	0.640204865556978	0.384122919334187	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	50	"AWI"	50	1583	1854	1703	14.578313253012	0	2.40963855421687	0.120481927710843	0	0.120481927710843	0	22.5301204819277	0	0	0	0	0	1.68674698795181	0	0.120481927710843	3.25301204819277	0	0	21.0843373493976	0	0.240963855421687	0	0	0	0.120481927710843	3.01204819277108	3.01204819277108	19.8795180722892	0	0	0	6.98795180722892	0	0	0	0.120481927710843	0	0	0	0	0	0	0.481927710843374	0.240963855421687	0
15700	24078	"Jelení louže"	50.891816	14.276158	60	"AWI"	60	1699	2163	1891	14.3864598025388	0	6.06488011283498	0	0	0.141043723554302	0	25.8110014104372	0	0	0	0	0	1.97461212976023	0	0.141043723554302	4.09026798307475	0	0	14.1043723554302	0	0.564174894217207	0	0	0	0	2.82087447108604	2.53878702397743	20.1692524682652	0	0	0	6.20592383638928	0	0	0	0	0	0.141043723554302	0	0.141043723554302	0	0.423131170662906	0.282087447108604	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	70	"AWI"	70	1842	2394	2092	12.2473246135553	0	5.23186682520809	0	0	0.832342449464923	0	27.705112960761	0	0	0	0	0	1.90249702734839	0	0.356718192627824	2.73483947681332	0	0	12.4851367419738	0	0.594530321046373	0	0	0	0.713436385255648	4.16171224732461	2.85374554102259	22.2354340071344	0	0	0.118906064209275	5.11296076099881	0	0	0	0.118906064209275	0	0	0	0	0	0.118906064209275	0.237812128418549	0.237812128418549	0
15700	24078	"Jelení louže"	50.891816	14.276158	80	"AWI"	80	1991	2596	2289	12.924071082391	0.161550888529887	5.49273021001615	0	0	0.323101777059774	0	20.3554119547657	0	0	0	0	0	3.06946688206785	0	0.323101777059774	0	0	0	20.6785137318255	0	0.807754442649435	0	0	0	0.161550888529887	1.77705977382876	0.969305331179321	24.0710823909532	0	0	0	7.26978998384491	0	0	0	0.323101777059774	0.161550888529887	0	0	0.161550888529887	0	0.161550888529887	0.646203554119548	0.161550888529887	0
15700	24078	"Jelení louže"	50.891816	14.276158	90	"AWI"	90	2172	2779	2486	8.28667413213886	0	8.62262038073908	0.111982082866741	0	0.895856662933931	0	24.4120940649496	0	0	0	0	0	0.783874580067189	0	2.46360582306831	5.48712206047032	0	0	11.7581187010078	0	0.111982082866741	0	0	0	0.783874580067189	1.79171332586786	0.783874580067189	20.4927211646137	0	0	0	11.9820828667413	0	0	0	0.111982082866741	0.783874580067189	0	0	0	0	0	0.223964165733483	0.111982082866741	0
15700	24078	"Jelení louže"	50.891816	14.276158	100	"AWI"	100	2389	2941	2687	10	0	4.63414634146341	0	0	0	0	27.6829268292683	0	0	0	0	0	0.731707317073171	0	0.853658536585366	0	0	0	15.609756097561	0	0	0	0	0	0	3.53658536585366	1.09756097560976	27.6829268292683	0	0	0	6.34146341463415	0	0	0	0	0	0	0.121951219512195	0	0	0.975609756097561	0.731707317073171	0	0
