"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	0	"AWI"	0	-145	23	-57	10	0	14	16	2	15	67	26	0	18	3	2	0	8	3	4	0	51	461	0	13	0	0	42	0	2	0	0	0	3	47	4	0	0	0	47	2	18	118	0	0	0	0	0	0	0	4	24	9	0	14	1	0	1	4	5	0	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	10	"AWI"	10	-64	432	110	3	2	18	16	7	13	64	2	0	11	3	6	0	3	2	7	2	32	383	0	6	1	0	43	0	2	0	1	1	1	58	8	0	0	0	22	2	26	116	0	0	0	0	0	0	0	5	14	8	0	0	4	0	2	2	7	1	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	20	"AWI"	20	45	622	306	5	0	18	5	6	12	0	11	0	9	12	10	0	4	0	6	1	20	269	0	0	0	2	71	3	2	0	1	0	1	56	6	2	0	0	35	3	12	102	0	0	0	0	0	0	0	4	29	3	0	0	0	0	4	2	4	2	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	30	"AWI"	30	205	789	502	10	0	12	28	7	25	32	7	0	15	6	8	0	5	0	6	0	13	256	0	7	0	9	75	2	2	0	1	1	2	33	5	0	0	0	26	0	11	80	0	0	0	0	0	0	0	4	15	2	0	0	1	0	0	1	5	0	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	40	"AWI"	40	530	988	700	4	3	6	6	12	32	0	9	0	18	8	4	0	4	0	4	1	16	388	1	4	1	5	56	0	0	0	0	0	0	7	5	0	0	0	0	0	8	65	0	0	0	0	0	0	0	7	12	0	0	0	2	0	1	3	1	0	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	50	"AWI"	50	766	3075	1454	14	0	12	4	7	15	0	14	0	5	2	4	0	1	1	2	0	16	445	0	2	1	2	80	2	3	0	0	0	0	6	7	0	0	0	42	0	10	38	0	0	0	0	0	0	0	8	13	4	0	0	1	0	4	4	1	0	5
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	60	"AWI"	60	1226	4366	2529	18	1	10	2	16	9	0	7	0	4	5	0	0	4	0	1	0	23	204	0	0	0	0	79	7	0	1	0	0	0	6	4	0	2	0	47	0	21	102	0	0	0	0	0	0	0	8	7	5	0	5	2	0	6	5	4	1	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	70	"AWI"	70	1925	5319	3619	28	2	25	6	15	15	0	10	0	9	16	1	0	7	0	4	0	16	281	0	0	0	0	83	4	2	0	0	0	0	0	7	7	2	0	58	0	26	141	0	0	0	0	0	0	0	9	9	2	0	4	2	0	3	6	0	3	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	80	"AWI"	80	2892	6020	4711	88	2	28	2	41	2	0	14	0	10	3	0	0	1	0	6	0	31	360	0	3	0	0	45	8	0	1	0	2	0	0	1	0	5	0	119	0	65	143	0	0	0	1	0	0	0	5	19	0	0	0	4	0	10	18	1	0	0
3278	4258	"Vitosha Mountains Peat Bog"	42.54718	23.2917	90	"AWI"	90	4355	6522	5763	139	2	26	3	42	4	0	17	0	19	2	0	0	2	0	2	0	43	471	0	0	0	0	40	5	0	0	0	3	0	0	8	2	3	0	167	0	67	136	0	0	0	2	0	0	0	9	6	5	0	0	7	0	25	15	0	0	0
