"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26213	45707	"Lisletjønn"	59.34349	7.30483	537	"AWI"	537	-128	46	-44	0	9	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	3	0	0	0	0	6	0	7	271	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	2	9	0
26213	45707	"Lisletjønn"	59.34349	7.30483	545	"AWI"	545	-5	478	179	0	10	2	0	2	0	0	112	1	0	0	0	1	1	19	0	0	0	2	0	1	0	5	0	0	0	1	3	0	5	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	0
26213	45707	"Lisletjønn"	59.34349	7.30483	553	"AWI"	553	139	743	418	0	9	0	0	2	0	0	197	1	0	0	0	5	0	22	0	0	0	0	0	1	0	6	0	0	0	0	4	0	4	0	0	0	0	0	0	5	0	0	0	1	0	3	0	1	0	0	0	1	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	561	"AWI"	561	339	971	661	1	10	2	0	0	1	0	157	0	0	0	0	2	0	22	0	0	0	2	0	2	0	2	0	0	0	0	8	0	4	0	0	0	0	0	0	8	0	0	0	0	0	2	0	1	0	0	0	0	6	0
26213	45707	"Lisletjønn"	59.34349	7.30483	569	"AWI"	569	601	1157	906	0	9	0	0	3	0	0	214	0	0	0	0	7	0	14	0	0	0	1	0	1	0	11	0	0	0	0	2	1	0	215	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	2	4	0
26213	45707	"Lisletjønn"	59.34349	7.30483	577	"AWI"	577	952	1299	1137	0	7	1	0	1	0	0	172	0	1	0	0	10	0	8	0	0	0	1	0	2	0	4	0	0	0	0	6	2	0	203	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	5	0
26213	45707	"Lisletjønn"	59.34349	7.30483	585	"AWI"	585	1079	1698	1338	0	31	0	0	0	0	0	204	0	0	0	0	8	0	20	0	0	0	5	0	0	0	2	0	0	0	2	3	1	2	296	0	1	0	1	0	10	0	0	0	0	0	0	0	1	0	0	2	2	4	0
26213	45707	"Lisletjønn"	59.34349	7.30483	593	"AWI"	593	1228	2008	1555	0	50	0	0	0	0	0	288	0	0	0	0	20	0	19	0	0	0	1	0	5	0	4	0	0	0	0	8	2	0	0	0	0	0	0	0	25	0	0	0	0	0	5	0	0	0	0	0	7	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	601	"AWI"	601	1379	2284	1775	0	25	0	0	0	0	0	0	0	0	0	0	6	0	19	0	0	0	2	0	2	0	5	0	0	0	0	4	0	0	245	0	0	0	0	0	10	0	0	0	0	0	2	0	1	0	0	0	3	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	609	"AWI"	609	1544	2539	1991	0	34	1	0	1	0	0	163	0	0	0	0	9	0	11	0	0	0	2	0	0	0	4	0	0	0	0	7	0	2	262	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0	1	3	0
26213	45707	"Lisletjønn"	59.34349	7.30483	617	"AWI"	617	1718	2808	2212	0	25	0	0	0	0	4	193	0	0	0	0	7	0	10	0	0	0	0	0	1	0	2	0	0	0	0	5	0	0	288	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	1	4	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	625	"AWI"	625	1919	3050	2425	0	37	0	0	1	0	0	0	0	0	0	0	11	0	9	0	0	0	2	0	0	0	5	0	0	0	0	6	2	0	294	0	0	0	0	0	11	0	0	0	0	0	1	0	2	0	0	2	2	3	0
26213	45707	"Lisletjønn"	59.34349	7.30483	633	"AWI"	633	2106	3277	2648	0	46	1	0	0	0	0	135	0	0	0	0	8	0	15	0	0	0	1	0	1	0	4	0	0	0	0	1	0	0	327	0	0	0	0	1	18	0	0	0	0	0	0	0	2	0	0	0	7	3	0
26213	45707	"Lisletjønn"	59.34349	7.30483	641	"AWI"	641	2290	3508	2866	0	56	0	0	2	0	0	183	0	0	0	0	10	0	14	0	0	0	0	0	3	1	6	0	0	0	0	5	1	0	416	0	0	0	0	0	12	0	0	0	0	0	3	0	1	0	0	3	4	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	649	"AWI"	649	2505	3710	3085	0	47	0	0	2	0	0	0	0	0	0	0	20	0	13	0	0	0	1	0	3	0	5	0	0	0	0	5	1	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	1	0	1	1	8	3	0
26213	45707	"Lisletjønn"	59.34349	7.30483	657	"AWI"	657	2714	3947	3312	0	32	0	0	2	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	2	0	5	0	0	0	0	4	0	0	263	0	0	0	0	1	19	0	0	0	0	0	0	0	2	0	0	0	5	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	665	"AWI"	665	2934	4131	3530	0	44	0	0	1	0	0	0	0	0	0	0	8	0	8	0	0	0	1	0	4	0	3	0	0	0	0	7	0	0	250	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	5	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	673	"AWI"	673	3142	4334	3754	0	43	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	2	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	681	"AWI"	681	3363	4539	3979	0	28	0	0	2	0	0	155	0	0	0	0	18	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	1	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	689	"AWI"	689	3594	4741	4197	0	43	1	0	1	0	0	0	0	0	0	0	16	0	9	0	0	0	0	0	5	0	2	0	0	0	0	3	0	0	312	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	2	2	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	697	"AWI"	697	3801	4931	4415	0	54	0	0	0	0	0	133	0	0	0	0	16	0	4	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	275	0	0	0	1	0	14	0	0	0	0	0	1	0	2	0	0	0	4	1	0
26213	45707	"Lisletjønn"	59.34349	7.30483	705	"AWI"	705	4069	5099	4635	0	39	0	0	1	0	0	0	0	0	0	0	16	0	17	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	293	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	2	1	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	713	"AWI"	713	4320	5285	4853	0	29	0	0	2	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	277	0	0	0	2	0	15	0	0	0	0	0	1	0	0	0	0	0	7	2	0
26213	45707	"Lisletjønn"	59.34349	7.30483	721	"AWI"	721	4612	5442	5080	0	60	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	335	0	0	0	1	0	17	0	0	0	0	0	6	0	0	0	0	0	10	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	729	"AWI"	729	4918	5586	5297	0	35	0	0	0	0	0	0	0	1	0	0	15	0	8	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	219	0	0	0	1	0	13	0	0	0	0	0	1	0	1	0	0	0	2	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	737	"AWI"	737	5244	5734	5513	0	25	2	0	1	0	0	0	0	0	0	0	11	0	8	0	0	0	0	0	2	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	1	3	0	0
26213	45707	"Lisletjønn"	59.34349	7.30483	745	"AWI"	745	5405	6041	5701	0	85	0	0	1	0	0	181	0	0	0	0	19	0	7	0	6	0	2	1	1	0	3	1	0	0	0	2	0	0	257	0	0	0	1	0	16	0	0	0	0	0	2	0	1	0	0	0	10	0	0
