"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sciadopitys"	"Thalictrum"	"Urticaceae"
13445	20163	"Mariahout"	51.52333	5.545	3	"AWI"	3	13558	14002	13796	0	1	0	7	0	44	1	0	0	1	3	166	0	0	0	0	0	2	0	0	0	0	0	66	0	0	0	0	0	0	0	0	1	5	0	0	0	0
13445	20163	"Mariahout"	51.52333	5.545	4	"AWI"	4	13577	14020	13814	1	2	1	4	3	40	0	0	0	3	0	868	0	0	0	0	0	5	0	0	0	12	0	132	0	1	0	0	0	0	0	1	1	8	0	0	3	0
13445	20163	"Mariahout"	51.52333	5.545	5	"AWI"	5	13596	14039	13833	0	1	0	1	0	52	0	0	0	1	2	999	0	0	0	0	1	3	0	0	0	3	0	455	0	0	0	0	0	0	0	1	0	8	0	1	0	0
13445	20163	"Mariahout"	51.52333	5.545	7	"AWI"	7	13630	14072	13870	1	1	0	11	3	70	0	2	0	1	1	806	0	1	0	0	0	5	0	1	1	25	0	111	0	0	10	1	0	0	0	0	5	6	0	0	0	0
13445	20163	"Mariahout"	51.52333	5.545	9	"AWI"	9	13673	14111	13908	0	0	0	3	3	42	1	0	0	1	0	761	0	0	2	0	0	1	0	0	0	21	0	34	0	5	0	0	1	0	0	1	0	3	0	0	0	0
13445	20163	"Mariahout"	51.52333	5.545	11	"AWI"	11	13709	14153	13947	0	0	0	3	0	26	0	1	0	1	1	311	2	0	2	0	0	3	0	0	3	15	0	32	0	1	0	0	0	0	0	1	0	0	0	2	1	0
13445	20163	"Mariahout"	51.52333	5.545	13	"AWI"	13	13744	14193	13984	0	0	0	1	2	22	1	0	0	0	0	214	1	0	0	0	1	0	0	0	2	16	0	55	0	6	0	0	0	0	0	0	0	0	0	0	0	0
13445	20163	"Mariahout"	51.52333	5.545	15	"AWI"	15	13781	14234	14021	0	0	1	16	0	218	0	0	0	0	0	678	0	0	0	0	0	24	1	0	0	1	0	72	0	0	0	0	0	0	0	5	1	9	0	0	8	0
13445	20163	"Mariahout"	51.52333	5.545	17	"AWI"	17	13818	14272	14059	0	0	0	12	0	0	0	0	0	1	0	482	0	0	0	0	0	21	0	0	0	2	0	43	0	0	0	0	0	0	0	6	0	15	0	0	3	0
13445	20163	"Mariahout"	51.52333	5.545	19	"AWI"	19	13855	14312	14096	0	0	1	6	0	118	0	0	0	0	1	403	0	0	0	0	0	23	0	0	0	6	0	49	0	1	0	0	0	0	0	3	3	24	0	0	8	0
