"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15993	24673	"La boire Torse"	47.38667	-1.07	5	"AWI"	5	-76	185	32	0	13	0	5	0	1	0	0	1	0	1	1	5	0	0	1	0	0	4	0	35	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	9	9	0	0	0	0	34	2	0	0	0	0	3	0	0	0	1	0	1	1	0	2	0
15993	24673	"La boire Torse"	47.38667	-1.07	10	"AWI"	10	-59	387	102	0	10	1	3	0	2	0	27	1	0	5	0	14	0	3	1	0	0	7	0	62	2	0	0	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	4	19	0	0	0	0	28	3	0	0	1	21	7	0	0	0	0	0	1	5	0	1	0
15993	24673	"La boire Torse"	47.38667	-1.07	15	"AWI"	15	-41	592	169	0	13	2	1	0	2	0	38	1	0	2	1	13	0	5	0	0	0	15	0	26	4	0	0	0	5	1	0	0	0	0	3	4	0	0	0	1	0	0	0	0	0	7	19	0	0	0	0	59	10	0	0	0	0	3	0	0	0	3	0	1	1	0	0	0
15993	24673	"La boire Torse"	47.38667	-1.07	20	"AWI"	20	17	668	252	0	12	1	3	0	0	0	28	1	0	8	1	17	0	2	0	0	0	10	0	37	1	0	0	0	1	1	0	0	0	0	1	2	1	1	0	0	0	0	0	1	0	4	25	0	0	0	0	28	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
15993	24673	"La boire Torse"	47.38667	-1.07	25	"AWI"	25	52	737	337	0	10	3	7	0	0	0	0	1	5	2	1	13	0	1	0	0	0	7	0	25	3	1	0	0	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	11	24	104	0	0	0	22	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
15993	24673	"La boire Torse"	47.38667	-1.07	30	"AWI"	30	79	828	416	0	8	1	5	0	4	0	0	0	0	3	3	13	0	8	1	0	0	6	0	17	1	0	0	0	4	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4	30	0	0	0	0	26	9	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0
15993	24673	"La boire Torse"	47.38667	-1.07	35	"AWI"	35	152	896	502	1	17	2	4	0	0	0	0	2	0	5	0	5	0	11	1	0	0	10	0	52	3	0	0	0	9	3	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	75	8	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0
15993	24673	"La boire Torse"	47.38667	-1.07	40	"AWI"	40	216	936	597	0	4	1	4	0	1	0	0	1	0	0	0	16	0	1	0	0	0	16	0	28	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	21	0	0	0	0	31	1	0	0	0	22	4	0	0	0	0	0	1	1	0	0	1
15993	24673	"La boire Torse"	47.38667	-1.07	45	"AWI"	45	265	1002	697	0	12	2	4	0	1	0	24	3	0	5	1	3	0	6	0	0	0	13	0	32	5	0	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	13	15	0	0	0	0	46	5	0	0	1	25	4	0	0	0	0	1	0	1	0	0	1
15993	24673	"La boire Torse"	47.38667	-1.07	50	"AWI"	50	389	1066	776	0	5	1	1	0	2	0	26	1	0	2	2	8	0	3	1	0	3	7	0	99	2	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	5	19	0	6	0	0	47	1	0	0	0	4	3	0	0	0	0	0	1	3	0	0	0
