"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"	"Vitaceae"
3357	4355	"Popovo Ezero"	41.70757	23.50822	20	"AWI"	20	162	799	463	7	0	1	0	0	0	7	0	2	0	4	0	0	3	0	0	0	0	71	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	6	143	0	0	0	0	0	0	0	0	1	5	2	0	1	0	1	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	30	"AWI"	30	375	1042	725	5	0	1	2	0	0	3	0	3	0	0	0	0	5	0	0	2	3	199	2	0	0	1	0	2	0	0	0	22	0	0	0	0	0	5	185	0	0	0	0	0	2	0	0	1	4	0	0	1	0	0	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	40	"AWI"	40	683	1229	999	9	0	9	3	0	0	14	29	1	1	2	1	0	6	2	0	0	4	215	0	0	0	10	1	2	0	0	1	12	1	0	0	1	0	11	350	0	0	0	0	0	10	0	0	0	3	0	0	0	1	0	1	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	50	"AWI"	50	1082	1369	1257	31	1	8	1	0	5	3	45	2	0	1	0	0	13	0	0	0	6	1	0	0	0	9	1	0	0	0	0	0	2	0	0	0	0	12	378	0	0	0	0	0	6	0	0	0	0	0	0	2	3	1	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	60	"AWI"	60	1236	1783	1472	36	1	8	1	0	0	1	45	0	0	0	0	0	16	0	0	0	1	3	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	8	379	0	0	0	0	0	15	0	0	0	0	0	0	0	5	0	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	70	"AWI"	70	1412	2086	1725	32	1	8	0	3	0	1	25	3	0	0	0	0	12	0	0	0	1	0	0	0	0	10	1	0	0	0	0	0	1	0	0	1	0	23	355	0	0	0	0	0	6	0	0	1	0	0	0	0	2	2	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	80	"AWI"	80	1631	2325	1972	29	1	5	0	1	6	5	44	1	1	0	0	0	0	0	0	0	5	1	1	0	0	6	0	0	0	0	0	1	1	0	0	0	0	12	334	0	0	0	0	0	3	0	0	0	0	0	1	0	2	1	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	90	"AWI"	90	1880	2518	2226	26	1	6	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	15	412	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	100	"AWI"	100	2175	2678	2471	10	2	5	3	0	5	6	0	3	0	1	0	0	0	0	0	0	7	0	0	0	0	7	1	0	0	0	0	10	0	2	0	0	4	16	328	0	0	74	0	0	11	0	0	2	4	0	0	1	2	1	0	0
3357	4355	"Popovo Ezero"	41.70757	23.50822	110	"AWI"	110	2472	3157	2753	25	1	11	1	0	0	1	0	10	0	0	0	0	0	0	0	0	3	9	0	0	0	5	0	0	0	0	0	4	2	0	0	0	5	14	322	0	0	0	0	0	7	0	0	0	5	0	0	0	3	0	0	0
