"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Dioscoreaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
26056	45196	"Hayley Wood"	52.16056	-0.1125	1.2	"AWI"	1.2	-65.2	-49.6	-56.6	0	9	3	10	0	0	0	0	5	0	8	0	28	4	0	0	0	0	1	127	1	0	0	3	0	0	0	150	0	0	81	0	3	0	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	207	4	0	0	1	0	28	0	0	3	0	0	13	4	0	1	0	12	19	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	1.8	"AWI"	1.8	-62.8	-48.4	-55.4	0	3	14	10	0	0	0	0	6	0	9	0	14	0	0	0	0	0	0	130	3	0	3	3	0	0	0	166	3	0	0	0	2	0	1	0	0	0	0	0	2	0	21	0	0	183	0	0	0	212	3	0	0	1	0	13	6	0	0	2	0	1	3	0	1	0	2	12	0	1
26056	45196	"Hayley Wood"	52.16056	-0.1125	2.4	"AWI"	2.4	-61.2	-47.6	-54.2	0	3	1	7	0	0	0	2	1	0	4	0	18	0	0	0	0	0	0	123	7	1	0	3	0	1	1	178	2	0	0	0	0	0	1	0	1	0	0	0	1	0	22	0	2	203	0	1	0	212	1	0	0	0	0	18	7	0	0	0	1	8	3	0	0	0	2	15	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	3	"AWI"	3	-60	-47	-53	0	11	1	8	0	0	0	0	1	0	6	0	22	0	0	0	0	0	0	131	6	0	0	3	0	0	0	180	0	0	75	0	2	0	1	0	0	0	1	0	0	0	20	0	0	0	0	0	0	217	2	0	0	0	0	16	8	0	0	1	0	7	1	0	0	0	1	15	0	2
26056	45196	"Hayley Wood"	52.16056	-0.1125	3.6	"AWI"	3.6	-58.2	-45.8	-51.8	0	4	6	13	0	0	1	2	4	0	9	0	33	0	0	0	0	0	0	109	0	0	0	2	0	1	0	166	0	0	136	0	3	0	3	0	0	0	0	0	0	0	37	0	0	0	0	0	0	186	2	0	0	0	0	28	0	0	0	0	0	8	0	0	1	0	13	41	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	4.2	"AWI"	4.2	-56.6	-44.4	-50.6	1	4	1	7	0	0	0	1	2	0	5	0	20	0	0	0	0	0	0	85	4	2	0	4	0	3	0	174	0	0	0	0	2	0	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	223	1	0	0	0	0	14	7	0	0	0	2	7	4	0	1	0	3	11	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	6.6	"AWI"	6.6	-51.8	-39.8	-45.8	0	2	1	10	0	0	0	0	0	0	11	0	20	0	0	0	0	0	0	113	1	0	0	3	0	0	0	156	1	0	0	0	1	0	4	0	0	0	0	0	0	0	32	0	0	0	0	0	0	167	2	0	0	0	0	31	0	0	0	0	0	12	2	0	0	0	6	22	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	5.4	"AWI"	5.4	-54.2	-41.6	-48.2	0	2	6	7	1	0	1	1	3	0	14	0	22	0	0	0	0	0	0	140	4	0	0	3	0	0	0	178	0	0	61	0	0	0	3	0	1	0	1	0	0	0	18	0	0	202	0	0	0	214	4	0	0	0	0	15	3	0	0	1	1	12	2	0	0	0	6	11	0	0
26056	45196	"Hayley Wood"	52.16056	-0.1125	6	"AWI"	6	-53	-41	-47	1	5	5	5	0	0	0	1	1	0	3	0	22	0	0	0	0	0	0	105	5	0	0	5	0	1	0	208	3	1	57	0	1	0	1	0	0	0	0	0	0	0	27	0	0	163	0	0	0	235	1	0	0	0	0	12	5	0	0	1	2	8	1	0	0	0	7	13	0	1
26056	45196	"Hayley Wood"	52.16056	-0.1125	4.8	"AWI"	4.8	-55.4	-42.6	-49.4	0	6	4	2	0	0	0	0	1	0	9	0	14	0	0	0	0	0	1	122	6	1	0	6	0	2	0	191	0	0	0	0	0	0	5	0	0	0	1	0	0	0	24	0	0	184	0	0	0	200	1	0	0	0	0	11	11	0	0	1	4	6	3	0	2	0	4	12	0	1
