"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	85	"AWI"	85	3421	4648	4042	10	0	16	0	0	2	0	5	0	1	0	0	0	0	2	108	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	13	79	0	0	0	1	6	0	0	0	1	1	0	0	0	3	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	90	"AWI"	90	4125	4987	4567	10	1	16	0	0	3	0	17	0	4	0	0	3	0	3	145	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	13	221	0	0	0	0	5	0	0	1	1	1	0	1	0	4	1	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	95	"AWI"	95	4550	5308	4917	18	1	36	0	0	3	0	11	0	1	0	0	3	0	5	94	0	0	0	3	0	0	1	0	1	0	2	0	0	0	0	22	190	0	0	0	2	6	0	0	1	3	4	0	0	1	0	1	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	100	"AWI"	100	4690	6052	5233	12	0	7	0	2	3	0	8	0	0	0	1	0	0	7	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	253	0	0	0	4	2	1	0	0	0	2	0	0	0	1	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	105	"AWI"	105	4941	6186	5565	16	0	66	1	0	9	0	12	0	1	0	0	0	0	12	255	0	0	0	1	1	0	0	0	2	1	4	0	0	0	1	2	309	0	0	0	5	9	0	0	0	4	1	0	1	3	3	1	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	110	"AWI"	110	5098	6492	5886	17	1	14	0	0	6	9	17	0	5	0	0	0	0	7	189	0	0	0	2	0	0	0	0	1	0	2	0	1	0	1	0	189	0	0	0	1	10	0	0	0	2	9	0	0	2	4	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	115	"AWI"	115	5670	6579	6160	17	2	13	0	0	4	0	17	0	3	0	0	1	0	12	232	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	205	0	0	0	1	7	0	0	0	0	1	0	1	5	7	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	120	"AWI"	120	5977	6768	6449	18	0	5	0	0	3	0	5	0	3	0	0	1	0	11	184	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	139	0	0	0	0	4	0	0	0	0	3	0	1	1	6	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	125	"AWI"	125	6199	6860	6576	25	1	0	0	0	8	0	20	0	1	0	0	0	0	7	254	0	0	0	0	1	0	1	0	5	1	4	0	0	0	0	0	217	0	0	0	3	20	1	0	0	1	1	0	2	2	5	1	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	130	"AWI"	130	6315	7045	6697	12	0	3	0	0	5	0	4	0	1	0	0	2	0	9	240	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	144	0	0	1	6	10	0	0	0	2	1	0	1	2	4	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	135	"AWI"	135	6460	7128	6804	13	0	7	0	0	4	0	8	0	1	0	0	2	0	8	223	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	155	0	0	0	1	9	0	0	0	1	1	0	1	4	2	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	140	"AWI"	140	6556	7258	6911	9	0	0	0	0	4	0	8	0	0	0	0	2	0	6	197	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	140	0	0	0	0	9	0	0	0	0	2	0	1	2	4	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	145	"AWI"	145	6747	7349	7038	4	0	0	1	0	5	0	10	0	2	0	0	2	0	10	147	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	104	0	0	0	0	4	0	0	0	0	0	0	0	3	2	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	150	"AWI"	150	6846	7526	7162	10	0	0	0	0	4	0	5	0	1	0	0	1	0	5	175	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	82	0	0	0	2	4	0	0	0	1	1	0	1	0	6	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	155	"AWI"	155	7006	8182	7419	12	0	0	1	0	1	0	9	0	3	0	0	0	0	3	175	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	155	0	0	0	1	4	0	0	0	1	0	0	0	3	4	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	160	"AWI"	160	7088	9041	7644	10	0	0	0	0	6	0	6	0	0	0	0	1	0	2	116	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	7	165	0	0	0	3	3	0	0	0	0	1	0	0	1	3	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	162	"AWI"	162	7173	9174	7777	7	0	0	0	0	0	0	3	0	0	0	0	2	0	0	107	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	108	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0
