"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3142	4086	"Hawks Tor"	50.540892	-4.612328	1	"AWI"	1	746	6143	3754	0	0	0	0	0	0	55	0	0	0	1	1	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	23	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	3	"AWI"	3	863	6213	3843	0	0	1	0	0	0	44	2	0	0	0	3	73	0	0	1	0	0	2	0	2	0	0	0	0	0	0	4	0	16	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	5	"AWI"	5	964	6273	3947	0	0	2	0	0	0	30	1	0	0	0	0	77	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	9	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	7	"AWI"	7	1078	6369	4031	0	0	1	0	0	0	7	1	0	0	0	1	303	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	10	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	9	"AWI"	9	1203	6454	4127	0	0	0	0	0	0	8	0	0	0	0	0	468	0	0	1	0	0	1	0	2	0	1	0	0	0	0	3	65	4	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	11	"AWI"	11	1296	6548	4218	0	0	1	0	0	0	4	1	0	0	0	1	430	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	23	0	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	13	"AWI"	13	1439	6611	4315	0	0	0	0	0	0	8	0	0	0	0	0	375	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	29	1	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	15	"AWI"	15	1530	6661	4405	0	0	0	0	0	0	16	1	0	0	0	1	251	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	21	4	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	17	"AWI"	17	1608	6736	4497	0	0	2	0	0	0	11	0	0	0	0	0	306	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	26	7	0	0
3142	4086	"Hawks Tor"	50.540892	-4.612328	19	"AWI"	19	1694	6815	4585	0	1	0	0	0	0	7	0	0	0	0	2	401	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	41	10	0	0
