"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3018	3932	"Bjärsjon"	58.33431	13.654576	3	"AWI"	NA	NA	NA	NA	0	0	0	0	0	275	0	0	0	0	0	0	47	0	34	4	0	0	0	0	0	0	12	0	0	0	0	0	796	0	36	0	0	0	0	2	0	0	0	0	11	3	0	0	0	0	4	0
3018	3932	"Bjärsjon"	58.33431	13.654576	13	"AWI"	NA	NA	NA	NA	0	0	0	0	0	505	0	0	0	0	0	0	45	0	24	0	0	0	0	0	0	0	18	0	0	0	0	0	501	0	20	0	0	0	0	0	0	0	0	4	5	1	0	1	0	0	3	0
3018	3932	"Bjärsjon"	58.33431	13.654576	21	"AWI"	NA	NA	NA	NA	0	0	0	0	0	870	0	0	0	0	0	0	13	0	15	0	0	0	0	0	0	0	30	0	0	0	0	0	426	0	39	0	0	0	0	0	0	0	0	3	12	0	0	1	0	6	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	86	"AWI"	NA	NA	NA	NA	0	42	0	161	0	186	0	0	14	0	0	0	0	0	23	0	0	0	0	0	3	0	70	0	0	0	0	0	728	0	84	0	0	0	0	0	0	0	0	21	28	13	0	0	6	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	92	"AWI"	NA	NA	NA	NA	0	13	0	86	0	65	0	0	0	0	0	0	0	0	17	0	0	0	0	0	4	0	41	0	0	0	0	0	586	0	45	0	0	0	0	0	0	0	0	2	16	13	0	1	2	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	23	"AWI"	NA	NA	NA	NA	0	0	1	27	0	793	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	35	0	0	0	0	0	282	0	42	0	0	0	0	1	1	0	0	1	40	0	0	0	0	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	88	"AWI"	NA	NA	NA	NA	1	49	0	175	0	140	0	0	3	0	0	0	0	0	41	0	0	0	0	0	17	0	26	2	0	0	0	0	599	0	46	0	0	0	0	0	0	0	0	11	15	2	0	0	1	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	94	"AWI"	NA	NA	NA	NA	0	18	0	76	0	158	0	0	2	0	4	0	0	0	7	0	0	0	0	0	0	0	19	0	0	0	0	0	741	0	22	0	0	0	0	0	0	0	0	3	9	18	0	0	3	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	84	"AWI"	NA	NA	NA	NA	0	41	0	239	0	151	1	0	8	0	0	0	2	0	19	0	0	0	0	0	4	1	46	0	0	0	0	0	382	0	64	0	0	0	0	0	0	0	0	2	17	8	0	0	0	0	0	0
3018	3932	"Bjärsjon"	58.33431	13.654576	15	"AWI"	NA	NA	NA	NA	0	0	0	0	0	684	0	0	0	0	0	0	31	0	28	0	0	0	0	0	0	0	21	0	0	0	0	2	420	1	26	0	0	0	0	0	0	0	0	5	8	3	0	0	2	0	6	0
