"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	10	"AWI"	10	17	496	198	4	0	89	0	0	0	0	6	0	0	6	7	4	0	0	3	13	0	0	11	0	504	0	0	0	0	0	8	0	0	0	0	1	2	0	1	0	0	0	1	30	34	0	0	0	1	0	10	4	0	0	0	1	17	3	0	2	0	1	20	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	30	"AWI"	30	344	1021	663	6	0	96	0	0	0	0	2	0	0	7	6	3	7	0	7	7	0	0	11	0	266	0	0	0	0	0	6	0	0	0	0	2	2	0	0	0	0	0	0	16	23	0	1	148	0	1	6	4	0	0	0	2	23	0	0	5	0	0	5	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	40	"AWI"	40	557	1234	896	6	0	93	4	0	0	1	10	0	0	2	3	6	11	0	8	14	0	0	3	0	378	0	0	0	1	0	8	0	0	1	0	1	1	0	1	0	0	0	0	31	34	0	0	0	0	0	10	12	0	0	0	1	24	0	0	3	0	2	7	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	50	"AWI"	50	798	1453	1128	8	0	145	2	0	0	0	6	0	0	3	3	2	0	0	7	9	0	0	12	0	460	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	33	32	0	0	0	0	1	10	6	0	0	0	5	29	0	0	4	0	0	24	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	60	"AWI"	60	1092	1657	1350	6	0	154	3	0	0	0	14	0	0	5	0	2	10	0	5	27	0	0	14	0	553	0	0	0	0	0	6	1	0	1	1	0	4	0	1	0	2	0	0	33	33	0	0	0	0	0	17	8	1	0	0	0	41	1	0	1	0	2	13	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	70	"AWI"	70	1335	2022	1612	24	0	158	0	0	0	0	6	1	0	2	1	1	0	0	1	19	0	0	9	0	131	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	0	1	50	46	0	0	0	1	0	10	2	0	0	0	1	10	0	0	3	0	4	4	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	80	"AWI"	80	1524	2420	1900	12	0	111	2	0	0	0	6	0	0	4	0	0	3	0	4	3	0	0	5	0	464	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	32	21	0	0	0	0	0	9	2	0	0	0	2	19	2	0	2	0	0	3	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	90	"AWI"	90	1743	2773	2186	22	0	173	1	3	0	0	5	0	0	3	1	2	0	0	4	1	0	0	16	0	340	0	0	0	0	0	3	2	0	0	0	1	1	0	1	0	1	0	6	38	42	0	0	0	0	0	9	2	0	0	0	0	14	0	0	4	0	0	1	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	100	"AWI"	100	1962	3118	2480	15	1	182	1	2	0	0	1	0	0	4	1	0	1	0	1	1	0	0	8	0	357	0	0	0	0	0	9	0	0	1	0	0	1	0	0	0	0	0	0	33	32	0	0	0	0	0	6	1	0	0	0	1	12	1	0	4	0	3	2	0
14540	40579	"Alpi di Robièi Val Bavona"	46.445	8.51833	110	"AWI"	110	2217	3420	2775	28	0	254	2	5	0	0	2	0	0	9	2	4	2	0	7	0	0	0	14	0	622	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	1	59	50	0	0	0	0	0	8	1	0	0	0	1	10	1	0	4	0	3	0	0
