"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3240	4207	"Ljungsjön"	57.73429	13.33269	834	"AWI"	834	12656	13115	12865	0	16	0	59	0	158	0	7	4	2	154	0	1	0	0	0	0	0	0	44	0	1	217	0	215	0	0	7	3	0	4	50	49	3	3	7	0	0	7
3240	4207	"Ljungsjön"	57.73429	13.33269	835	"AWI"	835	12751	13176	12936	0	13	7	134	0	163	0	12	0	4	107	0	0	0	0	1	0	0	0	23	0	2	247	0	131	0	0	0	4	0	0	25	37	4	0	3	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	836	"AWI"	836	12812	13245	13003	2	37	1	111	0	199	0	7	4	0	123	0	0	0	1	1	0	1	0	28	0	0	258	0	172	0	0	0	0	0	3	65	43	2	0	4	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	838	"AWI"	838	12935	13387	13134	0	35	0	126	0	121	0	4	0	0	114	1	0	0	0	1	0	1	1	37	0	7	818	0	131	0	0	0	0	0	0	25	10	2	0	6	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	840	"AWI"	840	13066	13533	13267	0	0	2	37	0	137	0	0	0	5	33	0	0	0	0	1	0	0	0	17	0	0	654	0	56	0	0	0	1	0	0	15	7	0	0	4	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	842	"AWI"	842	13199	13677	13399	0	6	2	31	0	337	0	1	0	1	85	0	0	0	0	0	1	0	0	8	0	0	441	0	88	0	0	0	0	0	0	29	14	0	0	4	0	0	8
3240	4207	"Ljungsjön"	57.73429	13.33269	844	"AWI"	844	13329	13829	13542	0	13	0	38	0	278	0	2	0	0	76	0	0	0	0	1	0	0	0	27	0	0	336	0	85	2	1	0	0	0	0	28	20	1	0	5	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	846	"AWI"	846	13455	13986	13685	1	18	2	45	0	232	0	4	0	1	113	0	0	0	0	1	0	0	0	11	0	3	682	0	86	0	0	0	2	0	0	19	25	2	0	5	0	1	0
3240	4207	"Ljungsjön"	57.73429	13.33269	848	"AWI"	848	13585	14143	13829	0	4	2	36	0	155	0	2	0	8	56	0	0	0	0	2	0	0	0	14	0	4	449	1	107	2	0	2	3	0	0	19	17	4	2	5	1	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	850	"AWI"	850	13717	14305	13976	2	29	0	21	0	190	0	2	0	10	64	1	0	0	0	0	0	0	0	0	1	3	628	0	144	0	0	0	3	0	0	10	18	3	5	3	0	1	0
3240	4207	"Ljungsjön"	57.73429	13.33269	852	"AWI"	852	13852	14467	14119	3	13	0	74	0	189	0	2	0	12	60	0	0	0	0	0	0	0	0	3	1	0	486	0	175	0	0	0	1	0	0	16	25	0	0	1	0	1	0
3240	4207	"Ljungsjön"	57.73429	13.33269	854	"AWI"	854	13986	14627	14265	3	11	2	54	0	273	0	1	0	7	108	0	0	0	0	0	0	0	0	8	0	0	416	0	75	0	0	0	1	0	3	36	23	7	1	8	0	3	3
3240	4207	"Ljungsjön"	57.73429	13.33269	856	"AWI"	856	14124	14795	14410	0	40	0	82	0	669	0	1	0	10	40	0	0	0	0	0	0	0	0	9	0	0	287	0	65	0	0	2	0	0	0	16	13	17	0	4	0	0	0
3240	4207	"Ljungsjön"	57.73429	13.33269	858	"AWI"	858	14253	14950	14554	15	12	3	57	4	393	0	0	1	16	18	0	0	0	0	0	0	0	0	9	0	0	597	1	43	0	0	0	4	0	0	0	9	14	0	3	6	3	0
