"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3212	4171	"Kupena"	41.98333	24.33333	0	"AWI"	0	-143	24	-67	4	0	6	4	0	0	0	5	0	0	5	0	1	0	0	0	0	0	0	0	0	14	18	0	0	0	0	19	0	1	0	1	1	0	0	0	0	0	0	18	0	3	0	0	0	0	0	0	0	0	10	0	0	0	13	3	1	0	0	0	0	0	0	0	0	0	0	1
3212	4171	"Kupena"	41.98333	24.33333	5	"AWI"	5	5	1796	646	5	0	6	1	0	0	0	9	0	0	12	0	0	0	0	0	0	0	0	0	3	10	21	0	0	0	0	28	0	5	0	0	2	3	1	0	0	0	0	19	0	6	0	0	0	0	0	0	0	1	16	0	0	0	11	2	1	0	0	0	0	0	1	1	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	10	"AWI"	10	87	3688	1360	8	0	5	2	0	0	0	5	0	0	22	0	0	1	2	0	0	0	0	0	0	16	40	0	0	0	0	56	2	0	0	0	5	7	0	0	0	0	0	19	0	8	361	0	0	0	0	0	0	1	20	0	0	0	7	8	1	0	0	0	0	0	0	7	0	0	0	1
3212	4171	"Kupena"	41.98333	24.33333	15	"AWI"	15	552	4725	2197	47	1	32	4	0	0	3	50	0	0	92	0	5	0	2	0	0	0	0	0	0	360	807	0	0	0	0	120	89	0	0	0	0	0	4	0	0	0	0	72	0	30	0	0	0	0	0	0	0	0	674	0	0	0	10	17	2	1	0	0	0	2	66	176	0	1	0	3
3212	4171	"Kupena"	41.98333	24.33333	20	"AWI"	20	849	5692	3038	62	7	43	9	0	0	6	64	0	0	92	0	1	2	0	0	0	0	0	0	0	515	533	0	0	0	0	122	137	0	0	0	0	2	3	0	0	0	0	66	3	15	0	1	0	0	0	0	0	0	1013	0	1	0	32	11	7	0	0	0	0	3	106	248	0	0	0	4
3212	4171	"Kupena"	41.98333	24.33333	25	"AWI"	25	1581	6276	3832	55	10	40	5	0	0	4	58	0	0	102	0	0	3	0	0	3	0	0	0	0	498	495	0	0	0	0	57	115	1	0	3	0	0	0	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	955	0	0	0	35	13	1	0	0	4	0	4	105	286	0	0	0	0
3212	4171	"Kupena"	41.98333	24.33333	30	"AWI"	30	1921	7503	4667	65	6	27	12	0	0	2	51	0	0	124	0	0	3	0	0	0	0	0	1	0	353	528	0	1	0	0	91	90	0	0	2	0	0	1	0	0	1	0	55	0	7	0	0	0	0	0	0	0	0	805	0	0	0	23	14	4	0	0	0	0	6	85	226	0	1	1	2
3212	4171	"Kupena"	41.98333	24.33333	35	"AWI"	35	2775	8040	5573	67	13	66	11	1	0	6	46	2	0	115	0	0	5	2	0	0	0	3	0	3	695	501	0	0	0	0	3	188	0	0	7	0	1	7	1	0	0	0	21	0	0	0	2	0	0	0	0	0	0	1460	0	0	0	27	30	3	1	0	9	0	11	172	355	0	2	0	2
3212	4171	"Kupena"	41.98333	24.33333	40	"AWI"	40	3284	8992	6451	14	12	36	10	0	0	4	32	0	0	68	0	2	3	0	0	0	0	0	0	1	333	436	0	0	1	0	1	163	0	0	8	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1162	0	0	0	47	18	1	0	0	0	0	8	124	289	4	0	0	5
3212	4171	"Kupena"	41.98333	24.33333	45	"AWI"	45	4411	9310	7228	1	1	31	8	0	0	0	30	0	0	117	0	1	0	0	0	0	0	0	0	0	11	329	0	0	0	0	0	96	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	811	0	0	0	19	27	0	0	0	0	0	6	41	216	0	0	0	4
