"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15746	40484	"Etang de la Gruère"	47.24056	7.05	0.5	"AWI"	0.5	-43	-38.5	-40.5	2	1	0	0	0	0	0	11	0	0	0	0	0	0	1	0	5	3	0	0	0	20	0	3	0	0	0	0	1	0	0	0	0	0	6	41	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	3.5	"AWI"	3.5	-39.5	-35	-37	11	1	2	0	0	0	0	19	0	0	0	0	0	0	1	0	10	1	0	0	0	10	0	10	0	0	0	0	0	0	0	0	1	0	4	54	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	4.5	"AWI"	4.5	-38.5	-33	-35.5	2	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	4	9	0	0	0	23	0	4	0	0	0	0	1	0	0	0	2	0	8	68	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	5.5	"AWI"	5.5	-36	-30.5	-33	8	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	5	12	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	5	39	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
15746	40484	"Etang de la Gruère"	47.24056	7.05	8.5	"AWI"	8.5	-23	-19	-21	6	2	0	0	0	2	0	8	3	0	1	0	0	0	3	0	0	6	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	8	65	67	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	13.5	"AWI"	13.5	-8	0	-4	12	1	11	1	0	0	0	7	1	0	2	0	0	0	0	0	4	9	0	0	0	35	0	3	0	0	0	0	1	1	0	0	0	0	11	170	101	0	1	0	0	0	1	6	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	14.5	"AWI"	14.5	-6.5	4	-0.5	3	0	2	0	0	0	0	5	2	0	2	0	0	0	2	0	3	2	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	3	59	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	15.5	"AWI"	15.5	-4.5	7	2	18	1	0	0	0	3	0	12	1	0	0	0	0	0	1	0	12	9	0	0	0	17	0	2	1	0	0	5	1	0	1	0	0	0	4	67	104	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	16.5	"AWI"	16.5	-2.5	9.5	4	9	1	2	0	0	2	0	5	2	0	2	0	0	0	0	0	3	3	0	0	0	16	0	1	0	0	0	1	1	0	0	0	0	0	3	102	53	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15746	40484	"Etang de la Gruère"	47.24056	7.05	19.5	"AWI"	19.5	0.5	22	11	5	0	0	1	0	0	0	5	0	0	0	0	0	0	4	0	14	12	0	0	0	19	0	2	0	0	0	1	0	0	0	0	0	0	3	67	0	0	0	0	1	0	0	14	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1
