"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3204	4162	"Krageholmssjön"	55.50078	13.74492	0	"AWI"	0	-39	-32	-35	1	124	9	3	0	3	0	118	24	0	0	0	0	0	32	32	0	1	0	175	0	12	0	4	12	0	0	0	13	30	157	0	166	0	0	0	87	0	0	0	0	0	7	0	0	0	0	2	51	1	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	13	"AWI"	13	-26	-23	-24	0	111	13	3	0	14	0	127	28	0	1	0	3	0	28	49	0	2	0	180	0	14	0	0	15	0	0	0	26	18	134	0	166	0	0	0	89	0	0	0	0	0	4	1	0	0	0	1	43	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	23	"AWI"	23	-16	-12	-14	0	121	20	0	0	13	0	133	21	0	1	0	0	0	28	41	0	3	4	178	0	26	0	6	13	0	0	0	12	27	137	0	211	0	0	0	59	0	0	0	0	0	6	0	0	1	0	5	43	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	33	"AWI"	33	4	7	5	0	106	22	2	0	10	0	132	7	0	0	0	1	0	48	20	0	2	1	194	0	9	0	7	11	0	0	0	11	33	114	0	201	0	0	0	63	0	0	0	1	0	8	0	0	0	0	2	50	2	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	43	"AWI"	43	25	29	27	0	102	5	2	0	8	0	115	12	0	0	0	2	0	45	16	0	0	2	256	0	13	0	7	14	0	0	0	34	7	125	0	0	0	0	0	67	0	0	0	0	51	4	0	0	0	0	2	28	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	53	"AWI"	53	56	71	63	0	109	7	3	0	5	0	99	5	0	2	0	3	0	48	14	0	0	1	257	0	3	0	13	12	0	0	0	30	1	165	0	0	0	0	0	101	0	0	3	0	0	5	0	0	0	0	4	14	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	63	"AWI"	63	88	115	101	0	105	0	0	0	12	0	88	7	0	4	0	0	0	72	7	0	0	0	261	0	1	0	7	23	0	0	0	16	1	131	0	128	0	0	0	110	0	0	6	0	0	3	0	0	0	0	4	5	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	73	"AWI"	73	107	216	152	0	109	5	1	0	8	0	93	6	0	3	0	3	0	80	6	0	0	0	254	0	3	0	4	22	0	0	0	17	1	139	0	0	0	0	0	116	3	0	0	0	0	1	0	0	0	0	3	9	2	2
3204	4162	"Krageholmssjön"	55.50078	13.74492	83	"AWI"	83	119	324	204	0	84	2	1	0	7	0	113	7	0	4	0	0	0	63	5	0	0	0	240	0	5	0	9	16	0	0	0	14	5	122	0	0	0	1	0	119	0	0	0	0	0	3	0	0	0	0	8	16	0	0
3204	4162	"Krageholmssjön"	55.50078	13.74492	93	"AWI"	93	161	478	285	0	107	1	2	0	10	0	96	5	0	0	0	2	0	73	4	0	0	0	230	0	3	0	9	27	0	0	0	13	4	134	0	0	0	0	0	120	0	0	0	1	0	1	0	0	0	0	7	8	3	0
