"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15970	24626	"Castle Suscinio"	47.5125	-2.72722	35	"AWI"	35	73	344	206	0	0	9	0	1	1	1	0	0	2	1	1	0	0	0	0	3	0	6	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	78	0	0	0	0	0	14	0	6	0	0	0	0	0	0	2	0	0	1	2	1	0	0	1
15970	24626	"Castle Suscinio"	47.5125	-2.72722	45	"AWI"	45	138	535	311	0	0	3	0	1	0	0	0	0	4	0	3	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	58	0	0	0	0	0	21	1	6	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	55	"AWI"	55	174	814	407	1	0	20	0	3	0	2	0	0	10	0	0	0	0	0	0	3	0	28	0	2	0	0	0	0	8	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	28	0	0	0	0	0	19	0	2	0	0	2	0	0	0	3	0	0	1	2	1	1	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	65	"AWI"	65	262	933	537	0	0	19	0	1	0	1	0	0	9	0	0	0	1	0	0	0	0	24	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	31	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	75	"AWI"	75	316	1118	667	0	0	12	0	0	1	0	0	0	10	0	0	0	0	0	0	2	0	32	0	1	0	0	0	0	16	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	45	0	0	0	0	0	47	2	0	1	0	0	0	6	0	0	0	0	0	2	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	85	"AWI"	85	440	1217	793	0	0	26	0	0	0	4	0	0	18	1	0	0	0	0	0	1	0	45	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	90	"AWI"	90	478	1263	859	0	0	24	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	105	"AWI"	105	655	1428	1043	0	0	14	0	1	1	0	0	0	11	0	3	1	0	0	0	2	0	10	1	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	77	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	140	"AWI"	140	1198	1736	1439	0	0	15	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	150	"AWI"	150	1316	2131	1641	0	0	18	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	155	"AWI"	155	1348	2408	1736	0	0	19	0	3	0	0	0	0	4	0	0	0	0	0	0	0	1	54	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	4	0	0	3	0	0	0	0	0	0	28	6	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	160	"AWI"	160	1371	2700	1829	0	0	30	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	16	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	165	"AWI"	165	1465	2806	1936	0	0	16	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	52	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1
15970	24626	"Castle Suscinio"	47.5125	-2.72722	175	"AWI"	175	1563	3102	2168	0	0	9	0	1	0	0	0	0	6	0	2	0	0	0	0	0	0	13	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	61	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	180	"AWI"	180	1602	3298	2270	0	0	11	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	21	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	185	"AWI"	185	1704	3397	2396	0	0	26	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	19	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	73	0	0	0	0	5	0	2	0	3	0	0	2	0	0	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	195	"AWI"	195	1845	3650	2646	1	0	19	0	0	0	4	0	0	5	0	0	0	0	0	0	1	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	25	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0
15970	24626	"Castle Suscinio"	47.5125	-2.72722	205	"AWI"	205	1988	3952	2883	1	0	55	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	63	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	41	0	0	0	0	0	73	0	2	0	0	6	0	1	0	1	0	1	3	1	1	0	0	1
