"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16269	25217	"Font Carluze"	45.54083	2.34444	0	"AWI"	0	-122	39	-45	1	0	11	1	1	1	0	9	1	0	0	0	0	4	0	6	0	6	0	2	0	7	5	0	0	0	0	0	0	0	0	0	0	6	5	17	24	164	0	11	1	0	0	0	0	3	1	0	0	1	0	1	1	1	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	1	"AWI"	1	-99	73	-16	0	0	18	1	1	1	0	29	1	1	0	0	0	2	0	7	0	19	0	0	0	20	1	0	0	0	1	0	0	0	1	0	0	1	1	8	0	179	0	21	0	2	0	0	2	15	1	0	0	2	0	2	1	0	0	1
16269	25217	"Font Carluze"	45.54083	2.34444	5	"AWI"	5	-51	310	93	4	0	38	0	0	1	0	31	4	7	0	0	0	3	0	14	1	10	0	4	0	27	1	0	0	0	0	0	0	0	2	0	1	2	2	14	0	121	0	18	0	7	0	0	0	21	1	0	0	1	0	5	0	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	10	"AWI"	10	-18	638	226	0	0	0	0	1	0	0	8	0	1	0	0	0	7	0	3	0	6	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	14	0	2	1	0	0	45	1	0	0	1	0	0	6	2	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	15	"AWI"	15	121	723	401	1	0	10	0	1	1	0	23	1	1	0	0	0	9	0	6	0	9	49	0	0	3	1	1	0	0	1	0	0	0	1	0	0	1	0	2	0	136	0	34	0	2	0	0	0	47	1	0	0	0	0	0	1	1	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	20	"AWI"	20	194	879	569	0	0	7	0	4	1	0	112	1	3	0	0	0	1	0	3	0	10	18	0	0	11	0	0	0	0	0	0	0	0	1	4	1	1	0	1	0	0	0	27	0	4	0	8	0	0	1	0	0	2	0	0	1	2	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	25	"AWI"	25	472	918	716	1	0	59	1	6	0	0	52	0	2	0	0	0	1	0	17	0	8	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	0	34	0	2	1	0	0	10	2	0	1	0	0	1	1	0	1	2
16269	25217	"Font Carluze"	45.54083	2.34444	30	"AWI"	30	635	1007	879	0	0	62	0	2	0	0	81	0	2	0	0	0	0	0	19	0	3	0	0	0	49	0	0	0	2	1	0	0	0	1	0	0	1	0	1	2	0	0	38	0	5	1	0	0	4	2	0	0	1	0	4	0	1	1	0
16269	25217	"Font Carluze"	45.54083	2.34444	35	"AWI"	35	782	1035	942	0	0	62	0	2	1	7	62	0	2	0	0	0	1	0	10	0	7	0	0	0	39	1	0	0	1	0	0	0	1	0	1	0	2	0	1	4	87	0	31	0	2	0	0	0	5	3	0	0	1	0	1	1	0	0	0
16269	25217	"Font Carluze"	45.54083	2.34444	40	"AWI"	40	862	1124	1013	1	0	67	0	2	1	0	35	0	1	3	0	0	2	0	10	0	8	0	0	0	26	0	0	0	1	0	0	0	0	0	4	0	1	0	0	7	0	0	19	0	2	0	0	0	15	2	0	0	0	0	2	1	2	0	0
