"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Dioscoreaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26058	45200	"Bradfiel Woods"	52.18194	0.83417	0.5	"AWI"	0.5	-65.5	-53.5	-58.5	0	9	80	2	0	0	0	1	2	0	76	1	15	0	0	1	2	0	216	0	9	0	0	14	0	15	109	0	0	0	0	0	0	0	0	3	0	19	0	123	0	0	1	12	202	11	0	1	0	13	5	0	0	3	2	0	2	3	6
26058	45200	"Bradfiel Woods"	52.18194	0.83417	2	"AWI"	2	-60	-50	-55	0	3	49	2	0	0	3	0	0	0	61	0	7	0	0	0	4	0	194	0	7	0	0	8	0	21	132	0	0	0	0	0	1	0	0	4	0	12	0	145	0	0	0	23	224	5	0	0	0	12	2	0	1	3	0	0	0	2	14
26058	45200	"Bradfiel Woods"	52.18194	0.83417	1.4	"AWI"	1.4	-61.8	-51.8	-56.2	1	14	76	1	0	0	0	1	1	0	67	0	6	0	0	1	4	0	199	0	5	0	0	13	0	14	122	0	0	1	2	0	1	0	0	6	0	17	0	143	0	2	0	17	203	8	0	0	0	15	4	0	1	3	1	0	1	0	14
26058	45200	"Bradfiel Woods"	52.18194	0.83417	2.7	"AWI"	2.7	-57.9	-49.3	-53.6	0	7	58	2	0	0	2	1	1	0	71	0	11	0	0	0	3	2	154	0	9	0	0	19	0	10	114	0	0	0	4	0	1	0	0	3	0	23	0	177	0	0	0	34	207	13	0	0	16	3	3	0	0	12	0	0	0	5	10
26058	45200	"Bradfiel Woods"	52.18194	0.83417	3.5	"AWI"	3.5	-56.5	-48	-52	0	4	55	1	1	0	0	1	14	0	65	0	4	0	0	0	4	0	166	0	5	0	0	19	0	9	107	0	27	0	0	27	0	0	0	5	0	19	0	174	0	0	0	43	153	15	0	0	0	10	7	0	0	9	0	0	1	4	12
26058	45200	"Bradfiel Woods"	52.18194	0.83417	4.5	"AWI"	4.5	-55	-47	-50.5	0	9	58	4	0	0	1	0	0	0	59	0	12	0	0	0	1	0	173	0	9	0	0	18	0	15	105	1	0	1	0	0	0	0	0	3	0	22	0	150	0	0	0	24	209	10	0	0	0	10	5	0	0	5	1	0	1	4	8
26058	45200	"Bradfiel Woods"	52.18194	0.83417	5.4	"AWI"	5.4	-53.2	-46.2	-49.6	0	9	55	6	0	0	1	0	0	0	18	0	13	0	0	1	1	0	223	0	11	0	0	9	0	18	69	0	0	0	1	0	0	0	0	2	0	25	0	176	0	0	0	26	211	14	0	0	0	14	2	0	0	3	2	0	0	1	17
26058	45200	"Bradfiel Woods"	52.18194	0.83417	6.7	"AWI"	6.7	-51.3	-44.3	-47.6	0	2	57	4	0	0	0	0	1	0	14	2	10	0	0	0	0	0	245	0	2	0	0	26	0	9	65	0	0	0	2	0	0	0	0	1	0	28	0	175	0	0	0	21	196	12	0	0	0	16	2	0	0	2	1	0	0	3	2
26058	45200	"Bradfiel Woods"	52.18194	0.83417	6	"AWI"	6	-52	-45	-49	0	8	27	5	0	0	1	0	0	0	42	0	14	0	0	0	6	0	208	0	4	0	0	13	0	5	49	1	0	0	0	0	0	0	0	1	0	33	0	202	0	1	0	24	218	8	0	0	0	21	3	0	0	8	0	0	0	3	2
26058	45200	"Bradfiel Woods"	52.18194	0.83417	8.5	"AWI"	8.5	-49	-41.5	-45	0	3	49	13	0	0	0	2	1	0	48	0	4	0	0	0	5	0	230	0	1	0	0	26	0	8	99	0	0	0	0	0	1	0	0	0	0	25	0	187	0	0	0	15	198	7	0	0	0	9	6	0	0	2	0	0	1	11	2
