"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3474	4493	"Tourves"	43.41312	5.91072	130	"AWI"	130	511	2939	1535	9	4	4	0	2	2	1	1	0	1	0	0	0	0	0	0	7	99	0	0	0	0	0	6	0	2	7	0	0	1	0	2	1	3	1	0	0	51	1	3	22	0	0	80	27	0	0	0	0	1	0	3	0	3	0	4	0	0	2
3474	4493	"Tourves"	43.41312	5.91072	140	"AWI"	140	667	3034	1661	1	1	0	2	0	0	0	2	0	0	1	0	1	0	1	0	4	27	0	0	0	0	0	0	0	0	15	0	1	1	0	0	0	1	0	0	1	41	0	3	0	1	2	56	3	0	1	0	0	1	0	0	2	1	0	2	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	150	"AWI"	150	766	3135	1793	5	1	2	0	1	5	0	0	0	0	0	0	0	2	0	0	2	33	0	0	0	0	0	0	0	1	13	0	0	1	0	2	0	0	0	0	5	23	0	4	46	1	7	36	5	0	1	0	0	3	1	0	0	0	2	0	0	0	2
3474	4493	"Tourves"	43.41312	5.91072	160	"AWI"	160	841	3245	1924	0	0	1	3	11	1	0	2	0	1	27	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	10	0	3	11	1	0	25	1	0	1	0	0	0	0	0	0	2	1	2	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	165	"AWI"	165	876	3317	1989	0	1	0	5	15	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	63	4	1	5	0	0	0	0	0	0	0	1	0	0	0	1
3474	4493	"Tourves"	43.41312	5.91072	180	"AWI"	180	1027	3506	2168	2	0	3	1	17	2	0	2	0	3	7	0	1	0	0	0	7	1	0	0	0	0	0	3	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	0	111	14	2	2	0	0	0	1	0	0	1	0	3	2	0	0
3474	4493	"Tourves"	43.41312	5.91072	190	"AWI"	190	1143	3581	2295	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	20	1	1	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
3474	4493	"Tourves"	43.41312	5.91072	315	"AWI"	315	2769	4797	3920	2	0	11	6	2	0	1	5	0	1	7	0	0	0	0	0	8	2	0	0	0	0	0	1	0	0	9	0	0	0	0	0	2	0	0	1	1	35	4	2	13	1	0	52	15	0	0	0	0	0	0	0	0	0	0	3	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	330	"AWI"	330	3012	4891	4111	4	1	2	1	0	0	0	1	0	2	1	0	0	0	0	0	0	6	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0	2	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	340	"AWI"	340	3143	4981	4247	1	0	4	4	2	0	0	4	0	2	15	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	28	0	0	0	0	0	0	4	0	0	0	39	2	3	0	1	0	40	19	0	0	0	0	2	1	0	0	1	0	7	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	390	"AWI"	390	3989	5338	4849	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	1	16	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	410	"AWI"	410	4158	5455	4984	1	0	3	1	0	2	0	8	0	1	4	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	1	0	25	1	5	44	2	0	35	18	1	0	0	0	0	0	0	0	0	1	1	0	0	1
3474	4493	"Tourves"	43.41312	5.91072	450	"AWI"	450	4401	5820	5228	0	1	3	0	0	0	0	4	0	0	1	0	0	0	1	0	4	2	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	1	43	14	0	0	0	0	1	0	1	0	1	0	6	2	0	0
3474	4493	"Tourves"	43.41312	5.91072	488	"AWI"	488	4597	6125	5443	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	6	0	2	0	1	0	7	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	503	"AWI"	503	4703	6223	5530	3	0	3	0	0	1	0	1	0	1	2	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	5	0	0	1	0	0	2	0	0	0	2	30	1	8	43	1	0	21	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	540	"AWI"	540	4921	6482	5750	2	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	12	0	1	0	0	0	1	0	0	0	5	25	1	3	41	1	0	15	12	1	0	0	0	0	0	0	0	0	1	0	0	0	0
